Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,25.45,25.775,25.4,25.75,206797.0,0.0,1.0,25.45,25.775,25.4,25.75,206797.0
2016-11-16,25.65,25.85,25.45,25.5,233417.0,0.0,1.0,25.65,25.85,25.45,25.5,233417.0
2016-11-15,25.85,26.2,25.4,25.7,310452.0,0.0,1.0,25.85,26.2,25.4,25.7,310452.0
2016-11-14,25.65,26.25,25.4,25.7,460653.0,0.0,1.0,25.65,26.25,25.4,25.7,460653.0
2016-11-11,23.95,25.55,23.95,25.5,565025.0,0.0,1.0,23.95,25.55,23.95,25.5,565025.0
2016-11-10,23.6,24.4,23.45,23.9,488417.0,0.0,1.0,23.6,24.4,23.45,23.9,488417.0
2016-11-09,22.35,23.625,22.05,23.45,488352.0,0.0,1.0,22.35,23.625,22.05,23.45,488352.0
2016-11-08,22.55,22.95,22.35,22.75,296011.0,0.0,1.0,22.55,22.95,22.35,22.75,296011.0
2016-11-07,22.6,23.15,22.25,22.85,338590.0,0.0,1.0,22.6,23.15,22.25,22.85,338590.0
2016-11-04,22.55,22.55,21.975,22.05,374302.0,0.0,1.0,22.55,22.55,21.975,22.05,374302.0
2016-11-03,22.55,22.775,22.3,22.35,362845.0,0.0,1.0,22.55,22.775,22.3,22.35,362845.0
2016-11-02,22.65,23.35,22.45,22.6,630408.0,0.0,1.0,22.65,23.35,22.45,22.6,630408.0
2016-11-01,23.6,23.75,22.6,22.8,497581.0,0.0,1.0,23.6,23.75,22.6,22.8,497581.0
2016-10-31,24.45,24.65,23.65,23.7,439597.0,0.0,1.0,24.45,24.65,23.65,23.7,439597.0
2016-10-28,23.55,24.9,23.3,24.4,1318622.0,0.0,1.0,23.55,24.9,23.3,24.4,1318622.0
2016-10-27,22.25,22.45,21.8,22.1,484307.0,0.0,1.0,22.25,22.45,21.8,22.1,484307.0
2016-10-26,21.9,22.5,21.7,22.15,207359.0,0.0,1.0,21.9,22.5,21.7,22.15,207359.0
2016-10-25,21.75,22.025,21.55,21.95,276068.0,0.0,1.0,21.75,22.025,21.55,21.95,276068.0
2016-10-24,21.45,21.8,21.35,21.7,422632.0,0.0,1.0,21.45,21.8,21.35,21.7,422632.0
2016-10-21,21.72,21.72,21.42,21.46,207542.0,0.0,1.0,21.72,21.72,21.42,21.46,207542.0
2016-10-20,21.91,22.075,21.665,21.89,145684.0,0.0,1.0,21.91,22.075,21.665,21.89,145684.0
2016-10-19,21.73,22.18,21.65,21.98,245096.0,0.0,1.0,21.73,22.18,21.65,21.98,245096.0
2016-10-18,21.87,22.0399,21.54,21.85,356247.0,0.0,1.0,21.87,22.0399,21.54,21.85,356247.0
2016-10-17,21.43,21.9,21.341,21.68,172006.0,0.0,1.0,21.43,21.9,21.341,21.68,172006.0
2016-10-14,21.63,21.77,21.36,21.37,157746.0,0.0,1.0,21.63,21.77,21.36,21.37,157746.0
2016-10-13,22.0,22.0,21.26,21.52,331192.0,0.0,1.0,22.0,22.0,21.26,21.52,331192.0
2016-10-12,22.25,22.39,21.94,22.22,317044.0,0.0,1.0,22.25,22.39,21.94,22.22,317044.0
2016-10-11,22.66,22.66,22.03,22.16,433344.0,0.0,1.0,22.66,22.66,22.03,22.16,433344.0
2016-10-10,22.67,22.99,22.62,22.71,186176.0,0.0,1.0,22.67,22.99,22.62,22.71,186176.0
2016-10-07,22.99,22.99,22.42,22.45,223604.0,0.0,1.0,22.99,22.99,22.42,22.45,223604.0
2016-10-06,23.13,23.13,22.63,22.95,228923.0,0.0,1.0,23.13,23.13,22.63,22.95,228923.0
2016-10-05,23.02,23.25,22.99,23.15,319457.0,0.0,1.0,23.02,23.25,22.99,23.15,319457.0
2016-10-04,23.43,23.7,22.805,23.02,383923.0,0.0,1.0,23.43,23.7,22.805,23.02,383923.0
2016-10-03,23.37,23.49,23.0025,23.49,333251.0,0.0,1.0,23.37,23.49,23.0025,23.49,333251.0
2016-09-30,23.3,23.49,23.18,23.37,288176.0,0.0,1.0,23.3,23.49,23.18,23.37,288176.0
2016-09-29,23.55,23.65,23.105,23.24,274647.0,0.0,1.0,23.55,23.65,23.105,23.24,274647.0
2016-09-28,23.63,23.63,23.33,23.59,326731.0,0.0,1.0,23.63,23.63,23.33,23.59,326731.0
2016-09-27,23.35,23.69,23.19,23.51,300808.0,0.0,1.0,23.35,23.69,23.19,23.51,300808.0
2016-09-26,23.27,23.6,23.21,23.41,272557.0,0.0,1.0,23.27,23.6,23.21,23.41,272557.0
