Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.29,6.35,6.17,6.23,189365.0,0.0,1.0,6.29,6.35,6.17,6.23,189365.0
2016-11-16,5.99,6.3,5.99,6.26,291645.0,0.0,1.0,5.99,6.3,5.99,6.26,291645.0
2016-11-15,6.2,6.23,5.98,6.05,293866.0,0.0,1.0,6.2,6.23,5.98,6.05,293866.0
2016-11-14,6.39,6.46,6.11,6.2,383675.0,0.0,1.0,6.39,6.46,6.11,6.2,383675.0
2016-11-11,6.06,6.36,5.8586,6.3,550308.0,0.0,1.0,6.06,6.36,5.8586,6.3,550308.0
2016-11-10,6.08,6.18,5.885,6.04,381888.0,0.0,1.0,6.08,6.18,5.885,6.04,381888.0
2016-11-09,5.8,6.02,5.6,5.96,347650.0,0.0,1.0,5.8,6.02,5.6,5.96,347650.0
2016-11-08,5.72,5.9,5.65,5.82,282001.0,0.0,1.0,5.72,5.9,5.65,5.82,282001.0
2016-11-07,5.7,5.86,5.67,5.71,356655.0,0.0,1.0,5.7,5.86,5.67,5.71,356655.0
2016-11-04,5.58,5.68,5.51,5.57,353887.0,0.0,1.0,5.58,5.68,5.51,5.57,353887.0
2016-11-03,5.6,5.75,5.57,5.59,403195.0,0.0,1.0,5.6,5.75,5.57,5.59,403195.0
2016-11-02,5.58,5.69,5.52,5.56,347072.0,0.0,1.0,5.58,5.69,5.52,5.56,347072.0
2016-11-01,5.8,5.86,5.54,5.61,502104.0,0.0,1.0,5.8,5.86,5.54,5.61,502104.0
2016-10-31,5.68,5.87,5.6,5.79,747351.0,0.0,1.0,5.68,5.87,5.6,5.79,747351.0
2016-10-28,5.9,6.0,5.64,5.67,811028.0,0.0,1.0,5.9,6.0,5.64,5.67,811028.0
2016-10-27,6.52,6.59,5.9,5.93,967138.0,0.0,1.0,6.52,6.59,5.9,5.93,967138.0
2016-10-26,7.06,7.2072,6.17,6.36,1645751.0,0.0,1.0,7.06,7.2072,6.17,6.36,1645751.0
2016-10-25,7.51,7.55,7.3688,7.52,365302.0,0.0,1.0,7.51,7.55,7.3688,7.52,365302.0
2016-10-24,7.36,7.55,7.36,7.52,259296.0,0.0,1.0,7.36,7.55,7.36,7.52,259296.0
2016-10-21,7.43,7.43,7.211,7.34,245112.0,0.0,1.0,7.43,7.43,7.211,7.34,245112.0
2016-10-20,7.59,7.68,7.49,7.51,131190.0,0.0,1.0,7.59,7.68,7.49,7.51,131190.0
2016-10-19,7.43,7.61,7.353,7.59,172016.0,0.0,1.0,7.43,7.61,7.353,7.59,172016.0
2016-10-18,7.41,7.46,7.29,7.43,182546.0,0.0,1.0,7.41,7.46,7.29,7.43,182546.0
2016-10-17,7.4,7.44,7.275,7.3,151686.0,0.0,1.0,7.4,7.44,7.275,7.3,151686.0
2016-10-14,7.43,7.7,7.42,7.42,198950.0,0.0,1.0,7.43,7.7,7.42,7.42,198950.0
2016-10-13,7.39,7.82,7.28,7.36,172942.0,0.0,1.0,7.39,7.82,7.28,7.36,172942.0
2016-10-12,7.44,7.52,7.38,7.47,173371.0,0.0,1.0,7.44,7.52,7.38,7.47,173371.0
2016-10-11,7.71,7.71,7.4,7.45,222347.0,0.0,1.0,7.71,7.71,7.4,7.45,222347.0
2016-10-10,7.72,7.84,7.68,7.72,170457.0,0.0,1.0,7.72,7.84,7.68,7.72,170457.0
2016-10-07,7.74,7.77,7.605,7.69,166261.0,0.0,1.0,7.74,7.77,7.605,7.69,166261.0
2016-10-06,7.62,7.77,7.62,7.75,157620.0,0.0,1.0,7.62,7.77,7.62,7.75,157620.0
2016-10-05,7.65,7.79,7.62,7.68,250187.0,0.0,1.0,7.65,7.79,7.62,7.68,250187.0
2016-10-04,7.71,7.8,7.57,7.62,218622.0,0.0,1.0,7.71,7.8,7.57,7.62,218622.0
2016-10-03,7.73,7.805,7.636,7.7,328183.0,0.0,1.0,7.73,7.805,7.636,7.7,328183.0
2016-09-30,7.75,7.85,7.68,7.78,645682.0,0.0,1.0,7.75,7.85,7.68,7.78,645682.0
2016-09-29,7.81,8.0,7.52,7.73,1648977.0,0.0,1.0,7.81,8.0,7.52,7.73,1648977.0
2016-09-28,8.81,8.845,8.53,8.61,277505.0,0.0,1.0,8.81,8.845,8.53,8.61,277505.0
2016-09-27,8.41,8.85,8.35,8.75,404443.0,0.0,1.0,8.41,8.85,8.35,8.75,404443.0
2016-09-26,8.5,8.58,8.455,8.46,227347.0,0.0,1.0,8.5,8.58,8.455,8.46,227347.0
2016-09-23,8.66,8.67,8.56,8.6,200715.0,0.0,1.0,8.66,8.67,8.56,8.6,200715.0
2016-09-22,8.49,8.68,8.49,8.66,239869.0,0.0,1.0,8.49,8.68,8.49,8.66,239869.0
2016-09-21,8.33,8.48,8.31,8.47,224371.0,0.0,1.0,8.33,8.48,8.31,8.47,224371.0
2016-09-20,8.61,8.735,8.32,8.33,292157.0,0.0,1.0,8.61,8.735,8.32,8.33,292157.0
2016-09-19,8.55,8.75,8.53,8.59,151714.0,0.0,1.0,8.55,8.75,8.53,8.59,151714.0
2016-09-16,8.69,8.72,8.43,8.53,622157.0,0.0,1.0,8.69,8.72,8.43,8.53,622157.0
2016-09-15,8.3,8.71,8.3,8.7,345092.0,0.0,1.0,8.3,8.71,8.3,8.7,345092.0
2016-09-14,8.45,8.49,8.32,8.34,178425.0,0.0,1.0,8.45,8.49,8.32,8.34,178425.0
2016-09-13,8.48,8.59,8.35,8.46,204479.0,0.0,1.0,8.48,8.59,8.35,8.46,204479.0
2016-09-12,8.4,8.65,8.32,8.59,267631.0,0.0,1.0,8.4,8.65,8.32,8.59,267631.0
2016-09-09,8.62,8.7,8.45,8.45,214466.0,0.0,1.0,8.62,8.7,8.45,8.45,214466.0
2016-09-08,8.73,8.75,8.65,8.7,186642.0,0.0,1.0,8.73,8.75,8.65,8.7,186642.0
2016-09-07,8.68,8.86,8.68,8.77,174855.0,0.0,1.0,8.68,8.86,8.68,8.77,174855.0
2016-09-06,8.78,8.81,8.66,8.71,143039.0,0.0,1.0,8.78,8.81,8.66,8.71,143039.0
2016-09-02,8.63,8.83,8.56,8.78,257856.0,0.0,1.0,8.63,8.83,8.56,8.78,257856.0
2016-09-01,8.58,8.702,8.5,8.6,316438.0,0.0,1.0,8.58,8.702,8.5,8.6,316438.0
