Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,55.61,56.57,55.485,55.98,1167519.0,0.0,1.0,55.61,56.57,55.485,55.98,1167519.0
2016-11-16,55.9,56.02,55.6,55.63,1006056.0,0.0,1.0,55.9,56.02,55.6,55.63,1006056.0
2016-11-15,55.9,56.04,54.79,55.89,1644410.0,0.0,1.0,55.9,56.04,54.79,55.89,1644410.0
2016-11-14,55.05,55.89,55.05,55.73,1454108.0,0.0,1.0,55.05,55.89,55.05,55.73,1454108.0
2016-11-11,54.52,55.14,54.5,55.02,1438845.0,0.0,1.0,54.52,55.14,54.5,55.02,1438845.0
2016-11-10,54.89,55.32,54.04,54.5,2259766.0,0.0,1.0,54.89,55.32,54.04,54.5,2259766.0
2016-11-09,53.52,55.16,53.401,54.58,2670440.0,0.0,1.0,53.52,55.16,53.401,54.58,2670440.0
2016-11-08,53.48,53.98,52.96,53.61,1615650.0,0.0,1.0,53.48,53.98,52.96,53.61,1615650.0
2016-11-07,54.0,54.45,53.61,53.75,1579987.0,0.0,1.0,54.0,54.45,53.61,53.75,1579987.0
2016-11-04,53.57,53.92,53.29,53.4,1628903.0,0.0,1.0,53.57,53.92,53.29,53.4,1628903.0
2016-11-03,53.65,54.18,53.5,53.74,1756983.0,0.0,1.0,53.65,54.18,53.5,53.74,1756983.0
2016-11-02,54.36,54.87,53.43,53.5,2435408.0,0.0,1.0,54.36,54.87,53.43,53.5,2435408.0
2016-11-01,53.25,54.84,53.25,53.99,5662585.0,0.0,1.0,53.25,54.84,53.25,53.99,5662585.0
2016-10-31,50.46,50.94,50.1,50.36,1606204.0,0.0,1.0,50.46,50.94,50.1,50.36,1606204.0
2016-10-28,50.47,50.72,49.98,50.19,1292605.0,0.0,1.0,50.47,50.72,49.98,50.19,1292605.0
2016-10-27,50.47,50.78,49.945,50.47,2279039.0,0.0,1.0,50.47,50.78,49.945,50.47,2279039.0
2016-10-26,48.48,50.46,48.37,50.42,2214139.0,0.0,1.0,48.48,50.46,48.37,50.42,2214139.0
2016-10-25,48.52,48.95,48.45,48.46,896792.0,0.0,1.0,48.52,48.95,48.45,48.46,896792.0
2016-10-24,48.72,48.895,48.36,48.5,466991.0,0.0,1.0,48.72,48.895,48.36,48.5,466991.0
2016-10-21,47.94,48.31,47.73,48.17,636847.0,0.0,1.0,47.94,48.31,47.73,48.17,636847.0
2016-10-20,48.57,49.1,47.91,48.24,1020574.0,0.0,1.0,48.57,49.1,47.91,48.24,1020574.0
2016-10-19,48.13,48.71,47.72,48.57,1396861.0,0.0,1.0,48.13,48.71,47.72,48.57,1396861.0
2016-10-18,46.51,47.965,46.51,47.92,1560644.0,0.0,1.0,46.51,47.965,46.51,47.92,1560644.0
2016-10-17,45.65,46.25,45.65,46.14,821545.0,0.0,1.0,45.65,46.25,45.65,46.14,821545.0
2016-10-14,46.16,46.32,45.75,45.75,1088730.0,0.0,1.0,46.16,46.32,45.75,45.75,1088730.0
2016-10-13,45.49,46.02,45.04,45.87,732047.0,0.0,1.0,45.49,46.02,45.04,45.87,732047.0
2016-10-12,46.16,46.35,45.82,45.85,777078.0,0.0,1.0,46.16,46.35,45.82,45.85,777078.0
2016-10-11,46.51,46.725,45.7,46.21,1122356.0,0.0,1.0,46.51,46.725,45.7,46.21,1122356.0
2016-10-10,46.45,46.89,46.37,46.54,534644.0,0.0,1.0,46.45,46.89,46.37,46.54,534644.0
2016-10-07,46.57,46.76,45.77,46.37,1038164.0,0.0,1.0,46.57,46.76,45.77,46.37,1038164.0
2016-10-06,47.19,47.5,46.71,47.11,1136823.0,0.0,1.0,47.19,47.5,46.71,47.11,1136823.0
2016-10-05,45.61,47.245,45.61,47.21,1552905.0,0.0,1.0,45.61,47.245,45.61,47.21,1552905.0
2016-10-04,45.74,46.06,45.38,45.79,853624.0,0.0,1.0,45.74,46.06,45.38,45.79,853624.0
2016-10-03,44.54,45.9,44.35,45.72,1780924.0,0.0,1.0,44.54,45.9,44.35,45.72,1780924.0
2016-09-30,44.21,44.745,43.94,44.54,1444106.0,0.0,1.0,44.21,44.745,43.94,44.54,1444106.0
2016-09-29,44.29,44.58,43.5644,44.08,1215154.0,0.0,1.0,44.29,44.58,43.5644,44.08,1215154.0
2016-09-28,44.17,44.64,43.96,44.5,622949.0,0.0,1.0,44.17,44.64,43.96,44.5,622949.0
2016-09-27,43.95,44.405,43.81,44.14,592465.0,0.0,1.0,43.95,44.405,43.81,44.14,592465.0
2016-09-26,43.91,44.12,43.62,43.88,581560.0,0.0,1.0,43.91,44.12,43.62,43.88,581560.0
2016-09-23,43.4,44.25,43.3,44.0,1060326.0,0.0,1.0,43.4,44.25,43.3,44.0,1060326.0
2016-09-22,43.29,43.78,43.16,43.62,635946.0,0.0,1.0,43.29,43.78,43.16,43.62,635946.0
2016-09-21,42.48,43.1,42.37,43.04,794840.0,0.0,1.0,42.48,43.1,42.37,43.04,794840.0
2016-09-20,42.77,43.0,42.26,42.38,811381.0,0.0,1.0,42.77,43.0,42.26,42.38,811381.0
2016-09-19,43.46,43.5,42.76,42.87,822625.0,0.0,1.0,43.46,43.5,42.76,42.87,822625.0
2016-09-16,44.5,44.62,43.15,43.22,1495593.0,0.0,1.0,44.5,44.62,43.15,43.22,1495593.0
2016-09-15,44.27,44.935,44.03,44.68,1004508.0,0.0,1.0,44.27,44.935,44.03,44.68,1004508.0
2016-09-14,45.51,45.61,44.46,44.57,683597.0,0.0,1.0,45.51,45.61,44.46,44.57,683597.0
2016-09-13,45.4,45.69,45.1,45.29,875503.0,0.0,1.0,45.4,45.69,45.1,45.29,875503.0
2016-09-12,45.19,45.97,44.8,45.73,1048169.0,0.0,1.0,45.19,45.97,44.8,45.73,1048169.0
2016-09-09,45.73,46.07,45.44,45.44,1346425.0,0.0,1.0,45.73,46.07,45.44,45.44,1346425.0
2016-09-08,45.76,46.12,45.4,46.07,726494.0,0.0,1.0,45.76,46.12,45.4,46.07,726494.0
2016-09-07,45.83,46.13,45.39,45.8,872077.0,0.0,1.0,45.83,46.13,45.39,45.8,872077.0
2016-09-06,46.13,46.25,45.85,46.05,763295.0,0.0,1.0,46.13,46.25,45.85,46.05,763295.0
2016-09-02,45.89,46.2,45.63,46.13,571942.0,0.0,1.0,45.89,46.2,45.63,46.13,571942.0
2016-09-01,45.76,45.78,45.01,45.7,928878.0,0.0,1.0,45.76,45.78,45.01,45.7,928878.0
2016-08-31,45.55,45.92,45.42,45.82,1288250.0,0.0,1.0,45.55,45.92,45.42,45.82,1288250.0
2016-08-30,45.41,45.78,45.28,45.68,716657.0,0.0,1.0,45.41,45.78,45.28,45.68,716657.0
2016-08-29,45.24,45.72,45.24,45.52,713808.0,0.0,1.0,45.24,45.72,45.24,45.52,713808.0
