Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-28,17.74,17.75,17.74,17.745,164432.0,0.0,1.0,17.74,17.75,17.74,17.745,164432.0
2016-07-27,17.73,17.75,17.73,17.75,126522.0,0.0,1.0,17.73,17.75,17.73,17.75,126522.0
2016-07-26,17.75,17.75,17.73,17.74,471753.0,0.0,1.0,17.75,17.75,17.73,17.74,471753.0
2016-07-25,17.73,17.7425,17.73,17.73,551999.0,0.0,1.0,17.73,17.7425,17.73,17.73,551999.0
2016-07-22,17.73,17.74,17.72,17.74,422759.0,0.0,1.0,17.73,17.74,17.72,17.74,422759.0
2016-07-21,17.72,17.73,17.71,17.72,186556.0,0.0,1.0,17.72,17.73,17.71,17.72,186556.0
2016-07-20,17.73,17.73,17.7,17.72,789746.0,0.0,1.0,17.73,17.73,17.7,17.72,789746.0
2016-07-19,17.7,17.73,17.69,17.73,1682799.0,0.0,1.0,17.7,17.73,17.69,17.73,1682799.0
2016-07-18,17.7,17.71,17.69,17.7,822020.0,0.0,1.0,17.7,17.71,17.69,17.7,822020.0
2016-07-15,17.7,17.72,17.68,17.68,483277.0,0.0,1.0,17.7,17.72,17.68,17.68,483277.0
2016-07-14,17.69,17.72,17.68,17.68,647698.0,0.0,1.0,17.69,17.72,17.68,17.68,647698.0
2016-07-13,17.73,17.73,17.68,17.7,310737.0,0.0,1.0,17.73,17.73,17.68,17.7,310737.0
2016-07-12,17.72,17.72,17.68,17.71,1061851.0,0.0,1.0,17.72,17.72,17.68,17.71,1061851.0
2016-07-11,17.73,17.74,17.67,17.7,177196.0,0.0,1.0,17.73,17.74,17.67,17.7,177196.0
2016-07-08,17.66,17.75,17.64,17.74,1042713.0,0.0,1.0,17.66,17.75,17.64,17.74,1042713.0
2016-07-07,17.67,17.67,17.66,17.66,353625.0,0.0,1.0,17.67,17.67,17.66,17.66,353625.0
2016-07-06,17.66,17.67,17.64,17.67,1099833.0,0.0,1.0,17.66,17.67,17.64,17.67,1099833.0
2016-07-05,17.64,17.67,17.64,17.66,350855.0,0.0,1.0,17.64,17.67,17.64,17.66,350855.0
2016-07-01,17.64,17.67,17.61,17.66,443188.0,0.0,1.0,17.64,17.67,17.61,17.66,443188.0
2016-06-30,17.65,17.69,17.62,17.66,437352.0,0.0,1.0,17.65,17.69,17.62,17.66,437352.0
2016-06-29,17.65,17.66,17.62,17.64,387842.0,0.0,1.0,17.65,17.66,17.62,17.64,387842.0
2016-06-28,17.66,17.69,17.54,17.63,503144.0,0.0,1.0,17.66,17.69,17.54,17.63,503144.0
2016-06-27,17.58,17.67,17.545,17.57,2605505.0,0.0,1.0,17.58,17.67,17.545,17.57,2605505.0
2016-06-24,17.59,17.6865,17.535,17.59,2276754.0,0.0,1.0,17.59,17.6865,17.535,17.59,2276754.0
2016-06-23,17.74,17.74,17.65,17.72,173509.0,0.0,1.0,17.74,17.74,17.65,17.72,173509.0
2016-06-22,17.71,17.79,17.685,17.69,153554.0,0.0,1.0,17.71,17.79,17.685,17.69,153554.0
2016-06-21,17.63,17.74,17.62,17.69,145120.0,0.0,1.0,17.63,17.74,17.62,17.69,145120.0
2016-06-20,17.7,17.7,17.6,17.63,444272.0,0.0,1.0,17.7,17.7,17.6,17.63,444272.0
2016-06-17,17.63,17.67,17.6,17.63,857468.0,0.0,1.0,17.63,17.67,17.6,17.63,857468.0
2016-06-16,17.64,17.65,17.61,17.62,369129.0,0.0,1.0,17.64,17.65,17.61,17.62,369129.0
2016-06-15,17.62,17.67,17.61,17.64,195538.0,0.0,1.0,17.62,17.67,17.61,17.64,195538.0
2016-06-14,17.6,17.66,17.6,17.65,296365.0,0.0,1.0,17.6,17.66,17.6,17.65,296365.0
2016-06-13,17.65,17.7,17.59,17.59,957310.0,0.0,1.0,17.65,17.7,17.59,17.59,957310.0
2016-06-10,17.64,17.71,17.63,17.7,218817.0,0.0,1.0,17.64,17.71,17.63,17.7,218817.0
2016-06-09,17.64,17.72,17.63,17.63,230815.0,0.0,1.0,17.64,17.72,17.63,17.63,230815.0
2016-06-08,17.65,17.7,17.61,17.63,621321.0,0.0,1.0,17.65,17.7,17.61,17.63,621321.0
2016-06-07,17.7,17.7,17.63,17.67,395887.0,0.0,1.0,17.7,17.7,17.63,17.67,395887.0
2016-06-06,17.67,17.7,17.64,17.65,250930.0,0.0,1.0,17.67,17.7,17.64,17.65,250930.0
2016-06-03,17.64,17.75,17.62,17.67,369437.0,0.0,1.0,17.64,17.75,17.62,17.67,369437.0
2016-06-02,17.75,17.77,17.6,17.67,637085.0,0.0,1.0,17.75,17.77,17.6,17.67,637085.0
2016-06-01,17.66,17.79,17.62,17.7,1435126.0,0.0,1.0,17.66,17.79,17.62,17.7,1435126.0
2016-05-31,17.56,17.81,17.55,17.64,6924547.0,0.0,1.0,17.56,17.81,17.55,17.64,6924547.0
2016-05-27,13.195,13.3,13.09,13.27,119537.0,0.0,1.0,13.195,13.3,13.09,13.27,119537.0
2016-05-26,13.0,13.32,12.93,13.22,43831.0,0.0,1.0,13.0,13.32,12.93,13.22,43831.0
2016-05-25,13.27,13.36,12.98,13.04,90969.0,0.0,1.0,13.27,13.36,12.98,13.04,90969.0
2016-05-24,12.53,13.4,12.461,13.23,131020.0,0.0,1.0,12.53,13.4,12.461,13.23,131020.0
2016-05-23,13.31,13.61,13.16,13.19,72852.0,0.0,1.0,13.31,13.61,13.16,13.19,72852.0
2016-05-20,13.02,13.35,12.912,13.29,98084.0,0.0,1.0,13.02,13.35,12.912,13.29,98084.0
