Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,14.56,14.77,14.52,14.58,143821.0,0.0,1.0,14.56,14.77,14.52,14.58,143821.0
2016-11-16,14.37,14.65,14.35,14.57,128417.0,0.0,1.0,14.37,14.65,14.35,14.57,128417.0
2016-11-15,14.65,14.87,14.5,14.54,258593.0,0.0,1.0,14.65,14.87,14.5,14.54,258593.0
2016-11-14,14.5,14.76,14.25,14.64,312859.0,0.0,1.0,14.5,14.76,14.25,14.64,312859.0
2016-11-11,13.71,14.56,13.71,14.51,300448.0,0.0,1.0,13.71,14.56,13.71,14.51,300448.0
2016-11-10,13.77,14.055,13.32,13.89,306115.0,0.0,1.0,13.77,14.055,13.32,13.89,306115.0
2016-11-09,13.09,13.61,12.95,13.58,240592.0,0.0,1.0,13.09,13.61,12.95,13.58,240592.0
2016-11-08,13.18,13.64,13.0306,13.4,171937.0,0.0,1.0,13.18,13.64,13.0306,13.4,171937.0
2016-11-07,13.0,13.13,12.7801,12.9,208517.0,0.0,1.0,13.0,13.13,12.7801,12.9,208517.0
2016-11-04,13.28,13.28,11.565,12.78,717589.0,0.0,1.0,13.28,13.28,11.565,12.78,717589.0
2016-11-03,13.37,13.72,13.145,13.28,271772.0,0.0,1.0,13.37,13.72,13.145,13.28,271772.0
2016-11-02,13.86,13.86,13.26,13.28,196616.0,0.0,1.0,13.86,13.86,13.26,13.28,196616.0
2016-11-01,14.03,14.129,13.79,13.85,132947.0,0.0,1.0,14.03,14.129,13.79,13.85,132947.0
2016-10-31,14.13,14.16,13.96,14.06,212913.0,0.0,1.0,14.13,14.16,13.96,14.06,212913.0
2016-10-28,14.07,14.23,14.06,14.07,112332.0,0.0,1.0,14.07,14.23,14.06,14.07,112332.0
2016-10-27,14.35,14.35,14.06,14.07,112958.0,0.0,1.0,14.35,14.35,14.06,14.07,112958.0
2016-10-26,14.14,14.35,14.14,14.2,81230.0,0.0,1.0,14.14,14.35,14.14,14.2,81230.0
2016-10-25,14.18,14.2675,14.15,14.22,118591.0,0.0,1.0,14.18,14.2675,14.15,14.22,118591.0
2016-10-24,13.9,14.28,13.9,14.26,158638.0,0.0,1.0,13.9,14.28,13.9,14.26,158638.0
2016-10-21,13.75,13.9,13.67,13.8,97659.0,0.0,1.0,13.75,13.9,13.67,13.8,97659.0
2016-10-20,13.86,13.97,13.749,13.89,50345.0,0.0,1.0,13.86,13.97,13.749,13.89,50345.0
2016-10-19,13.7,14.07,13.67,13.87,141692.0,0.0,1.0,13.7,14.07,13.67,13.87,141692.0
2016-10-18,13.82,13.84,13.71,13.8,72905.0,0.0,1.0,13.82,13.84,13.71,13.8,72905.0
2016-10-17,13.66,13.89,13.63,13.68,111551.0,0.0,1.0,13.66,13.89,13.63,13.68,111551.0
2016-10-14,13.69,13.8,13.646,13.68,105009.0,0.0,1.0,13.69,13.8,13.646,13.68,105009.0
2016-10-13,13.69,13.77,13.451,13.68,94571.0,0.0,1.0,13.69,13.77,13.451,13.68,94571.0
2016-10-12,13.85,13.94,13.63,13.78,99846.0,0.0,1.0,13.85,13.94,13.63,13.78,99846.0
2016-10-11,14.02,14.02,13.66,13.79,154381.0,0.0,1.0,14.02,14.02,13.66,13.79,154381.0
2016-10-10,14.01,14.2405,14.01,14.03,94050.0,0.0,1.0,14.01,14.2405,14.01,14.03,94050.0
2016-10-07,14.06,14.15,13.91,13.96,130835.0,0.0,1.0,14.06,14.15,13.91,13.96,130835.0
2016-10-06,13.97,14.03,13.74,13.97,112378.0,0.0,1.0,13.97,14.03,13.74,13.97,112378.0
2016-10-05,14.01,14.215,13.915,14.02,156223.0,0.0,1.0,14.01,14.215,13.915,14.02,156223.0
2016-10-04,13.98,14.19,13.89,14.01,214493.0,0.0,1.0,13.98,14.19,13.89,14.01,214493.0
2016-10-03,14.16,14.19,13.89,13.96,180944.0,0.0,1.0,14.16,14.19,13.89,13.96,180944.0
2016-09-30,14.07,14.24,13.95,14.18,201937.0,0.0,1.0,14.07,14.24,13.95,14.18,201937.0
2016-09-29,14.15,14.29,13.97,14.08,216226.0,0.0,1.0,14.15,14.29,13.97,14.08,216226.0
2016-09-28,14.13,14.25,13.98,14.22,203483.0,0.0,1.0,14.13,14.25,13.98,14.22,203483.0
2016-09-27,13.68,14.09,13.68,13.94,132107.0,0.0,1.0,13.68,14.09,13.68,13.94,132107.0
2016-09-26,13.85,13.94,13.66,13.73,127770.0,0.0,1.0,13.85,13.94,13.66,13.73,127770.0
2016-09-23,14.14,14.38,13.94,13.97,130305.0,0.0,1.0,14.14,14.38,13.94,13.97,130305.0
2016-09-22,13.97,14.2,13.7,14.2,199208.0,0.0,1.0,13.97,14.2,13.7,14.2,199208.0
2016-09-21,13.78,13.94,13.55,13.93,97489.0,0.0,1.0,13.78,13.94,13.55,13.93,97489.0
2016-09-20,13.82,13.93,13.63,13.66,92007.0,0.0,1.0,13.82,13.93,13.63,13.66,92007.0
2016-09-19,13.74,13.92,13.54,13.71,95638.0,0.0,1.0,13.74,13.92,13.54,13.71,95638.0
