Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,21.59,21.94,21.58,21.94,1887621.0,0.0,1.0,21.59,21.94,21.58,21.94,1887621.0
2016-11-16,21.56,21.69,21.51,21.56,1432958.0,0.0,1.0,21.56,21.69,21.51,21.56,1432958.0
2016-11-15,21.29,21.575,21.185,21.56,1717661.0,0.0,1.0,21.29,21.575,21.185,21.56,1717661.0
2016-11-14,21.5,21.5,21.11,21.3,3535785.0,0.0,1.0,21.5,21.5,21.11,21.3,3535785.0
2016-11-11,21.91,21.91,21.46,21.5,2446610.0,0.0,1.0,21.91,21.91,21.46,21.5,2446610.0
2016-11-10,22.29,22.3,21.71,21.8,3696184.0,0.0,1.0,22.29,22.3,21.71,21.8,3696184.0
2016-11-09,21.98,22.4,21.88,22.23,2249290.0,0.0,1.0,21.98,22.4,21.88,22.23,2249290.0
2016-11-08,22.22,22.34,22.12,22.23,1240436.0,0.0,1.0,22.22,22.34,22.12,22.23,1240436.0
2016-11-07,22.2,22.32,22.125,22.2,1261142.0,0.0,1.0,22.2,22.32,22.125,22.2,1261142.0
2016-11-04,21.97,22.14,21.94,22.04,1564261.0,0.0,1.0,21.97,22.14,21.94,22.04,1564261.0
2016-11-03,21.89,22.08,21.8601,21.96,1426058.0,0.0,1.0,21.89,22.08,21.8601,21.96,1426058.0
2016-11-02,22.12,22.12,21.725,21.85,1674257.0,0.0,1.0,22.12,22.12,21.725,21.85,1674257.0
2016-11-01,22.21,22.21,21.795,21.89,1789976.0,0.0,1.0,22.21,22.21,21.795,21.89,1789976.0
2016-10-31,22.16,22.27,22.055,22.24,1243658.0,0.0,1.0,22.16,22.27,22.055,22.24,1243658.0
2016-10-28,22.01,22.16,21.85,22.04,1117828.0,0.0,1.0,22.01,22.16,21.85,22.04,1117828.0
2016-10-27,22.36,22.38,21.93,21.96,2456702.0,0.0,1.0,22.36,22.38,21.93,21.96,2456702.0
2016-10-26,22.36,22.4,22.15,22.38,1776652.0,0.0,1.0,22.36,22.4,22.15,22.38,1776652.0
2016-10-25,22.3,22.48,22.3,22.41,2090844.0,0.0,1.0,22.3,22.48,22.3,22.41,2090844.0
2016-10-24,22.25,22.4,22.19,22.37,1343711.0,0.0,1.0,22.25,22.4,22.19,22.37,1343711.0
2016-10-21,21.98,22.3,21.95,22.19,1605555.0,0.0,1.0,21.98,22.3,21.95,22.19,1605555.0
2016-10-20,21.99,22.085,21.94,22.03,1193334.0,0.0,1.0,21.99,22.085,21.94,22.03,1193334.0
2016-10-19,21.92,22.01,21.81,21.97,710132.0,0.0,1.0,21.92,22.01,21.81,21.97,710132.0
2016-10-18,21.81,22.01,21.76,21.84,1065082.0,0.0,1.0,21.81,22.01,21.76,21.84,1065082.0
2016-10-17,21.78,21.8366,21.67,21.67,1048066.0,0.0,1.0,21.78,21.8366,21.67,21.67,1048066.0
2016-10-14,22.02,22.02,21.78,21.78,911930.0,0.0,1.0,22.02,22.02,21.78,21.78,911930.0
2016-10-13,21.61,22.03,21.575,21.9,1947990.0,0.0,1.0,21.61,22.03,21.575,21.9,1947990.0
2016-10-12,21.56,21.795,21.45,21.61,2106155.0,0.0,1.0,21.56,21.795,21.45,21.61,2106155.0
2016-10-11,21.62,21.65,21.42,21.47,1979479.0,0.0,1.0,21.62,21.65,21.42,21.47,1979479.0
2016-10-10,21.64,21.81,21.615,21.65,1774103.0,0.0,1.0,21.64,21.81,21.615,21.65,1774103.0
2016-10-07,21.6,21.78,21.43,21.57,1963256.0,0.0,1.0,21.6,21.78,21.43,21.57,1963256.0
2016-10-06,21.81,21.8601,21.53,21.59,2619186.0,0.0,1.0,21.81,21.8601,21.53,21.59,2619186.0
2016-10-05,22.14,22.14,21.78,21.81,1424916.0,0.0,1.0,22.14,22.14,21.78,21.81,1424916.0
2016-10-04,22.2,22.2,21.765,21.9,3377701.0,0.0,1.0,22.2,22.2,21.765,21.9,3377701.0
2016-10-03,22.5,22.5179,22.17,22.2,1822708.0,0.0,1.0,22.5,22.5179,22.17,22.2,1822708.0
2016-09-30,22.59,22.7,22.51,22.52,1332163.0,0.0,1.0,22.59,22.7,22.51,22.52,1332163.0
