Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-29,35.15,35.19,35.1,35.1,52531100.0,0.0,1.0,35.15,35.19,35.1,35.1,52531100.0
2015-01-28,35.18,35.26,35.14,35.14,12601100.0,0.0,1.0,35.18,35.26,35.14,35.14,12601100.0
2015-01-27,35.06,35.24,35.05,35.15,19249700.0,0.0,1.0,35.06,35.24,35.05,35.15,19249700.0
2015-01-26,35.16,35.22,35.1,35.1,41624900.0,0.0,1.0,35.16,35.22,35.1,35.1,41624900.0
2015-01-23,35.29,35.29,35.22,35.29,987100.0,0.0,1.0,35.29,35.29,35.22,35.29,987100.0
2015-01-22,35.25,35.29,35.24,35.29,1162900.0,0.0,1.0,35.25,35.29,35.24,35.29,1162900.0
2015-01-21,35.18,35.28,35.17,35.22,1830000.0,0.0,1.0,35.18,35.28,35.17,35.22,1830000.0
2015-01-20,35.2,35.24,35.15,35.19,1178800.0,0.0,1.0,35.2,35.24,35.15,35.19,1178800.0
2015-01-16,35.2,35.24,35.14,35.17,2556300.0,0.0,1.0,35.2,35.24,35.14,35.17,2556300.0
2015-01-15,35.33,35.33,35.18,35.19,2381400.0,0.0,1.0,35.33,35.33,35.18,35.19,2381400.0
2015-01-14,35.2,35.3,35.2,35.24,3397600.0,0.0,1.0,35.2,35.3,35.2,35.24,3397600.0
2015-01-13,35.45,35.45,35.2,35.3,1565200.0,0.0,1.0,35.45,35.45,35.2,35.3,1565200.0
2015-01-12,35.21,35.26,35.2,35.26,1070100.0,0.0,1.0,35.21,35.26,35.2,35.26,1070100.0
2015-01-09,35.21,35.26,35.16,35.24,1009900.0,0.0,1.0,35.21,35.26,35.16,35.24,1009900.0
2015-01-08,35.24,35.26,35.21,35.25,1519300.0,0.0,1.0,35.24,35.26,35.21,35.25,1519300.0
2015-01-07,35.18,35.25,35.14,35.22,1325600.0,0.0,1.0,35.18,35.25,35.14,35.22,1325600.0
2015-01-06,35.12,35.19,35.1,35.17,2272800.0,0.0,1.0,35.12,35.19,35.1,35.17,2272800.0
2015-01-05,35.11,35.18,35.08,35.08,1689900.0,0.0,1.0,35.11,35.18,35.08,35.08,1689900.0
2015-01-02,35.14,35.25,35.08,35.13,1165600.0,0.0,1.0,35.14,35.25,35.08,35.13,1165600.0
