Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,41.6,42.7,41.175,41.95,94379.0,0.0,1.0,41.6,42.7,41.175,41.95,94379.0
2016-11-16,40.55,41.8,40.15,41.5,93327.0,0.0,1.0,40.55,41.8,40.15,41.5,93327.0
2016-11-15,39.8,40.55,39.55,40.55,68267.0,0.0,1.0,39.8,40.55,39.55,40.55,68267.0
2016-11-14,39.95,40.95,39.455,40.0,146836.0,0.0,1.0,39.95,40.95,39.455,40.0,146836.0
2016-11-11,38.5,39.9,38.5,39.35,164290.0,0.0,1.0,38.5,39.9,38.5,39.35,164290.0
2016-11-10,37.2,38.75,36.6,38.525,98914.0,0.0,1.0,37.2,38.75,36.6,38.525,98914.0
2016-11-09,34.85,36.75,34.85,36.7,84550.0,0.0,1.0,34.85,36.75,34.85,36.7,84550.0
2016-11-08,34.6,35.15,34.55,34.65,52926.0,0.0,1.0,34.6,35.15,34.55,34.65,52926.0
2016-11-07,33.95,34.75,33.85,34.75,40541.0,0.0,1.0,33.95,34.75,33.85,34.75,40541.0
2016-11-04,33.5,34.0,33.45,33.7,70954.0,0.0,1.0,33.5,34.0,33.45,33.7,70954.0
2016-11-03,33.45,33.6,33.2,33.5,25389.0,0.0,1.0,33.45,33.6,33.2,33.5,25389.0
2016-11-02,33.95,33.95,33.35,33.45,39890.0,0.0,1.0,33.95,33.95,33.35,33.45,39890.0
2016-11-01,34.1,34.4,33.75,33.95,57971.0,0.0,1.0,34.1,34.4,33.75,33.95,57971.0
2016-10-31,34.15,34.2,33.85,34.1,41397.0,0.0,1.0,34.15,34.2,33.85,34.1,41397.0
2016-10-28,34.33,34.33,33.88,34.02,51591.0,0.0,1.0,34.33,34.33,33.88,34.02,51591.0
2016-10-27,34.67,34.82,33.99,34.41,98848.0,0.0,1.0,34.67,34.82,33.99,34.41,98848.0
2016-10-26,34.56,34.56,34.22,34.44,53294.0,0.0,1.0,34.56,34.56,34.22,34.44,53294.0
2016-10-25,34.42,34.5505,33.96,34.29,47591.0,0.0,1.0,34.42,34.5505,33.96,34.29,47591.0
2016-10-24,33.49,34.48,33.2605,34.47,75619.0,0.0,1.0,33.49,34.48,33.2605,34.47,75619.0
2016-10-21,33.15,33.62,33.15,33.38,30862.0,0.0,1.0,33.15,33.62,33.15,33.38,30862.0
2016-10-20,33.41,33.8,33.37,33.62,27480.0,0.0,1.0,33.41,33.8,33.37,33.62,27480.0
2016-10-19,33.27,33.76,33.15,33.62,49549.0,0.0,1.0,33.27,33.76,33.15,33.62,49549.0
2016-10-18,33.29,33.34,32.93,33.08,46026.0,0.0,1.0,33.29,33.34,32.93,33.08,46026.0
2016-10-17,33.23,33.365,33.09,33.14,37944.0,0.0,1.0,33.23,33.365,33.09,33.14,37944.0
2016-10-14,33.23,33.39,33.03,33.2,46060.0,0.0,1.0,33.23,33.39,33.03,33.2,46060.0
