Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,37.3,37.69,37.27,37.41,21022281.0,0.0,1.0,37.3,37.69,37.27,37.41,21022281.0
2016-11-16,36.92,37.23,36.85,37.15,20636815.0,0.0,1.0,36.92,37.23,36.85,37.15,20636815.0
2016-11-15,36.16,36.77,36.14,36.77,20782960.0,0.0,1.0,36.16,36.77,36.14,36.77,20782960.0
2016-11-14,36.61,36.63,36.1,36.13,25930603.0,0.0,1.0,36.61,36.63,36.1,36.13,25930603.0
2016-11-11,36.51,36.57,36.3,36.51,25154724.0,0.0,1.0,36.51,36.57,36.3,36.51,25154724.0
2016-11-10,37.47,37.47,36.4,36.57,37676755.0,0.0,1.0,37.47,37.47,36.4,36.57,37676755.0
2016-11-09,36.97,37.53,36.43,37.44,34547212.0,0.0,1.0,36.97,37.53,36.43,37.44,34547212.0
2016-11-08,36.81,37.09,36.81,36.99,17717058.0,0.0,1.0,36.81,37.09,36.81,36.99,17717058.0
2016-11-07,36.79,36.87,36.64,36.81,21140545.0,0.0,1.0,36.79,36.87,36.64,36.81,21140545.0
2016-11-04,36.78,36.82,36.5,36.5,23256046.0,0.0,1.0,36.78,36.82,36.5,36.5,23256046.0
2016-11-03,36.56,36.99,36.385,36.63,25545905.0,0.0,1.0,36.56,36.99,36.385,36.63,25545905.0
2016-11-02,36.6,36.7,36.3,36.37,25913421.0,0.0,1.0,36.6,36.7,36.3,36.37,25913421.0
2016-11-01,36.97,37.19,36.4,36.56,27585524.0,0.0,1.0,36.97,37.19,36.4,36.56,27585524.0
2016-10-31,36.61,36.82,36.52,36.79,31258535.0,0.0,1.0,36.61,36.82,36.52,36.79,31258535.0
2016-10-28,36.65,36.81,36.44,36.51,23107648.0,0.0,1.0,36.65,36.81,36.44,36.51,23107648.0
2016-10-27,36.6,36.89,36.46,36.52,42019078.0,0.0,1.0,36.6,36.89,36.46,36.52,42019078.0
2016-10-26,36.64,36.77,36.27,36.43,32647560.0,0.0,1.0,36.64,36.77,36.27,36.43,32647560.0
2016-10-25,37.01,37.06,36.55,36.7,39945142.0,0.0,1.0,37.01,37.06,36.55,36.7,39945142.0
2016-10-24,36.51,37.33,36.3,36.86,100130371.0,0.0,1.0,36.51,37.33,36.3,36.86,100130371.0
2016-10-21,38.4,38.67,36.96,37.49,81974031.0,0.0,1.0,38.4,38.67,36.96,37.49,81974031.0
2016-10-20,39.05,39.08,38.5,38.65,31010349.0,0.0,1.0,39.05,39.08,38.5,38.65,31010349.0
2016-10-19,39.46,39.57,39.31,39.38,11650946.0,0.0,1.0,39.46,39.57,39.31,39.38,11650946.0
2016-10-18,39.23,39.45,39.15,39.36,15597429.0,0.0,1.0,39.23,39.45,39.15,39.36,15597429.0
2016-10-17,39.1,39.49,39.05,39.27,13735585.0,0.0,1.0,39.1,39.49,39.05,39.27,13735585.0
2016-10-14,39.41,39.575,39.22,39.22,13492866.0,0.0,1.0,39.41,39.575,39.22,39.22,13492866.0
2016-10-13,39.28,39.48,39.02,39.37,17542267.0,0.0,1.0,39.28,39.48,39.02,39.37,17542267.0
2016-10-12,39.15,39.485,39.06,39.33,17167269.0,0.0,1.0,39.15,39.485,39.06,39.33,17167269.0
2016-10-11,38.94,39.38,38.6,39.1,22122097.0,0.0,1.0,38.94,39.38,38.6,39.1,22122097.0
2016-10-10,38.93,39.2,38.21,39.01,19016973.0,0.0,1.0,38.93,39.2,38.21,39.01,19016973.0
2016-10-07,39.22,39.29,38.71,38.87,19160555.0,0.0,1.0,39.22,39.29,38.71,38.87,19160555.0
2016-10-06,39.13,39.2,38.91,39.11,15747779.0,0.0,1.0,39.13,39.2,38.91,39.11,15747779.0
2016-10-05,39.61,39.63,38.83,39.16,22586484.0,0.48,1.0,39.61,39.63,38.83,39.16,22586484.0
2016-10-04,40.72,40.76,39.71,39.9,33069583.0,0.0,1.0,40.226922300706,40.266437941473,39.229152371342,39.416851664985,33069583.0
2016-10-03,40.62,41.04,40.5,40.77,16515833.0,0.0,1.0,40.128133198789,40.543047426842,40.009586276488,40.276316851665,16515833.0
2016-09-30,40.91,41.04,40.6,40.61,18618180.0,0.0,1.0,40.414621594349,40.543047426842,40.108375378406,40.118254288597,18618180.0
2016-09-29,40.75,41.07,40.44,40.73,17010316.0,0.0,1.0,40.256559031282,40.572684157417,39.950312815338,40.236801210898,17010316.0
2016-09-28,41.01,41.07,40.58,40.85,26243703.0,0.0,1.0,40.513410696266,40.572684157417,40.088617558022,40.355348133199,26243703.0
2016-09-27,41.23,41.7,41.06,41.46,18313531.0,0.0,1.0,40.730746720484,41.195055499495,40.562805247225,40.957961654894,18313531.0
2016-09-26,41.28,41.41,41.11,41.14,16366543.0,0.0,1.0,40.780141271443,40.908567103935,40.612199798184,40.641836528759,16366543.0
2016-09-23,41.15,41.39,40.73,41.28,18731586.0,0.0,1.0,40.651715438951,40.888809283552,40.236801210898,40.780141271443,18731586.0
