Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,33.89,34.49,32.77,32.89,374772.0,0.0,1.0,33.89,34.49,32.77,32.89,374772.0
2016-11-16,35.43,35.9,33.26,33.58,424969.0,0.0,1.0,35.43,35.9,33.26,33.58,424969.0
2016-11-15,35.33,36.74,35.27,35.73,439560.0,0.0,1.0,35.33,36.74,35.27,35.73,439560.0
2016-11-14,34.48,35.75,33.97,35.57,525695.0,0.0,1.0,34.48,35.75,33.97,35.57,525695.0
2016-11-11,30.94,34.6699,30.79,34.11,715494.0,0.0,1.0,30.94,34.6699,30.79,34.11,715494.0
2016-11-10,31.0,31.99,30.175,31.25,990298.0,0.0,1.0,31.0,31.99,30.175,31.25,990298.0
2016-11-09,27.24,31.41,26.87,30.37,1631001.0,0.0,1.0,27.24,31.41,26.87,30.37,1631001.0
2016-11-08,25.2,26.18,25.2,26.15,641488.0,0.0,1.0,25.2,26.18,25.2,26.15,641488.0
2016-11-07,25.5,25.89,25.12,25.82,692728.0,0.0,1.0,25.5,25.89,25.12,25.82,692728.0
2016-11-04,24.57,25.38,24.54,24.95,637316.0,0.0,1.0,24.57,25.38,24.54,24.95,637316.0
2016-11-03,25.87,26.05,24.54,24.57,390190.0,0.0,1.0,25.87,26.05,24.54,24.57,390190.0
2016-11-02,25.33,25.55,25.06,25.1,399148.0,0.0,1.0,25.33,25.55,25.06,25.1,399148.0
2016-11-01,25.35,25.5,25.02,25.38,500751.0,0.0,1.0,25.35,25.5,25.02,25.38,500751.0
2016-10-31,25.24,25.63,25.0,25.13,584358.0,0.0,1.0,25.24,25.63,25.0,25.13,584358.0
2016-10-28,25.63,25.8,24.76,25.42,3829903.0,0.0,1.0,25.63,25.8,24.76,25.42,3829903.0
2016-10-27,29.82,29.82,26.465,26.55,3045920.0,0.0,1.0,29.82,29.82,26.465,26.55,3045920.0
2016-10-26,33.08,33.45,32.47,32.98,180008.0,0.0,1.0,33.08,33.45,32.47,32.98,180008.0
2016-10-25,32.75,33.09,32.624,33.01,130358.0,0.0,1.0,32.75,33.09,32.624,33.01,130358.0
2016-10-24,33.93,33.93,32.14,32.82,162049.0,0.0,1.0,33.93,33.93,32.14,32.82,162049.0
2016-10-21,32.9,34.16,32.63,33.54,324275.0,0.0,1.0,32.9,34.16,32.63,33.54,324275.0
2016-10-20,31.78,33.31,31.37,32.8,378934.0,0.0,1.0,31.78,33.31,31.37,32.8,378934.0
2016-10-19,30.55,32.24,30.14,32.01,254289.0,0.0,1.0,30.55,32.24,30.14,32.01,254289.0
2016-10-18,30.04,31.27,29.86,30.56,382525.0,0.0,1.0,30.04,31.27,29.86,30.56,382525.0
2016-10-17,29.13,30.679,28.39,29.76,339202.0,0.0,1.0,29.13,30.679,28.39,29.76,339202.0
2016-10-14,31.97,32.87,29.02,29.03,683801.0,0.0,1.0,31.97,32.87,29.02,29.03,683801.0
2016-10-13,31.02,32.39,30.41,31.86,579817.0,0.0,1.0,31.02,32.39,30.41,31.86,579817.0
2016-10-12,36.2,36.2,31.5,31.51,1081119.0,0.0,1.0,36.2,36.2,31.5,31.51,1081119.0
2016-10-11,38.25,38.53,36.6,37.44,183301.0,0.0,1.0,38.25,38.53,36.6,37.44,183301.0
2016-10-10,36.92,38.9197,36.92,38.58,303733.0,0.0,1.0,36.92,38.9197,36.92,38.58,303733.0
2016-10-07,36.29,36.94,35.61,36.73,219753.0,0.0,1.0,36.29,36.94,35.61,36.73,219753.0
2016-10-06,37.2,37.2,35.82,36.35,188593.0,0.0,1.0,37.2,37.2,35.82,36.35,188593.0
2016-10-05,36.61,37.46,36.07,37.38,154719.0,0.0,1.0,36.61,37.46,36.07,37.38,154719.0
2016-10-04,36.88,36.88,35.83,36.3,177059.0,0.0,1.0,36.88,36.88,35.83,36.3,177059.0
2016-10-03,36.2,36.93,35.15,36.89,339752.0,0.0,1.0,36.2,36.93,35.15,36.89,339752.0
2016-09-30,35.22,36.48,34.57,36.24,422202.0,0.0,1.0,35.22,36.48,34.57,36.24,422202.0
2016-09-29,36.65,36.78,35.04,35.18,590392.0,0.0,1.0,36.65,36.78,35.04,35.18,590392.0
2016-09-28,37.0,37.1407,36.0,36.91,237857.0,0.0,1.0,37.0,37.1407,36.0,36.91,237857.0
2016-09-27,35.74,36.98,35.45,36.97,144364.0,0.0,1.0,35.74,36.98,35.45,36.97,144364.0
2016-09-26,35.73,36.1,35.1124,35.78,154720.0,0.0,1.0,35.73,36.1,35.1124,35.78,154720.0
2016-09-23,36.36,36.58,35.51,35.79,141187.0,0.0,1.0,36.36,36.58,35.51,35.79,141187.0
2016-09-22,35.7,36.67,35.2,36.58,248123.0,0.0,1.0,35.7,36.67,35.2,36.58,248123.0
2016-09-21,35.39,35.5999,34.35,35.54,199910.0,0.0,1.0,35.39,35.5999,34.35,35.54,199910.0
2016-09-20,33.75,35.22,33.565,35.02,222506.0,0.0,1.0,33.75,35.22,33.565,35.02,222506.0
2016-09-19,33.37,33.69,32.85,33.67,142961.0,0.0,1.0,33.37,33.69,32.85,33.67,142961.0
2016-09-16,32.38,33.32,32.05,33.0,395581.0,0.0,1.0,32.38,33.32,32.05,33.0,395581.0
2016-09-15,31.58,32.24,31.45,32.22,153792.0,0.0,1.0,31.58,32.24,31.45,32.22,153792.0
2016-09-14,30.12,31.96,30.12,31.69,198463.0,0.0,1.0,30.12,31.96,30.12,31.69,198463.0
2016-09-13,30.76,31.125,29.51,30.11,150198.0,0.0,1.0,30.76,31.125,29.51,30.11,150198.0
2016-09-12,30.28,31.15,29.99,31.1,219355.0,0.0,1.0,30.28,31.15,29.99,31.1,219355.0
2016-09-09,30.85,31.23,30.3,30.35,224698.0,0.0,1.0,30.85,31.23,30.3,30.35,224698.0
2016-09-08,29.22,31.24,29.22,31.16,186730.0,0.0,1.0,29.22,31.24,29.22,31.16,186730.0
2016-09-07,29.49,29.81,29.08,29.35,135770.0,0.0,1.0,29.49,29.81,29.08,29.35,135770.0
2016-09-06,28.85,30.0,28.84,29.67,151072.0,0.0,1.0,28.85,30.0,28.84,29.67,151072.0
2016-09-02,29.05,29.205,28.44,28.85,137937.0,0.0,1.0,29.05,29.205,28.44,28.85,137937.0
2016-09-01,28.26,29.15,28.26,28.86,221307.0,0.0,1.0,28.26,29.15,28.26,28.86,221307.0
2016-08-31,28.32,28.66,27.6201,28.36,226485.0,0.0,1.0,28.32,28.66,27.6201,28.36,226485.0
2016-08-30,28.88,29.0,28.29,28.37,115642.0,0.0,1.0,28.88,29.0,28.29,28.37,115642.0
2016-08-29,28.67,28.99,28.19,28.82,196660.0,0.0,1.0,28.67,28.99,28.19,28.82,196660.0
2016-08-26,28.1,28.75,27.76,28.18,158411.0,0.0,1.0,28.1,28.75,27.76,28.18,158411.0
2016-08-25,27.55,28.34,27.37,28.17,212368.0,0.0,1.0,27.55,28.34,27.37,28.17,212368.0
2016-08-24,27.78,28.7,26.9,27.63,332032.0,0.0,1.0,27.78,28.7,26.9,27.63,332032.0
2016-08-23,27.17,28.1,27.05,27.98,157503.0,0.0,1.0,27.17,28.1,27.05,27.98,157503.0
2016-08-22,27.89,28.06,26.68,27.05,263467.0,0.0,1.0,27.89,28.06,26.68,27.05,263467.0
2016-08-19,28.38,28.4,27.78,27.89,98322.0,0.0,1.0,28.38,28.4,27.78,27.89,98322.0
2016-08-18,27.95,28.74,27.8678,28.5,125841.0,0.0,1.0,27.95,28.74,27.8678,28.5,125841.0
2016-08-17,27.59,28.06,27.03,27.99,113474.0,0.0,1.0,27.59,28.06,27.03,27.99,113474.0
2016-08-16,27.99,28.41,27.44,27.51,121268.0,0.0,1.0,27.99,28.41,27.44,27.51,121268.0
2016-08-15,26.98,28.06,26.73,27.95,322623.0,0.0,1.0,26.98,28.06,26.73,27.95,322623.0
2016-08-12,25.97,27.0,25.83,26.96,360259.0,0.0,1.0,25.97,27.0,25.83,26.96,360259.0
2016-08-11,25.52,26.01,24.9334,25.96,248160.0,0.0,1.0,25.52,26.01,24.9334,25.96,248160.0
2016-08-10,26.17,26.43,23.801,25.44,124541.0,0.0,1.0,26.17,26.43,23.801,25.44,124541.0
2016-08-09,25.44,26.35,24.72,26.15,198933.0,0.0,1.0,25.44,26.35,24.72,26.15,198933.0
2016-08-08,25.55,25.55,25.13,25.44,146821.0,0.0,1.0,25.55,25.55,25.13,25.44,146821.0
2016-08-05,24.34,25.5,23.86,25.38,197346.0,0.0,1.0,24.34,25.5,23.86,25.38,197346.0
2016-08-04,24.71,25.22,24.09,24.14,256207.0,0.0,1.0,24.71,25.22,24.09,24.14,256207.0
2016-08-03,26.3,26.79,24.26,24.62,603073.0,0.0,1.0,26.3,26.79,24.26,24.62,603073.0
2016-08-02,26.46,27.5899,26.4,27.26,305891.0,0.0,1.0,26.46,27.5899,26.4,27.26,305891.0
2016-08-01,25.56,26.485,24.965,26.4,327661.0,0.0,1.0,25.56,26.485,24.965,26.4,327661.0
2016-07-29,24.23,25.59,24.18,25.51,283569.0,0.0,1.0,24.23,25.59,24.18,25.51,283569.0
2016-07-28,24.07,24.5,23.82,24.37,134815.0,0.0,1.0,24.07,24.5,23.82,24.37,134815.0
2016-07-27,22.91,24.15,22.91,24.09,193792.0,0.0,1.0,22.91,24.15,22.91,24.09,193792.0
2016-07-26,22.56,22.92,22.4,22.84,144012.0,0.0,1.0,22.56,22.92,22.4,22.84,144012.0
2016-07-25,22.91,23.245,22.55,22.59,118328.0,0.0,1.0,22.91,23.245,22.55,22.59,118328.0
2016-07-22,22.27,22.96,22.13,22.92,230731.0,0.0,1.0,22.27,22.96,22.13,22.92,230731.0
2016-07-21,22.75,23.06,22.0,22.26,154628.0,0.0,1.0,22.75,23.06,22.0,22.26,154628.0
