Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,30.52,30.75,30.4222,30.58,86851.0,0.0,1.0,30.52,30.75,30.4222,30.58,86851.0
2016-11-16,30.39,30.7,30.21,30.61,57833.0,0.0,1.0,30.39,30.7,30.21,30.61,57833.0
2016-11-15,30.05,30.71,29.81,30.67,44137.0,0.0,1.0,30.05,30.71,29.81,30.67,44137.0
2016-11-14,29.98,31.0,29.81,30.33,85343.0,0.0,1.0,29.98,31.0,29.81,30.33,85343.0
2016-11-11,29.25,30.0,29.19,29.98,127034.0,0.0,1.0,29.25,30.0,29.19,29.98,127034.0
2016-11-10,27.98,29.25,27.39,29.17,77756.0,0.0,1.0,27.98,29.25,27.39,29.17,77756.0
2016-11-09,26.61,28.08,26.57,27.9,73145.0,0.0,1.0,26.61,28.08,26.57,27.9,73145.0
2016-11-08,26.35,26.74,26.31,26.43,28816.0,0.0,1.0,26.35,26.74,26.31,26.43,28816.0
2016-11-07,26.1,26.63,25.955,26.49,46488.0,0.0,1.0,26.1,26.63,25.955,26.49,46488.0
2016-11-04,25.9,25.96,25.61,25.66,33664.0,0.0,1.0,25.9,25.96,25.61,25.66,33664.0
2016-11-03,25.63,25.83,25.63,25.81,31019.0,0.0,1.0,25.63,25.83,25.63,25.81,31019.0
2016-11-02,25.56,25.95,25.4301,25.49,50923.0,0.0,1.0,25.56,25.95,25.4301,25.49,50923.0
2016-11-01,26.44,26.465,25.65,25.76,40758.0,0.0,1.0,26.44,26.465,25.65,25.76,40758.0
2016-10-31,26.21,26.8,25.93,26.32,36940.0,0.0,1.0,26.21,26.8,25.93,26.32,36940.0
2016-10-28,27.49,27.49,26.1,26.23,26979.0,0.0,1.0,27.49,27.49,26.1,26.23,26979.0
2016-10-27,26.95,27.52,26.36,26.41,53317.0,0.0,1.0,26.95,27.52,26.36,26.41,53317.0
2016-10-26,26.44,26.54,26.31,26.37,21725.0,0.0,1.0,26.44,26.54,26.31,26.37,21725.0
2016-10-25,26.35,26.57,26.25,26.51,39022.0,0.0,1.0,26.35,26.57,26.25,26.51,39022.0
2016-10-24,26.44,26.81,26.44,26.57,30569.0,0.0,1.0,26.44,26.81,26.44,26.57,30569.0
2016-10-21,26.29,26.53,26.08,26.21,37826.0,0.0,1.0,26.29,26.53,26.08,26.21,37826.0
2016-10-20,26.51,26.81,26.24,26.43,23900.0,0.0,1.0,26.51,26.81,26.24,26.43,23900.0
2016-10-19,26.22,26.68,26.22,26.47,40482.0,0.0,1.0,26.22,26.68,26.22,26.47,40482.0
2016-10-18,26.16,26.23,25.9,26.18,30761.0,0.0,1.0,26.16,26.23,25.9,26.18,30761.0
2016-10-17,25.85,26.12,25.85,25.98,22772.0,0.0,1.0,25.85,26.12,25.85,25.98,22772.0
2016-10-14,26.25,26.38,25.88,26.02,49284.0,0.0,1.0,26.25,26.38,25.88,26.02,49284.0
2016-10-13,26.33,26.33,25.94,26.0,30528.0,0.0,1.0,26.33,26.33,25.94,26.0,30528.0
2016-10-12,26.61,26.81,26.34,26.43,46343.0,0.0,1.0,26.61,26.81,26.34,26.43,46343.0
2016-10-11,26.84,27.21,26.47,26.54,51103.0,0.0,1.0,26.84,27.21,26.47,26.54,51103.0
2016-10-10,26.73,26.94,26.59,26.85,20465.0,0.0,1.0,26.73,26.94,26.59,26.85,20465.0
2016-10-07,26.61,26.67,26.26,26.6,28761.0,0.0,1.0,26.61,26.67,26.26,26.6,28761.0
2016-10-06,26.51,26.69,26.44,26.56,30384.0,0.0,1.0,26.51,26.69,26.44,26.56,30384.0
2016-10-05,26.49,26.81,26.44,26.54,33913.0,0.0,1.0,26.49,26.81,26.44,26.54,33913.0
2016-10-04,26.4,26.99,25.9201,26.45,26895.0,0.0,1.0,26.4,26.99,25.9201,26.45,26895.0
2016-10-03,26.57,26.61,26.23,26.4,33436.0,0.0,1.0,26.57,26.61,26.23,26.4,33436.0
2016-09-30,26.39,26.89,26.33,26.77,42959.0,0.0,1.0,26.39,26.89,26.33,26.77,42959.0
2016-09-29,26.36,26.67,26.2,26.25,43072.0,0.0,1.0,26.36,26.67,26.2,26.25,43072.0
2016-09-28,26.39,26.53,26.19,26.49,45510.0,0.0,1.0,26.39,26.53,26.19,26.49,45510.0
2016-09-27,26.22,26.57,25.84,26.39,31419.0,0.0,1.0,26.22,26.57,25.84,26.39,31419.0
2016-09-26,26.76,26.76,25.79,26.2,33552.0,0.0,1.0,26.76,26.76,25.79,26.2,33552.0
2016-09-23,26.84,26.99,26.58,26.91,90247.0,0.0,1.0,26.84,26.99,26.58,26.91,90247.0
2016-09-22,26.82,26.99,26.42,26.96,54625.0,0.0,1.0,26.82,26.99,26.42,26.96,54625.0
2016-09-21,26.62,26.92,26.51,26.64,56669.0,0.0,1.0,26.62,26.92,26.51,26.64,56669.0
2016-09-20,26.81,26.88,26.54,26.58,43084.0,0.0,1.0,26.81,26.88,26.54,26.58,43084.0
