Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,25.75,26.21,25.75,25.92,516694.0,0.0,1.0,25.75,26.21,25.75,25.92,516694.0
2016-11-16,25.59,25.78,25.13,25.69,644624.0,0.0,1.0,25.59,25.78,25.13,25.69,644624.0
2016-11-15,25.71,25.75,25.4105,25.56,522507.0,0.0,1.0,25.71,25.75,25.4105,25.56,522507.0
2016-11-14,25.92,26.02,25.5,25.57,447224.0,0.0,1.0,25.92,26.02,25.5,25.57,447224.0
2016-11-11,25.29,25.81,25.26,25.74,353238.0,0.0,1.0,25.29,25.81,25.26,25.74,353238.0
2016-11-10,26.17,26.18,25.3,25.42,472561.0,0.0,1.0,26.17,26.18,25.3,25.42,472561.0
2016-11-09,25.49,25.99,25.38,25.97,447990.0,0.0,1.0,25.49,25.99,25.38,25.97,447990.0
2016-11-08,25.77,25.99,25.55,25.72,477890.0,0.0,1.0,25.77,25.99,25.55,25.72,477890.0
2016-11-07,25.61,25.93,25.27,25.9,624584.0,0.0,1.0,25.61,25.93,25.27,25.9,624584.0
2016-11-04,24.71,25.82,24.12,25.32,787870.0,0.0,1.0,24.71,25.82,24.12,25.32,787870.0
2016-11-03,25.04,25.29,24.88,25.04,497123.0,0.0,1.0,25.04,25.29,24.88,25.04,497123.0
2016-11-02,25.56,25.77,24.86,25.04,584572.0,0.0,1.0,25.56,25.77,24.86,25.04,584572.0
2016-11-01,25.85,26.05,25.42,25.67,475573.0,0.0,1.0,25.85,26.05,25.42,25.67,475573.0
2016-10-31,25.9,26.07,25.67,25.84,865543.0,0.0,1.0,25.9,26.07,25.67,25.84,865543.0
2016-10-28,26.37,26.88,25.75,25.79,441797.0,0.0,1.0,26.37,26.88,25.75,25.79,441797.0
2016-10-27,26.18,26.495,25.99,26.37,492957.0,0.0,1.0,26.18,26.495,25.99,26.37,492957.0
2016-10-26,26.24,26.39,26.02,26.07,370273.0,0.0,1.0,26.24,26.39,26.02,26.07,370273.0
2016-10-25,26.79,26.92,26.28,26.34,326197.0,0.0,1.0,26.79,26.92,26.28,26.34,326197.0
2016-10-24,27.97,27.97,26.54,26.86,456044.0,0.0,1.0,27.97,27.97,26.54,26.86,456044.0
2016-10-21,26.54,26.745,26.35,26.55,375139.0,0.0,1.0,26.54,26.745,26.35,26.55,375139.0
2016-10-20,26.79,26.93,26.51,26.7,280524.0,0.0,1.0,26.79,26.93,26.51,26.7,280524.0
2016-10-19,27.03,27.14,26.825,26.93,383670.0,0.0,1.0,27.03,27.14,26.825,26.93,383670.0
2016-10-18,27.17,27.21,26.87,26.97,342847.0,0.0,1.0,27.17,27.21,26.87,26.97,342847.0
2016-10-17,26.74,27.0,26.44,26.8,481054.0,0.0,1.0,26.74,27.0,26.44,26.8,481054.0
2016-10-14,26.76,27.05,26.68,26.75,287438.0,0.0,1.0,26.76,27.05,26.68,26.75,287438.0
2016-10-13,26.72,26.76,26.55,26.61,289797.0,0.0,1.0,26.72,26.76,26.55,26.61,289797.0
2016-10-12,26.84,26.9799,26.71,26.92,378218.0,0.0,1.0,26.84,26.9799,26.71,26.92,378218.0
2016-10-11,27.1,27.14,26.61,26.78,397196.0,0.0,1.0,27.1,27.14,26.61,26.78,397196.0
2016-10-10,26.87,27.33,26.87,27.2,298941.0,0.0,1.0,26.87,27.33,26.87,27.2,298941.0
2016-10-07,27.1,27.15,26.56,26.68,345961.0,0.0,1.0,27.1,27.15,26.56,26.68,345961.0
2016-10-06,27.13,27.17,26.745,27.07,338001.0,0.0,1.0,27.13,27.17,26.745,27.07,338001.0
2016-10-05,27.48,27.57,27.1,27.2,929106.0,0.0,1.0,27.48,27.57,27.1,27.2,929106.0
