Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,0.59,0.595,0.564,0.595,9574.0,0.0,1.0,0.59,0.595,0.564,0.595,9574.0
2016-11-16,0.5501,0.595,0.54,0.58,83629.0,0.0,1.0,0.5501,0.595,0.54,0.58,83629.0
2016-11-15,0.57,0.58,0.53,0.57,83873.0,0.0,1.0,0.57,0.58,0.53,0.57,83873.0
2016-11-14,0.569,0.58,0.51,0.58,96432.0,0.0,1.0,0.569,0.58,0.51,0.58,96432.0
2016-11-11,0.56,0.59,0.53,0.57,74585.0,0.0,1.0,0.56,0.59,0.53,0.57,74585.0
2016-11-10,0.59,0.5902,0.5301,0.5665,117442.0,0.0,1.0,0.59,0.5902,0.5301,0.5665,117442.0
2016-11-09,0.55,0.6,0.55,0.56,32656.0,0.0,1.0,0.55,0.6,0.55,0.56,32656.0
2016-11-08,0.59,0.63,0.5601,0.6,43775.0,0.0,1.0,0.59,0.63,0.5601,0.6,43775.0
2016-11-07,0.6,0.65,0.5731,0.59,134824.0,0.0,1.0,0.6,0.65,0.5731,0.59,134824.0
2016-11-04,0.591,0.63,0.565,0.5674,122503.0,0.0,1.0,0.591,0.63,0.565,0.5674,122503.0
2016-11-03,0.65,0.65,0.5901,0.5917,101352.0,0.0,1.0,0.65,0.65,0.5901,0.5917,101352.0
2016-11-02,0.665,0.668,0.58,0.65,140984.0,0.0,1.0,0.665,0.668,0.58,0.65,140984.0
2016-11-01,0.6301,0.67,0.6301,0.6691,71120.0,0.0,1.0,0.6301,0.67,0.6301,0.6691,71120.0
2016-10-31,0.67,0.67,0.6301,0.6301,7876.0,0.0,1.0,0.67,0.67,0.6301,0.6301,7876.0
2016-10-28,0.6401,0.67,0.6301,0.6301,31451.0,0.0,1.0,0.6401,0.67,0.6301,0.6301,31451.0
2016-10-27,0.652,0.66,0.63,0.66,146173.0,0.0,1.0,0.652,0.66,0.63,0.66,146173.0
2016-10-26,0.64,0.67,0.64,0.67,10123.0,0.0,1.0,0.64,0.67,0.64,0.67,10123.0
