Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,22.71,23.16,22.71,23.05,2398257.0,0.0,1.0,22.71,23.16,22.71,23.05,2398257.0
2016-11-16,22.62,22.8,22.45,22.62,1530491.0,0.0,1.0,22.62,22.8,22.45,22.62,1530491.0
2016-11-15,22.46,22.81,22.46,22.69,3068363.0,0.0,1.0,22.46,22.81,22.46,22.69,3068363.0
2016-11-14,21.29,22.63,21.28,22.38,5947283.0,0.0,1.0,21.29,22.63,21.28,22.38,5947283.0
2016-11-11,19.74,21.2565,19.69,21.24,5112471.0,0.0,1.0,19.74,21.2565,19.69,21.24,5112471.0
2016-11-10,19.42,20.09,19.42,19.8,3390413.0,0.0,1.0,19.42,20.09,19.42,19.8,3390413.0
2016-11-09,18.62,19.32,18.23,19.26,3312193.0,0.0,1.0,18.62,19.32,18.23,19.26,3312193.0
2016-11-08,18.49,18.83,18.44,18.77,2014567.0,0.0,1.0,18.49,18.83,18.44,18.77,2014567.0
2016-11-07,18.36,18.59,18.1,18.57,2084584.0,0.0,1.0,18.36,18.59,18.1,18.57,2084584.0
2016-11-04,18.25,18.35,17.91,18.02,2573232.0,0.0,1.0,18.25,18.35,17.91,18.02,2573232.0
2016-11-03,18.28,18.52,17.96,18.27,3921046.0,0.0,1.0,18.28,18.52,17.96,18.27,3921046.0
2016-11-02,19.85,20.0,18.03,18.46,6158272.0,0.0,1.0,19.85,20.0,18.03,18.46,6158272.0
2016-11-01,19.98,20.19,19.66,19.9,4181845.0,0.0,1.0,19.98,20.19,19.66,19.9,4181845.0
2016-10-31,19.63,19.74,19.455,19.62,2071100.0,0.0,1.0,19.63,19.74,19.455,19.62,2071100.0
2016-10-28,19.6,19.9,19.49,19.66,1415857.0,0.0,1.0,19.6,19.9,19.49,19.66,1415857.0
2016-10-27,20.05,20.1,19.38,19.64,2970266.0,0.0,1.0,20.05,20.1,19.38,19.64,2970266.0
2016-10-26,19.78,20.035,19.74,19.94,2045104.0,0.0,1.0,19.78,20.035,19.74,19.94,2045104.0
2016-10-25,20.0,20.06,19.74,19.84,1856074.0,0.0,1.0,20.0,20.06,19.74,19.84,1856074.0
2016-10-24,20.25,20.3,20.03,20.1,1556517.0,0.0,1.0,20.25,20.3,20.03,20.1,1556517.0
2016-10-21,19.99,20.26,19.905,20.12,1270235.0,0.0,1.0,19.99,20.26,19.905,20.12,1270235.0
2016-10-20,20.33,20.34,20.04,20.14,1521133.0,0.0,1.0,20.33,20.34,20.04,20.14,1521133.0
2016-10-19,20.12,20.41,19.95,20.33,3792071.0,0.0,1.0,20.12,20.41,19.95,20.33,3792071.0
2016-10-18,20.09,20.18,19.97,20.03,1236320.0,0.0,1.0,20.09,20.18,19.97,20.03,1236320.0
2016-10-17,19.87,20.01,19.8,19.89,1334933.0,0.0,1.0,19.87,20.01,19.8,19.89,1334933.0
2016-10-14,20.05,20.17,19.71,19.94,1995316.0,0.0,1.0,20.05,20.17,19.71,19.94,1995316.0
2016-10-13,20.06,20.11,19.8,19.94,2422696.0,0.0,1.0,20.06,20.11,19.8,19.94,2422696.0
2016-10-12,20.56,20.62,20.14,20.24,2150631.0,0.0,1.0,20.56,20.62,20.14,20.24,2150631.0
2016-10-11,20.76,20.76,20.2273,20.59,3115626.0,0.0,1.0,20.76,20.76,20.2273,20.59,3115626.0
2016-10-10,21.12,21.27,20.8,20.81,1151975.0,0.0,1.0,21.12,21.27,20.8,20.81,1151975.0
2016-10-07,21.72,21.72,20.98,21.05,2384895.0,0.0,1.0,21.72,21.72,20.98,21.05,2384895.0
2016-10-06,21.98,22.19,21.66,21.68,1651594.0,0.0,1.0,21.98,22.19,21.66,21.68,1651594.0
2016-10-05,21.83,22.065,21.82,22.02,1720249.0,0.0,1.0,21.83,22.065,21.82,22.02,1720249.0
2016-10-04,22.14,22.14,21.77,21.88,1579137.0,0.0,1.0,22.14,22.14,21.77,21.88,1579137.0
2016-10-03,21.87,22.12,21.73,22.11,1421531.0,0.0,1.0,21.87,22.12,21.73,22.11,1421531.0
2016-09-30,21.57,21.9,21.41,21.86,1732399.0,0.0,1.0,21.57,21.9,21.41,21.86,1732399.0
2016-09-29,21.69,21.92,21.535,21.55,1353810.0,0.0,1.0,21.69,21.92,21.535,21.55,1353810.0
2016-09-28,21.38,21.77,21.37,21.76,1334739.0,0.0,1.0,21.38,21.77,21.37,21.76,1334739.0
2016-09-27,21.28,21.56,21.13,21.29,1434042.0,0.0,1.0,21.28,21.56,21.13,21.29,1434042.0
2016-09-26,21.23,21.56,21.1,21.35,1296685.0,0.0,1.0,21.23,21.56,21.1,21.35,1296685.0
2016-09-23,21.2,21.52,21.1201,21.32,1165493.0,0.0,1.0,21.2,21.52,21.1201,21.32,1165493.0
2016-09-22,21.06,21.34,21.06,21.25,1041316.0,0.0,1.0,21.06,21.34,21.06,21.25,1041316.0
2016-09-21,20.49,20.92,20.45,20.88,1791438.0,0.0,1.0,20.49,20.92,20.45,20.88,1791438.0
2016-09-20,21.3,21.33,20.45,20.54,1836775.0,0.0,1.0,21.3,21.33,20.45,20.54,1836775.0
2016-09-19,21.54,21.69,21.21,21.35,1475562.0,0.0,1.0,21.54,21.69,21.21,21.35,1475562.0
2016-09-16,20.97,21.43,20.91,21.41,2521321.0,0.0,1.0,20.97,21.43,20.91,21.41,2521321.0
2016-09-15,21.02,21.345,20.89,21.17,1048226.0,0.0,1.0,21.02,21.345,20.89,21.17,1048226.0
2016-09-14,21.08,21.21,20.91,21.07,1255337.0,0.0,1.0,21.08,21.21,20.91,21.07,1255337.0
2016-09-13,21.35,21.5,20.97,21.12,1513780.0,0.0,1.0,21.35,21.5,20.97,21.12,1513780.0
2016-09-12,20.95,21.63,20.92,21.58,2259921.0,0.0,1.0,20.95,21.63,20.92,21.58,2259921.0
2016-09-09,21.62,21.7,21.11,21.12,2048123.0,0.0,1.0,21.62,21.7,21.11,21.12,2048123.0
2016-09-08,21.69,21.83,21.0,21.76,3901687.0,0.0,1.0,21.69,21.83,21.0,21.76,3901687.0
2016-09-07,20.63,21.85,20.63,21.81,6500210.0,0.14,1.0,20.63,21.85,20.63,21.81,6500210.0
2016-09-06,20.7,20.7614,20.11,20.16,1244025.0,0.0,1.0,20.567972665148,20.628981047836,19.981735763098,20.031416856492,1244025.0
2016-09-02,20.56,20.66,20.43,20.66,1152928.0,0.0,1.0,20.428865603645,20.528227790433,20.29969476082,20.528227790433,1152928.0
2016-09-01,20.25,20.6,20.1,20.38,1807183.0,0.0,1.0,20.120842824601,20.46861047836,19.971799544419,20.250013667426,1807183.0
2016-08-31,20.49,20.519,20.17,20.26,1934342.0,0.0,1.0,20.359312072893,20.388127107061,20.041353075171,20.13077904328,1934342.0
2016-08-30,20.5,20.53,20.3699,20.49,1297347.0,0.0,1.0,20.369248291572,20.399056947608,20.23997808656,20.359312072893,1297347.0
2016-08-29,20.84,20.88,20.31,20.43,2690633.0,0.0,1.0,20.707079726651,20.746824601367,20.180460136674,20.29969476082,2690633.0
2016-08-26,21.15,21.32,20.78,20.89,1215793.0,0.0,1.0,21.015102505695,21.184018223235,20.647462414579,20.756760820046,1215793.0
2016-08-25,21.5,21.6,21.01,21.05,1587999.0,0.0,1.0,21.362870159453,21.462232346241,20.875995444191,20.915740318907,1587999.0
