Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-04-15,31.96,32.05,30.52,31.6,20600866.0,0.0,1.0,31.96,32.05,30.52,31.6,20600866.0
2016-04-14,31.86,32.8,31.66,32.23,3680375.0,0.0,1.0,31.86,32.8,31.66,32.23,3680375.0
2016-04-13,29.76,31.985,29.76,31.72,3461040.0,0.0,1.0,29.76,31.985,29.76,31.72,3461040.0
2016-04-12,28.7,29.11,28.57,29.04,1567004.0,0.0,1.0,28.7,29.11,28.57,29.04,1567004.0
2016-04-11,29.15,29.27,28.46,28.64,1436127.0,0.0,1.0,29.15,29.27,28.46,28.64,1436127.0
2016-04-08,28.7,29.34,28.09,29.0,2375271.0,0.0,1.0,28.7,29.34,28.09,29.0,2375271.0
2016-04-07,28.56,29.21,28.09,28.53,1191448.0,0.0,1.0,28.56,29.21,28.09,28.53,1191448.0
2016-04-06,28.24,28.9,27.95,28.85,987464.0,0.0,1.0,28.24,28.9,27.95,28.85,987464.0
2016-04-05,28.26,28.77,27.85,28.2,1113321.0,0.0,1.0,28.26,28.77,27.85,28.2,1113321.0
2016-04-04,28.89,29.16,28.47,28.56,1270827.0,0.0,1.0,28.89,29.16,28.47,28.56,1270827.0
2016-04-01,28.79,29.15,28.23,28.89,1318384.0,0.0,1.0,28.79,29.15,28.23,28.89,1318384.0
2016-03-31,28.96,29.27,28.43,28.93,1207053.0,0.0,1.0,28.96,29.27,28.43,28.93,1207053.0
2016-03-30,29.51,29.9,28.83,28.93,1538618.0,0.0,1.0,29.51,29.9,28.83,28.93,1538618.0
2016-03-29,27.84,29.29,27.67,29.27,1407542.0,0.0,1.0,27.84,29.29,27.67,29.27,1407542.0
2016-03-28,28.13,28.45,27.58,28.01,1189174.0,0.0,1.0,28.13,28.45,27.58,28.01,1189174.0
2016-03-24,28.56,28.75,27.28,27.98,2264863.0,0.0,1.0,28.56,28.75,27.28,27.98,2264863.0
