Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,76.08,77.135,75.44,77.1,5210386.0,0.0,1.0,76.08,77.135,75.44,77.1,5210386.0
2016-11-16,73.5,76.52,73.5,76.39,6303204.0,0.0,1.0,73.5,76.52,73.5,76.39,6303204.0
2016-11-15,73.3,74.65,72.32,73.49,6171991.0,0.0,1.0,73.3,74.65,72.32,73.49,6171991.0
2016-11-14,75.52,76.04,73.96,74.22,5747677.0,0.0,1.0,75.52,76.04,73.96,74.22,5747677.0
2016-11-11,74.89,75.51,74.62,75.39,3458551.0,0.0,1.0,74.89,75.51,74.62,75.39,3458551.0
2016-11-10,74.39,76.08,74.39,75.39,5154080.0,0.0,1.0,74.39,76.08,74.39,75.39,5154080.0
2016-11-09,71.89,74.15,71.5,73.94,3868568.0,0.0,1.0,71.89,74.15,71.5,73.94,3868568.0
2016-11-08,73.13,73.7,72.81,73.23,3361512.0,0.26,1.0,73.13,73.7,72.81,73.23,3361512.0
2016-11-07,72.8,73.35,72.34,73.33,4259491.0,0.0,1.0,72.8,73.35,72.34,73.33,4259491.0
2016-11-04,72.07,72.51,71.73,71.92,2990378.0,0.0,1.0,72.07,72.51,71.73,71.92,2990378.0
2016-11-03,72.88,73.18,71.632,71.8,2656345.0,0.0,1.0,72.88,73.18,71.632,71.8,2656345.0
2016-11-02,72.33,73.15,72.3,72.74,2732501.0,0.0,1.0,72.074451691806,72.891554559043,72.044557684468,72.483003125425,2732501.0
2016-11-01,73.68,73.76,72.34,72.47,2855740.0,0.0,1.0,73.419682022014,73.499399374915,72.084416360919,72.213957059383,2855740.0
2016-10-31,73.55,73.83,73.23,73.75,2668252.0,0.0,1.0,73.55,73.83,73.23,73.75,2668252.0
2016-10-28,73.31,73.97,73.0284,73.48,1476006.0,0.0,1.0,73.31,73.97,73.0284,73.48,1476006.0
2016-10-27,74.03,74.27,73.11,73.18,2002293.0,0.0,1.0,74.03,74.27,73.11,73.18,2002293.0
2016-10-26,73.26,74.29,73.14,74.09,1767747.0,0.0,1.0,73.26,74.29,73.14,74.09,1767747.0
2016-10-25,73.67,73.89,72.97,73.62,2483180.0,0.0,1.0,73.67,73.89,72.97,73.62,2483180.0
2016-10-24,73.87,74.23,73.61,74.18,1942766.0,0.0,1.0,73.87,74.23,73.61,74.18,1942766.0
2016-10-21,73.25,73.7,72.8,73.49,1986185.0,0.0,1.0,73.25,73.7,72.8,73.49,1986185.0
2016-10-20,73.7,73.85,73.23,73.29,1552106.0,0.0,1.0,73.7,73.85,73.23,73.29,1552106.0
2016-10-19,73.4,73.6,72.78,73.46,2168254.0,0.0,1.0,73.4,73.6,72.78,73.46,2168254.0
2016-10-18,73.8,73.97,72.51,73.16,2083253.0,0.0,1.0,73.8,73.97,72.51,73.16,2083253.0
2016-10-17,74.06,74.18,73.19,73.32,2102472.0,0.0,1.0,74.06,74.18,73.19,73.32,2102472.0
2016-10-14,74.67,74.74,74.21,74.23,2574939.0,0.0,1.0,74.67,74.74,74.21,74.23,2574939.0
2016-10-13,75.08,75.09,73.9,74.47,2880490.0,0.0,1.0,75.08,75.09,73.9,74.47,2880490.0
2016-10-12,74.18,75.545,74.0405,75.39,2827505.0,0.0,1.0,74.18,75.545,74.0405,75.39,2827505.0
2016-10-11,74.53,74.84,74.18,74.23,2829483.0,0.0,1.0,74.53,74.84,74.18,74.23,2829483.0
2016-10-10,74.62,75.22,74.45,74.83,3012165.0,0.0,1.0,74.62,75.22,74.45,74.83,3012165.0
2016-10-07,74.87,75.15,73.24,73.74,4986500.0,0.0,1.0,74.87,75.15,73.24,73.74,4986500.0
2016-10-06,73.98,74.4,73.56,74.22,2574487.0,0.0,1.0,73.98,74.4,73.56,74.22,2574487.0
2016-10-05,74.42,74.9,74.12,74.2,2109479.0,0.0,1.0,74.42,74.9,74.12,74.2,2109479.0
2016-10-04,74.43,74.94,74.16,74.39,2706785.0,0.0,1.0,74.43,74.94,74.16,74.39,2706785.0
2016-10-03,74.43,74.82,74.31,74.35,3272166.0,0.0,1.0,74.43,74.82,74.31,74.35,3272166.0
2016-09-30,74.53,74.97,74.17,74.78,3026498.0,0.0,1.0,74.53,74.97,74.17,74.78,3026498.0
2016-09-29,74.55,74.655,73.84,73.87,2802189.0,0.0,1.0,74.55,74.655,73.84,73.87,2802189.0
2016-09-28,75.27,75.47,74.16,74.39,2676369.0,0.0,1.0,75.27,75.47,74.16,74.39,2676369.0
