Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,38.15,38.7,37.8,38.6,642523.0,0.0,1.0,38.15,38.7,37.8,38.6,642523.0
2016-11-16,39.25,39.4,38.15,38.65,607338.0,0.0,1.0,39.25,39.4,38.15,38.65,607338.0
2016-11-15,38.95,39.75,38.61,39.65,462686.0,0.0,1.0,38.95,39.75,38.61,39.65,462686.0
2016-11-14,38.85,39.15,38.4,39.15,921456.0,0.0,1.0,38.85,39.15,38.4,39.15,921456.0
2016-11-11,38.15,38.75,37.9,38.45,685199.0,0.0,1.0,38.15,38.75,37.9,38.45,685199.0
2016-11-10,36.95,39.0,36.95,38.45,1365139.0,0.0,1.0,36.95,39.0,36.95,38.45,1365139.0
2016-11-09,34.05,36.975,34.05,36.75,1006473.0,0.0,1.0,34.05,36.975,34.05,36.75,1006473.0
2016-11-08,33.8,34.5,33.6,33.95,906841.0,0.0,1.0,33.8,34.5,33.6,33.95,906841.0
2016-11-07,34.75,35.25,33.5,33.75,1068106.0,0.0,1.0,34.75,35.25,33.5,33.75,1068106.0
2016-11-04,31.9,32.75,31.9,32.3,432892.0,0.0,1.0,31.9,32.75,31.9,32.3,432892.0
2016-11-03,32.05,32.15,31.6,32.0,595462.0,0.0,1.0,32.05,32.15,31.6,32.0,595462.0
2016-11-02,32.55,32.65,31.95,32.05,537363.0,0.0,1.0,32.55,32.65,31.95,32.05,537363.0
2016-11-01,33.4,33.4,32.45,32.6,504581.0,0.0,1.0,33.4,33.4,32.45,32.6,504581.0
2016-10-31,33.15,33.45,32.975,33.05,667916.0,0.0,1.0,33.15,33.45,32.975,33.05,667916.0
2016-10-28,32.87,33.48,32.87,32.98,861181.0,0.0,1.0,32.87,33.48,32.87,32.98,861181.0
2016-10-27,34.74,34.74,32.83,33.2,1258227.0,0.0,1.0,34.74,34.74,32.83,33.2,1258227.0
2016-10-26,34.35,35.33,34.35,34.95,996476.0,0.0,1.0,34.35,35.33,34.35,34.95,996476.0
2016-10-25,34.32,34.72,34.16,34.59,592828.0,0.0,1.0,34.32,34.72,34.16,34.59,592828.0
2016-10-24,34.95,35.11,34.19,34.4,423728.0,0.0,1.0,34.95,35.11,34.19,34.4,423728.0
2016-10-21,33.92,34.65,33.47,34.46,548300.0,0.0,1.0,33.92,34.65,33.47,34.46,548300.0
2016-10-20,34.37,34.69,34.12,34.21,354687.0,0.0,1.0,34.37,34.69,34.12,34.21,354687.0
2016-10-19,34.73,34.75,34.14,34.59,743426.0,0.0,1.0,34.73,34.75,34.14,34.59,743426.0
2016-10-18,35.1,35.11,34.34,34.65,348711.0,0.0,1.0,35.1,35.11,34.34,34.65,348711.0
2016-10-17,34.38,34.78,34.37,34.52,289567.0,0.0,1.0,34.38,34.78,34.37,34.52,289567.0
2016-10-14,34.67,34.76,34.13,34.42,383634.0,0.0,1.0,34.67,34.76,34.13,34.42,383634.0
2016-10-13,34.21,34.42,34.02,34.26,325861.0,0.0,1.0,34.21,34.42,34.02,34.26,325861.0
2016-10-12,34.54,34.88,34.21,34.71,382995.0,0.0,1.0,34.54,34.88,34.21,34.71,382995.0
2016-10-11,34.69,34.84,34.34,34.49,372852.0,0.0,1.0,34.69,34.84,34.34,34.49,372852.0
2016-10-10,35.07,35.41,34.79,34.89,439011.0,0.0,1.0,35.07,35.41,34.79,34.89,439011.0
2016-10-07,35.83,35.83,34.61,34.95,592631.0,0.0,1.0,35.83,35.83,34.61,34.95,592631.0
2016-10-06,35.27,35.87,35.11,35.87,484287.0,0.0,1.0,35.27,35.87,35.11,35.87,484287.0
2016-10-05,34.75,35.44,34.75,35.41,414909.0,0.0,1.0,34.75,35.44,34.75,35.41,414909.0
2016-10-04,35.0,35.23,34.48,34.56,447305.0,0.0,1.0,35.0,35.23,34.48,34.56,447305.0
2016-10-03,34.95,35.27,34.79,34.88,507732.0,0.0,1.0,34.95,35.27,34.79,34.88,507732.0
2016-09-30,34.65,35.28,34.6,35.14,629119.0,0.0,1.0,34.65,35.28,34.6,35.14,629119.0
2016-09-29,34.5,34.95,34.46,34.56,561034.0,0.0,1.0,34.5,34.95,34.46,34.56,561034.0
2016-09-28,34.04,34.71,33.86,34.69,366461.0,0.0,1.0,34.04,34.71,33.86,34.69,366461.0
2016-09-27,33.29,33.89,33.29,33.81,553937.0,0.0,1.0,33.29,33.89,33.29,33.81,553937.0
2016-09-26,33.16,33.76,32.96,33.62,666077.0,0.0,1.0,33.16,33.76,32.96,33.62,666077.0
2016-09-23,33.49,33.64,33.0199,33.26,411648.0,0.0,1.0,33.49,33.64,33.0199,33.26,411648.0
2016-09-22,33.34,33.68,33.25,33.67,549111.0,0.0,1.0,33.34,33.68,33.25,33.67,549111.0
2016-09-21,32.41,32.95,32.29,32.93,363357.0,0.0,1.0,32.41,32.95,32.29,32.93,363357.0
2016-09-20,32.6,32.64,32.22,32.22,356487.0,0.0,1.0,32.6,32.64,32.22,32.22,356487.0
2016-09-19,32.61,32.84,32.27,32.44,690644.0,0.0,1.0,32.61,32.84,32.27,32.44,690644.0
2016-09-16,32.2,32.37,31.86,32.17,684932.0,0.0,1.0,32.2,32.37,31.86,32.17,684932.0
2016-09-15,31.92,32.585,31.76,32.53,660328.0,0.0,1.0,31.92,32.585,31.76,32.53,660328.0
2016-09-14,32.42,32.555,31.71,31.87,583291.0,0.0,1.0,32.42,32.555,31.71,31.87,583291.0
2016-09-13,32.8,33.08,32.05,32.35,615389.0,0.0,1.0,32.8,33.08,32.05,32.35,615389.0
2016-09-12,32.33,33.5,32.33,33.37,488648.0,0.0,1.0,32.33,33.5,32.33,33.37,488648.0
2016-09-09,33.48,33.49,32.74,32.75,1094185.0,0.0,1.0,33.48,33.49,32.74,32.75,1094185.0
2016-09-08,33.74,33.88,33.57,33.68,253773.0,0.0,1.0,33.74,33.88,33.57,33.68,253773.0
2016-09-07,33.37,33.81,33.37,33.81,300317.0,0.0,1.0,33.37,33.81,33.37,33.81,300317.0
2016-09-06,34.01,34.15,33.415,33.51,369665.0,0.0,1.0,34.01,34.15,33.415,33.51,369665.0
2016-09-02,34.08,34.14,33.8,33.95,266780.0,0.0,1.0,34.08,34.14,33.8,33.95,266780.0
2016-09-01,33.92,33.99,33.27,33.7,559706.0,0.0,1.0,33.92,33.99,33.27,33.7,559706.0
2016-08-31,34.25,34.47,33.62,33.87,542613.0,0.0,1.0,34.25,34.47,33.62,33.87,542613.0
2016-08-30,34.27,34.57,34.25,34.38,310706.0,0.0,1.0,34.27,34.57,34.25,34.38,310706.0
2016-08-29,34.21,34.5,34.195,34.38,350840.0,0.0,1.0,34.21,34.5,34.195,34.38,350840.0
2016-08-26,34.32,34.62,34.0101,34.15,337514.0,0.0,1.0,34.32,34.62,34.0101,34.15,337514.0
2016-08-25,33.82,34.38,33.81,34.2,455367.0,0.0,1.0,33.82,34.38,33.81,34.2,455367.0
2016-08-24,34.17,34.41,34.01,34.07,472886.0,0.0,1.0,34.17,34.41,34.01,34.07,472886.0
2016-08-23,33.82,34.38,33.82,34.3,491169.0,0.0,1.0,33.82,34.38,33.82,34.3,491169.0
2016-08-22,33.24,33.66,33.23,33.64,264838.0,0.0,1.0,33.24,33.66,33.23,33.64,264838.0
2016-08-19,33.36,33.81,33.16,33.72,272580.0,0.0,1.0,33.36,33.81,33.16,33.72,272580.0
2016-08-18,33.59,33.72,33.5,33.6,328662.0,0.0,1.0,33.59,33.72,33.5,33.6,328662.0
2016-08-17,33.5,33.67,33.33,33.63,324908.0,0.0,1.0,33.5,33.67,33.33,33.63,324908.0
2016-08-16,33.7,33.77,33.42,33.54,251929.0,0.0,1.0,33.7,33.77,33.42,33.54,251929.0
2016-08-15,33.66,33.84,33.53,33.72,416784.0,0.0,1.0,33.66,33.84,33.53,33.72,416784.0
2016-08-12,33.74,33.89,33.43,33.52,300884.0,0.0,1.0,33.74,33.89,33.43,33.52,300884.0
2016-08-11,33.66,34.06,33.66,33.88,389272.0,0.26,1.0,33.66,34.06,33.66,33.88,389272.0
2016-08-10,34.01,34.07,33.67,33.73,319297.0,0.0,1.0,33.750990041008,33.810533099004,33.413579379028,33.473122437024,319297.0
2016-08-09,34.05,34.21,33.79,33.88,346791.0,0.0,1.0,33.790685413005,33.949466900996,33.532665495021,33.621980082015,346791.0
2016-08-08,34.13,34.37,34.025,34.16,517737.0,0.0,1.0,33.870076157001,34.108248388987,33.765875805507,33.899847685999,517737.0
2016-08-05,33.57,34.12,33.52,34.01,483047.0,0.0,1.0,33.314340949033,33.860152314001,33.264721734036,33.750990041008,483047.0
2016-08-04,33.35,33.69,33.33,33.36,666379.0,0.0,1.0,33.096016403046,33.433427065026,33.076168717047,33.105940246046,666379.0
2016-08-03,33.28,33.59,33.14,33.42,838643.0,0.0,1.0,33.02654950205,33.334188635032,32.887615700059,33.165483304042,838643.0
2016-08-02,33.57,33.77,33.16,33.34,876694.0,0.0,1.0,33.314340949033,33.512817809022,32.907463386057,33.086092560047,876694.0
2016-08-01,33.36,33.81,33.16,33.61,1046550.0,0.0,1.0,33.105940246046,33.552513181019,32.907463386057,33.354036321031,1046550.0
2016-07-29,33.28,33.62,32.73,33.45,928390.0,0.0,1.0,33.02654950205,33.36396016403,32.480738137083,33.19525483304,928390.0
2016-07-28,31.54,33.59,31.54,33.35,1388013.0,0.0,1.0,31.299800820152,33.334188635032,31.299800820152,33.096016403046,1388013.0
2016-07-27,32.08,32.85,32.02,32.41,1260960.0,0.0,1.0,31.835688342121,32.599824253076,31.776145284124,32.163175161101,1260960.0
2016-07-26,31.2,32.03,31.04,31.99,530392.0,0.0,1.0,30.962390158172,31.786069127124,30.803608670182,31.746373755126,530392.0
2016-07-25,31.04,31.19,30.84,31.13,477103.0,0.0,1.0,30.803608670182,30.952466315173,30.605131810193,30.892923257176,477103.0
