Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-08-31,22.46,23.75,22.46,23.26,8422578.0,0.0,1.0,22.46,23.75,22.46,23.26,8422578.0
2016-08-30,23.56,23.76,23.48,23.7,669438.0,0.0,1.0,23.56,23.76,23.48,23.7,669438.0
2016-08-29,23.47,23.6,23.34,23.59,1355680.0,0.0,1.0,23.47,23.6,23.34,23.59,1355680.0
2016-08-26,23.18,23.51,23.11,23.42,815392.0,0.0,1.0,23.18,23.51,23.11,23.42,815392.0
2016-08-25,23.11,23.2,22.9,23.18,618015.0,0.0,1.0,23.11,23.2,22.9,23.18,618015.0
2016-08-24,23.19,23.3375,22.965,23.09,502314.0,0.0,1.0,23.19,23.3375,22.965,23.09,502314.0
2016-08-23,23.2,23.87,22.99,23.25,1133977.0,0.0,1.0,23.2,23.87,22.99,23.25,1133977.0
2016-08-22,22.77,22.97,22.74,22.94,135360.0,0.0,1.0,22.77,22.97,22.74,22.94,135360.0
2016-08-19,22.68,22.825,22.54,22.76,210558.0,0.0,1.0,22.68,22.825,22.54,22.76,210558.0
2016-08-18,22.49,22.79,22.476,22.78,200881.0,0.0,1.0,22.49,22.79,22.476,22.78,200881.0
2016-08-17,22.49,22.67,22.4,22.44,470380.0,0.0,1.0,22.49,22.67,22.4,22.44,470380.0
2016-08-16,22.45,22.57,22.38,22.53,329013.0,0.0,1.0,22.45,22.57,22.38,22.53,329013.0
2016-08-15,22.35,22.58,22.28,22.57,532272.0,0.0,1.0,22.35,22.58,22.28,22.57,532272.0
2016-08-12,22.07,22.29,22.04,22.27,362573.0,0.0,1.0,22.07,22.29,22.04,22.27,362573.0
2016-08-11,22.08,22.259,22.003,22.21,270398.0,0.0,1.0,22.08,22.259,22.003,22.21,270398.0
2016-08-10,22.11,22.12,21.93,22.09,262505.0,0.0,1.0,22.11,22.12,21.93,22.09,262505.0
2016-08-09,22.06,22.11,21.98,22.07,404611.0,0.0,1.0,22.06,22.11,21.98,22.07,404611.0
2016-08-08,21.93,22.04,21.84,22.01,151141.0,0.0,1.0,21.93,22.04,21.84,22.01,151141.0
2016-08-05,21.35,21.96,20.93,21.9,279113.0,0.0,1.0,21.35,21.96,20.93,21.9,279113.0
2016-08-04,21.11,21.32,21.0,21.16,315698.0,0.0,1.0,21.11,21.32,21.0,21.16,315698.0
2016-08-03,21.03,21.23,21.02,21.18,505327.0,0.0,1.0,21.03,21.23,21.02,21.18,505327.0
2016-08-02,21.05,21.19,20.99,21.0,660618.0,0.0,1.0,21.05,21.19,20.99,21.0,660618.0
2016-08-01,20.99,21.09,20.89,21.04,229166.0,0.0,1.0,20.99,21.09,20.89,21.04,229166.0
2016-07-29,20.9,21.21,20.81,21.02,294227.0,0.0,1.0,20.9,21.21,20.81,21.02,294227.0
2016-07-28,19.62,21.035,19.62,20.95,408017.0,0.0,1.0,19.62,21.035,19.62,20.95,408017.0
2016-07-27,20.43,20.98,19.58,20.9,338379.0,0.0,1.0,20.43,20.98,19.58,20.9,338379.0
2016-07-26,20.35,20.48,20.31,20.45,192968.0,0.0,1.0,20.35,20.48,20.31,20.45,192968.0
2016-07-25,20.17,20.38,20.17,20.35,149416.0,0.0,1.0,20.17,20.38,20.17,20.35,149416.0
2016-07-22,20.1,20.41,20.03,20.33,154765.0,0.0,1.0,20.1,20.41,20.03,20.33,154765.0
2016-07-21,20.04,20.16,19.98,20.11,94956.0,0.0,1.0,20.04,20.16,19.98,20.11,94956.0
2016-07-20,20.16,20.17,19.97,20.11,164283.0,0.05,1.0,20.16,20.17,19.97,20.11,164283.0
2016-07-19,20.08,20.29,20.03,20.1,185838.0,0.0,1.0,20.030198412698,20.239677579365,19.980322420635,20.050148809524,185838.0
2016-07-18,20.16,20.25,20.03,20.08,210338.0,0.0,1.0,20.11,20.199776785714,19.980322420635,20.030198412698,210338.0
2016-07-15,20.1,20.2,19.91,20.12,337777.0,0.0,1.0,20.050148809524,20.149900793651,19.860620039683,20.070099206349,337777.0
2016-07-14,19.98,20.0899,19.81,19.94,626118.0,0.0,1.0,19.930446428571,20.040073859127,19.760868055556,19.890545634921,626118.0
2016-07-13,19.75,19.79,19.51,19.73,254041.0,0.0,1.0,19.701016865079,19.74091765873,19.461612103175,19.681066468254,254041.0
