Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,19.16,19.73,19.16,19.51,614995.0,0.0,1.0,19.16,19.73,19.16,19.51,614995.0
2016-11-16,18.99,19.05,18.88,18.93,231376.0,0.0,1.0,18.99,19.05,18.88,18.93,231376.0
2016-11-15,18.94,19.15,18.621,19.05,268953.0,0.0,1.0,18.94,19.15,18.621,19.05,268953.0
2016-11-14,19.21,19.74,18.88,19.0,551334.0,0.0,1.0,19.21,19.74,18.88,19.0,551334.0
2016-11-11,19.05,19.4,18.76,18.94,498149.0,0.0,1.0,19.05,19.4,18.76,18.94,498149.0
2016-11-10,18.36,19.07,17.95,19.04,414312.0,0.0,1.0,18.36,19.07,17.95,19.04,414312.0
2016-11-09,17.64,18.21,17.39,18.2,310312.0,0.0,1.0,17.64,18.21,17.39,18.2,310312.0
2016-11-08,17.98,18.14,17.78,17.93,212306.0,0.0,1.0,17.98,18.14,17.78,17.93,212306.0
2016-11-07,18.25,18.4,18.01,18.14,263909.0,0.0,1.0,18.25,18.4,18.01,18.14,263909.0
2016-11-04,17.7,18.36,17.64,17.96,288705.0,0.0,1.0,17.7,18.36,17.64,17.96,288705.0
2016-11-03,17.38,17.79,17.38,17.6,323996.0,0.0,1.0,17.38,17.79,17.38,17.6,323996.0
2016-11-02,17.2,17.59,17.02,17.33,374945.0,0.0,1.0,17.2,17.59,17.02,17.33,374945.0
2016-11-01,17.05,17.22,16.37,16.57,284887.0,0.0,1.0,17.05,17.22,16.37,16.57,284887.0
2016-10-31,17.09,17.2,16.94,17.06,147818.0,0.0,1.0,17.09,17.2,16.94,17.06,147818.0
2016-10-28,16.74,17.39,16.66,17.07,222086.0,0.0,1.0,16.74,17.39,16.66,17.07,222086.0
2016-10-27,17.25,17.26,16.47,16.8,387201.0,0.0,1.0,17.25,17.26,16.47,16.8,387201.0
2016-10-26,16.93,17.57,16.93,17.2,207128.0,0.0,1.0,16.93,17.57,16.93,17.2,207128.0
2016-10-25,17.31,17.42,15.82,17.29,384391.0,0.0,1.0,17.31,17.42,15.82,17.29,384391.0
2016-10-24,17.51,17.65,17.37,17.5,112290.0,0.0,1.0,17.51,17.65,17.37,17.5,112290.0
2016-10-21,17.22,17.5,17.21,17.44,78486.0,0.0,1.0,17.22,17.5,17.21,17.44,78486.0
2016-10-20,17.42,17.52,17.2,17.38,81357.0,0.0,1.0,17.42,17.52,17.2,17.38,81357.0
2016-10-19,17.55,17.77,17.3,17.67,89937.0,0.0,1.0,17.55,17.77,17.3,17.67,89937.0
2016-10-18,17.69,17.71,17.39,17.46,150842.0,0.0,1.0,17.69,17.71,17.39,17.46,150842.0
2016-10-17,17.41,17.63,17.29,17.52,171335.0,0.0,1.0,17.41,17.63,17.29,17.52,171335.0
2016-10-14,17.37,17.59,17.26,17.39,92007.0,0.0,1.0,17.37,17.59,17.26,17.39,92007.0
2016-10-13,17.36,17.46,17.15,17.28,112469.0,0.0,1.0,17.36,17.46,17.15,17.28,112469.0
2016-10-12,17.48,17.67,17.29,17.58,93135.0,0.0,1.0,17.48,17.67,17.29,17.58,93135.0
2016-10-11,17.48,17.48,17.24,17.43,145292.0,0.0,1.0,17.48,17.48,17.24,17.43,145292.0
2016-10-10,17.56,17.77,17.48,17.52,83901.0,0.0,1.0,17.56,17.77,17.48,17.52,83901.0
2016-10-07,17.81,17.87,17.41,17.42,174482.0,0.0,1.0,17.81,17.87,17.41,17.42,174482.0
2016-10-06,17.55,17.76,17.2,17.75,235318.0,0.0,1.0,17.55,17.76,17.2,17.75,235318.0
2016-10-05,17.46,17.8,17.46,17.67,118480.0,0.0,1.0,17.46,17.8,17.46,17.67,118480.0
2016-10-04,17.54,17.8,17.4,17.45,216427.0,0.0,1.0,17.54,17.8,17.4,17.45,216427.0
2016-10-03,17.47,17.52,17.25,17.48,249559.0,0.0,1.0,17.47,17.52,17.25,17.48,249559.0
2016-09-30,17.58,17.69,17.23,17.6,189291.0,0.0,1.0,17.58,17.69,17.23,17.6,189291.0
2016-09-29,17.54,17.68,17.29,17.34,182946.0,0.0,1.0,17.54,17.68,17.29,17.34,182946.0
