Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,2.0,2.3,2.0,2.25,1053616.0,0.0,1.0,2.0,2.3,2.0,2.25,1053616.0
2016-11-16,1.9,2.3,1.9,2.0,1209316.0,0.0,1.0,1.9,2.3,1.9,2.0,1209316.0
2016-11-15,1.85,1.95,1.8,1.9,650411.0,0.0,1.0,1.85,1.95,1.8,1.9,650411.0
2016-11-14,2.0,2.05,1.8,1.8,616964.0,0.0,1.0,2.0,2.05,1.8,1.8,616964.0
2016-11-11,1.9,1.95,1.75,1.8,899567.0,0.0,1.0,1.9,1.95,1.75,1.8,899567.0
2016-11-10,1.8,1.85,1.6,1.8,843194.0,0.0,1.0,1.8,1.85,1.6,1.8,843194.0
2016-11-09,1.85,1.9,1.7,1.75,654091.0,0.0,1.0,1.85,1.9,1.7,1.75,654091.0
2016-11-08,1.95,1.95,1.7,1.8,586232.0,0.0,1.0,1.95,1.95,1.7,1.8,586232.0
2016-11-07,2.05,2.1,1.9,1.95,756472.0,0.0,1.0,2.05,2.1,1.9,1.95,756472.0
2016-11-04,2.15,2.15,1.95,2.0,500850.0,0.0,1.0,2.15,2.15,1.95,2.0,500850.0
2016-11-03,2.2,2.295,1.9,1.95,1136528.0,0.0,1.0,2.2,2.295,1.9,1.95,1136528.0
2016-11-02,4.4,4.4,1.95,2.2,2581659.0,0.0,1.0,4.4,4.4,1.95,2.2,2581659.0
2016-11-01,6.1,6.1,5.35,5.35,341283.0,0.0,1.0,6.1,6.1,5.35,5.35,341283.0
2016-10-31,6.15,6.25,5.95,6.05,115963.0,0.0,1.0,6.15,6.25,5.95,6.05,115963.0
2016-10-28,6.05,6.3,5.95,6.1,86091.0,0.0,1.0,6.05,6.3,5.95,6.1,86091.0
2016-10-27,6.2,6.25,6.0,6.0,154513.0,0.0,1.0,6.2,6.25,6.0,6.0,154513.0
2016-10-26,6.55,6.55,6.15,6.2,110405.0,0.0,1.0,6.55,6.55,6.15,6.2,110405.0
2016-10-25,6.6,6.7,6.55,6.6,144616.0,0.0,1.0,6.6,6.7,6.55,6.6,144616.0
2016-10-24,6.8,6.8,6.6,6.65,54555.0,0.0,1.0,6.8,6.8,6.6,6.65,54555.0
2016-10-21,6.85,7.0,6.6,6.7,52208.0,0.0,1.0,6.85,7.0,6.6,6.7,52208.0
2016-10-20,6.6,7.0,6.6,7.0,115640.0,0.0,1.0,6.6,7.0,6.6,7.0,115640.0
2016-10-19,6.6,6.7,6.55,6.65,61727.0,0.0,1.0,6.6,6.7,6.55,6.65,61727.0
2016-10-18,6.6,6.8,6.55,6.6,103791.0,0.0,1.0,6.6,6.8,6.55,6.6,103791.0
2016-10-17,6.8,6.895,6.55,6.6,149805.0,0.0,1.0,6.8,6.895,6.55,6.6,149805.0
2016-10-14,7.05,7.07,6.86,6.92,43130.0,0.0,1.0,7.05,7.07,6.86,6.92,43130.0
2016-10-13,7.26,7.26,6.98,7.01,96269.0,0.0,1.0,7.26,7.26,6.98,7.01,96269.0
2016-10-12,7.31,7.77,7.2,7.31,47866.0,0.0,1.0,7.31,7.77,7.2,7.31,47866.0
2016-10-11,7.72,7.89,7.26,7.3,110138.0,0.0,1.0,7.72,7.89,7.26,7.3,110138.0
2016-10-10,7.99,8.1,7.67,7.72,241237.0,0.0,1.0,7.99,8.1,7.67,7.72,241237.0
