Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-10-01,20.45,20.86,20.32,20.67,298097.0,0.0,1.0,20.45,20.86,20.32,20.67,298097.0
2015-09-30,20.49,20.66,20.27,20.39,131392.0,0.0,1.0,20.49,20.66,20.27,20.39,131392.0
2015-09-29,21.16,21.19,20.25,20.34,150224.0,0.0,1.0,21.16,21.19,20.25,20.34,150224.0
2015-09-28,23.14,23.14,21.03,21.15,120994.0,0.0,1.0,23.14,23.14,21.03,21.15,120994.0
2015-09-25,24.02,24.02,22.76,23.18,284265.0,0.0,1.0,24.02,24.02,22.76,23.18,284265.0
2015-09-24,23.61,24.01,23.49,23.88,261989.0,0.0,1.0,23.61,24.01,23.49,23.88,261989.0
2015-09-23,23.93,23.93,23.59,23.7,107126.0,0.0,1.0,23.93,23.93,23.59,23.7,107126.0
2015-09-22,23.93,24.22,23.655,23.83,86162.0,0.0,1.0,23.93,24.22,23.655,23.83,86162.0
2015-09-21,24.36,24.54,24.12,24.15,50318.0,0.0,1.0,24.36,24.54,24.12,24.15,50318.0
2015-09-18,23.87,24.4,23.87,24.18,206625.0,0.0,1.0,23.87,24.4,23.87,24.18,206625.0
2015-09-17,24.35,24.58,24.15,24.24,187588.0,0.0,1.0,24.35,24.58,24.15,24.24,187588.0
2015-09-16,23.52,24.5,23.44,24.41,138023.0,0.0,1.0,23.52,24.5,23.44,24.41,138023.0
2015-09-15,23.26,23.55,23.18,23.49,69271.0,0.0,1.0,23.26,23.55,23.18,23.49,69271.0
2015-09-14,23.81,23.81,23.22,23.25,36291.0,0.0,1.0,23.81,23.81,23.22,23.25,36291.0
2015-09-11,23.31,23.81,23.25,23.76,481609.0,0.0,1.0,23.31,23.81,23.25,23.76,481609.0
2015-09-10,23.55,23.68,23.22,23.47,50533.0,0.0,1.0,23.55,23.68,23.22,23.47,50533.0
2015-09-09,24.49,24.64,23.58,23.6,81979.0,0.0,1.0,24.49,24.64,23.58,23.6,81979.0
2015-09-08,24.19,24.49,23.94,24.29,105158.0,0.0,1.0,24.19,24.49,23.94,24.29,105158.0
2015-09-04,24.03,24.32,23.68,23.93,90280.0,0.0,1.0,24.03,24.32,23.68,23.93,90280.0
2015-09-03,23.89,25.0,23.89,24.31,241934.0,0.0,1.0,23.89,25.0,23.89,24.31,241934.0
2015-09-02,23.74,24.53,23.74,23.89,657884.0,0.0,1.0,23.74,24.53,23.74,23.89,657884.0
2015-09-01,21.89,22.26,21.85,21.98,103311.0,0.0,1.0,21.89,22.26,21.85,21.98,103311.0
2015-08-31,22.31,22.43,22.1,22.24,63347.0,0.0,1.0,22.31,22.43,22.1,22.24,63347.0
2015-08-28,22.42,22.6,22.22,22.29,184369.0,0.0,1.0,22.42,22.6,22.22,22.29,184369.0
2015-08-27,22.78,22.83,22.42,22.54,148526.0,0.0,1.0,22.78,22.83,22.42,22.54,148526.0
2015-08-26,22.62,22.75,22.17,22.685,70207.0,0.0,1.0,22.62,22.75,22.17,22.685,70207.0
2015-08-25,22.67,22.704,22.16,22.22,77935.0,0.0,1.0,22.67,22.704,22.16,22.22,77935.0
2015-08-24,21.43,22.37,21.43,22.07,131236.0,0.0,1.0,21.43,22.37,21.43,22.07,131236.0
2015-08-21,22.32,22.52,22.055,22.34,248505.0,0.0,1.0,22.32,22.52,22.055,22.34,248505.0
2015-08-20,23.59,23.59,22.7,22.73,93129.0,0.0,1.0,23.59,23.59,22.7,22.73,93129.0
2015-08-19,24.01,24.01,23.71,23.76,69758.0,0.0,1.0,24.01,24.01,23.71,23.76,69758.0
2015-08-18,24.14,24.37,23.99,24.15,98767.0,0.0,1.0,24.14,24.37,23.99,24.15,98767.0
