Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,72.25,73.3932,72.0,73.18,2169231.0,0.0,1.0,72.25,73.3932,72.0,73.18,2169231.0
2016-11-16,72.96,73.37,72.33,72.5,1506614.0,0.0,1.0,72.96,73.37,72.33,72.5,1506614.0
2016-11-15,72.45,73.6399,72.4,73.62,2556961.0,0.0,1.0,72.45,73.6399,72.4,73.62,2556961.0
2016-11-14,71.43,73.24,71.22,73.23,4096652.0,0.0,1.0,71.43,73.24,71.22,73.23,4096652.0
2016-11-11,70.14,70.81,69.32,70.5,3598595.0,0.0,1.0,70.14,70.81,69.32,70.5,3598595.0
2016-11-10,68.5,74.18,68.35,70.29,6417951.0,0.0,1.0,68.5,74.18,68.35,70.29,6417951.0
2016-11-09,63.79,68.95,63.73,68.35,4910901.0,0.0,1.0,63.79,68.95,63.73,68.35,4910901.0
2016-11-08,64.2,64.47,63.32,63.77,2723401.0,0.0,1.0,64.2,64.47,63.32,63.77,2723401.0
2016-11-07,64.73,64.85,64.05,64.33,1085633.0,0.0,1.0,64.73,64.85,64.05,64.33,1085633.0
2016-11-04,63.67,64.3,63.42,63.7,1645547.0,0.0,1.0,63.67,64.3,63.42,63.7,1645547.0
2016-11-03,63.35,64.05,63.35,63.69,1649988.0,0.0,1.0,63.35,64.05,63.35,63.69,1649988.0
2016-11-02,63.74,63.865,62.97,63.21,3539979.0,0.0,1.0,63.74,63.865,62.97,63.21,3539979.0
2016-11-01,64.24,64.29,63.3,63.82,2436467.0,0.0,1.0,64.24,64.29,63.3,63.82,2436467.0
2016-10-31,64.24,64.375,63.67,64.01,2772596.0,0.0,1.0,64.24,64.375,63.67,64.01,2772596.0
2016-10-28,63.75,64.75,63.58,64.0,2030185.0,0.0,1.0,63.75,64.75,63.58,64.0,2030185.0
2016-10-27,66.57,67.53,63.14,63.83,4670378.0,0.0,1.0,66.57,67.53,63.14,63.83,4670378.0
2016-10-26,65.88,66.44,65.68,66.35,1721029.0,0.0,1.0,65.88,66.44,65.68,66.35,1721029.0
