Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,26.5,27.05,26.05,27.0,150841.0,0.0,1.0,26.5,27.05,26.05,27.0,150841.0
2016-11-16,26.0,26.55,24.5919,26.35,133850.0,0.0,1.0,26.0,26.55,24.5919,26.35,133850.0
2016-11-15,26.05,26.3,25.9,26.0,122209.0,0.0,1.0,26.05,26.3,25.9,26.0,122209.0
2016-11-14,26.95,27.1,25.8725,26.0,172066.0,0.0,1.0,26.95,27.1,25.8725,26.0,172066.0
2016-11-11,25.55,26.95,25.55,26.95,170658.0,0.0,1.0,25.55,26.95,25.55,26.95,170658.0
2016-11-10,25.8,26.3,24.45,25.4,220513.0,0.0,1.0,25.8,26.3,24.45,25.4,220513.0
2016-11-09,26.5,27.0,26.45,26.85,148740.0,0.0,1.0,26.5,27.0,26.45,26.85,148740.0
2016-11-08,27.0,27.6,26.75,26.9,75851.0,0.0,1.0,27.0,27.6,26.75,26.9,75851.0
2016-11-07,27.0,27.05,26.65,27.0,81490.0,0.0,1.0,27.0,27.05,26.65,27.0,81490.0
2016-11-04,27.1,27.15,26.5,26.55,75400.0,0.0,1.0,27.1,27.15,26.5,26.55,75400.0
2016-11-03,27.6,27.6,26.875,27.0,82070.0,0.0,1.0,27.6,27.6,26.875,27.0,82070.0
2016-11-02,27.85,27.85,27.35,27.5,68407.0,0.0,1.0,27.85,27.85,27.35,27.5,68407.0
2016-11-01,28.15,28.15,27.7,27.85,72866.0,0.0,1.0,28.15,28.15,27.7,27.85,72866.0
2016-10-31,27.9,28.15,27.55,28.1,57407.0,0.0,1.0,27.9,28.15,27.55,28.1,57407.0
2016-10-28,27.8,28.05,27.65,27.8,46950.0,0.0,1.0,27.8,28.05,27.65,27.8,46950.0
2016-10-27,28.1,28.1,27.75,27.8,56831.0,0.0,1.0,28.1,28.1,27.75,27.8,56831.0
2016-10-26,28.45,28.45,27.95,28.05,33246.0,0.0,1.0,28.45,28.45,27.95,28.05,33246.0
