Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,19.4,19.4,18.975,19.2,244028.0,0.0,1.0,19.4,19.4,18.975,19.2,244028.0
2016-11-16,18.95,19.4,18.9,19.2,274583.0,0.0,1.0,18.95,19.4,18.9,19.2,274583.0
2016-11-15,18.9,19.2,18.775,19.05,322121.0,0.0,1.0,18.9,19.2,18.775,19.05,322121.0
2016-11-14,18.65,19.25,18.55,18.9,320320.0,0.0,1.0,18.65,19.25,18.55,18.9,320320.0
2016-11-11,17.6,18.6,17.6,18.55,538394.0,0.0,1.0,17.6,18.6,17.6,18.55,538394.0
2016-11-10,17.5,17.8,17.1,17.55,382422.0,0.0,1.0,17.5,17.8,17.1,17.55,382422.0
2016-11-09,16.8,17.5,16.0,17.45,418838.0,0.0,1.0,16.8,17.5,16.0,17.45,418838.0
2016-11-08,17.0,17.175,16.8,17.0,672700.0,0.0,1.0,17.0,17.175,16.8,17.0,672700.0
2016-11-07,16.9,17.05,16.65,17.0,175299.0,0.0,1.0,16.9,17.05,16.65,17.0,175299.0
2016-11-04,16.45,17.0,16.45,16.65,207730.0,0.0,1.0,16.45,17.0,16.45,16.65,207730.0
2016-11-03,16.25,16.65,16.055,16.35,265947.0,0.0,1.0,16.25,16.65,16.055,16.35,265947.0
2016-11-02,16.6,16.65,16.15,16.3,350332.0,0.0,1.0,16.6,16.65,16.15,16.3,350332.0
2016-11-01,17.0,17.2,16.55,16.55,316021.0,0.0,1.0,17.0,17.2,16.55,16.55,316021.0
2016-10-31,17.05,17.05,16.7,16.95,294222.0,0.0,1.0,17.05,17.05,16.7,16.95,294222.0
2016-10-28,16.65,17.05,16.6,17.0,285928.0,0.0,1.0,16.65,17.05,16.6,17.0,285928.0
2016-10-27,17.1,17.1,16.6,16.7,332350.0,0.0,1.0,17.1,17.1,16.6,16.7,332350.0
2016-10-26,17.25,17.5,16.85,16.95,290739.0,0.0,1.0,17.25,17.5,16.85,16.95,290739.0
2016-10-25,17.7,17.7,17.125,17.4,312075.0,0.0,1.0,17.7,17.7,17.125,17.4,312075.0
2016-10-24,17.8,18.1,17.45,17.6,376536.0,0.0,1.0,17.8,18.1,17.45,17.6,376536.0
2016-10-21,17.3,17.75,17.3,17.7,346285.0,0.0,1.0,17.3,17.75,17.3,17.7,346285.0
2016-10-20,17.65,17.7,17.2,17.45,378518.0,0.0,1.0,17.65,17.7,17.2,17.45,378518.0
2016-10-19,18.25,18.25,17.325,17.75,781167.0,0.0,1.0,18.25,18.25,17.325,17.75,781167.0
2016-10-18,17.7,18.65,16.8,18.15,1721083.0,0.0,1.0,17.7,18.65,16.8,18.15,1721083.0
2016-10-17,16.55,17.1,16.55,16.75,829584.0,0.0,1.0,16.55,17.1,16.55,16.75,829584.0
2016-10-14,16.25,16.975,16.1,16.65,791439.0,0.0,1.0,16.25,16.975,16.1,16.65,791439.0
2016-10-13,16.2,16.55,15.95,16.3,383211.0,0.0,1.0,16.2,16.55,15.95,16.3,383211.0
2016-10-12,16.15,16.75,16.0,16.45,461830.0,0.0,1.0,16.15,16.75,16.0,16.45,461830.0
2016-10-11,16.7,16.7,16.0,16.05,434199.0,0.0,1.0,16.7,16.7,16.0,16.05,434199.0
