Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,89.78,90.79,89.7,90.69,7822543.0,0.0,1.0,89.78,90.79,89.7,90.69,7822543.0
2016-11-16,88.65,89.255,88.3,88.95,4739555.0,0.0,1.0,88.65,89.255,88.3,88.95,4739555.0
2016-11-15,86.66,88.98,86.59,88.67,7669892.0,0.0,1.0,86.66,88.98,86.59,88.67,7669892.0
2016-11-14,86.78,87.14,86.47,86.8,3779845.0,0.0,1.0,86.78,87.14,86.47,86.8,3779845.0
2016-11-11,86.18,87.0,85.77,86.78,3614899.0,0.0,1.0,86.18,87.0,85.77,86.78,3614899.0
2016-11-10,86.56,86.85,85.22,86.33,7875856.0,0.0,1.0,86.56,86.85,85.22,86.33,7875856.0
2016-11-09,85.48,87.33,85.45,86.6,12200322.0,0.0,1.0,85.48,87.33,85.45,86.6,12200322.0
2016-11-08,87.81,88.04,87.24,87.87,5221854.0,0.0,1.0,87.81,88.04,87.24,87.87,5221854.0
2016-11-07,87.55,87.92,86.89,87.74,6373028.0,0.0,1.0,87.55,87.92,86.89,87.74,6373028.0
2016-11-04,87.36,87.42,86.22,86.42,7521197.0,0.0,1.0,87.36,87.42,86.22,86.42,7521197.0
2016-11-03,87.22,87.67,86.76,87.15,6902883.0,0.0,1.0,87.22,87.67,86.76,87.15,6902883.0
2016-11-02,88.95,88.97,87.16,87.28,11721918.0,0.0,1.0,88.95,88.97,87.16,87.28,11721918.0
2016-11-01,88.98,89.0,87.92,88.25,6668312.0,0.0,1.0,88.98,89.0,87.92,88.25,6668312.0
2016-10-31,88.45,88.99,88.0,88.99,5770289.0,0.0,1.0,88.45,88.99,88.0,88.99,5770289.0
2016-10-28,88.1,88.99,87.1892,87.47,7846688.0,0.0,1.0,88.1,88.99,87.1892,87.47,7846688.0
2016-10-27,88.97,89.14,87.7,88.3,9937246.0,0.0,1.0,88.97,89.14,87.7,88.3,9937246.0
2016-10-26,87.02,89.3058,87.0,88.7,18609921.0,0.0,1.0,87.02,89.3058,87.0,88.7,18609921.0
2016-10-25,87.12,87.47,86.83,87.16,16700953.0,0.0,1.0,87.12,87.47,86.83,87.16,16700953.0
2016-10-24,87.55,88.0,86.07,86.74,46668644.0,0.0,1.0,87.55,88.0,86.07,86.74,46668644.0
2016-10-21,83.31,94.44,83.31,89.48,51127215.0,0.0,1.0,83.31,94.44,83.31,89.48,51127215.0
2016-10-20,79.23,86.75,78.805,82.99,13210884.0,0.0,1.0,79.23,86.75,78.805,82.99,13210884.0
2016-10-19,79.56,79.885,79.23,79.24,2452254.0,0.0,1.0,79.56,79.885,79.23,79.24,2452254.0
2016-10-18,79.3,79.93,79.2,79.51,2542805.0,0.0,1.0,79.3,79.93,79.2,79.51,2542805.0
2016-10-17,79.03,79.715,78.8,78.84,2771546.0,0.0,1.0,79.03,79.715,78.8,78.84,2771546.0
2016-10-14,79.74,80.08,79.21,79.55,2442945.0,0.0,1.0,79.74,80.08,79.21,79.55,2442945.0
2016-10-13,79.9,79.9,78.32,79.4,4044315.0,0.0,1.0,79.9,79.9,78.32,79.4,4044315.0
2016-10-12,78.63,80.44,78.535,79.91,5147165.0,0.0,1.0,78.63,80.44,78.535,79.91,5147165.0
2016-10-11,79.18,79.32,78.32,78.57,3402448.0,0.0,1.0,79.18,79.32,78.32,78.57,3402448.0
2016-10-10,79.33,79.8899,79.2,79.36,1716063.0,0.0,1.0,79.33,79.8899,79.2,79.36,1716063.0
2016-10-07,79.84,79.84,78.745,78.98,2913747.0,0.0,1.0,79.84,79.84,78.745,78.98,2913747.0
2016-10-06,79.37,80.095,79.06,79.66,4393824.0,0.0,1.0,79.37,80.095,79.06,79.66,4393824.0
2016-10-05,79.52,80.09,79.36,79.59,3560515.0,0.0,1.0,79.52,80.09,79.36,79.59,3560515.0
2016-10-04,79.42,79.61,78.84,79.18,3281580.0,0.0,1.0,79.42,79.61,78.84,79.18,3281580.0
2016-10-03,79.21,79.75,78.8748,79.32,2887591.0,0.0,1.0,79.21,79.75,78.8748,79.32,2887591.0
2016-09-30,78.96,79.9,78.96,79.61,4314940.0,0.0,1.0,78.96,79.9,78.96,79.61,4314940.0
2016-09-29,78.34,79.55,78.08,78.61,3916439.0,0.0,1.0,78.34,79.55,78.08,78.61,3916439.0
2016-09-28,77.88,78.59,77.88,78.56,3336827.0,0.0,1.0,77.88,78.59,77.88,78.56,3336827.0
2016-09-27,76.18,77.93,75.73,77.88,3552158.0,0.0,1.0,76.18,77.93,75.73,77.88,3552158.0
