Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-07-01,93.26,94.22,92.1,92.1,11297388.0,0.0,1.0,93.26,94.22,92.1,92.1,11297388.0
2014-06-30,93.55,93.75,91.06,92.36,5656419.0,0.0,1.0,93.55,93.75,91.06,92.36,5656419.0
2014-06-27,90.72,92.82,89.88,92.55,245979.0,0.0,1.0,90.72,92.82,89.88,92.55,245979.0
2014-06-26,91.47,91.75,90.51,91.16,133437.0,0.0,1.0,91.47,91.75,90.51,91.16,133437.0
2014-06-25,91.99,92.32,91.34,91.69,228483.0,0.0,1.0,91.99,92.32,91.34,91.69,228483.0
2014-06-24,93.23,93.42,91.69,91.85,142312.0,0.0,1.0,93.23,93.42,91.69,91.85,142312.0
2014-06-23,94.3,95.35,93.42,93.63,124697.0,0.0,1.0,94.3,95.35,93.42,93.63,124697.0
2014-06-20,93.84,94.37,92.762,94.29,173741.0,0.0,1.0,93.84,94.37,92.762,94.29,173741.0
2014-06-19,93.95,94.53,92.78,93.71,143054.0,0.0,1.0,93.95,94.53,92.78,93.71,143054.0
2014-06-18,91.27,94.27,91.22,93.9,307145.0,0.0,1.0,91.27,94.27,91.22,93.9,307145.0
2014-06-17,91.05,92.37,90.686,91.42,100100.0,0.0,1.0,91.05,92.37,90.686,91.42,100100.0
2014-06-16,91.83,93.23,91.19,91.67,76372.0,0.0,1.0,91.83,93.23,91.19,91.67,76372.0
2014-06-13,89.7,92.44,89.44,92.36,245305.0,0.0,1.0,89.7,92.44,89.44,92.36,245305.0
2014-06-12,90.66,91.03,89.47,89.62,125503.0,0.0,1.0,90.66,91.03,89.47,89.62,125503.0
2014-06-11,90.91,91.08,89.98,90.3,96710.0,0.0,1.0,90.91,91.08,89.98,90.3,96710.0
2014-06-10,89.68,91.46,88.9301,91.43,124725.0,0.0,1.0,89.68,91.46,88.9301,91.43,124725.0
2014-06-09,90.2,90.84,89.25,89.65,129092.0,0.0,1.0,90.2,90.84,89.25,89.65,129092.0
