Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,45.65,46.02,44.97,45.46,1185837.0,0.0,1.0,45.65,46.02,44.97,45.46,1185837.0
2016-11-16,46.24,46.85,45.91,45.97,1151851.0,0.0,1.0,46.24,46.85,45.91,45.97,1151851.0
2016-11-15,46.44,46.44,45.84,46.2,984509.0,0.0,1.0,46.44,46.44,45.84,46.2,984509.0
2016-11-14,45.45,46.54,45.06,46.15,974652.0,0.0,1.0,45.45,46.54,45.06,46.15,974652.0
2016-11-11,44.4,45.14,44.25,45.06,1242141.0,0.0,1.0,44.4,45.14,44.25,45.06,1242141.0
2016-11-10,42.43,44.85,42.31,44.39,2504522.0,0.0,1.0,42.43,44.85,42.31,44.39,2504522.0
2016-11-09,39.06,42.45,38.7919,42.12,1914930.0,0.0,1.0,39.06,42.45,38.7919,42.12,1914930.0
2016-11-08,39.71,40.18,39.5,39.88,488159.0,0.0,1.0,39.71,40.18,39.5,39.88,488159.0
2016-11-07,39.43,39.89,39.0601,39.84,628788.0,0.0,1.0,39.43,39.89,39.0601,39.84,628788.0
2016-11-04,39.07,39.589,38.665,38.78,628939.0,0.0,1.0,39.07,39.589,38.665,38.78,628939.0
2016-11-03,39.45,39.9,39.0,39.03,613075.0,0.0,1.0,39.45,39.9,39.0,39.03,613075.0
2016-11-02,40.45,40.75,38.54,39.49,1843973.0,0.0,1.0,40.45,40.75,38.54,39.49,1843973.0
2016-11-01,40.39,41.03,40.39,40.46,1610041.0,0.0,1.0,40.39,41.03,40.39,40.46,1610041.0
2016-10-31,40.08,40.65,40.0,40.52,1113246.0,0.0,1.0,40.08,40.65,40.0,40.52,1113246.0
2016-10-28,39.33,40.03,39.29,39.89,701262.0,0.0,1.0,39.33,40.03,39.29,39.89,701262.0
2016-10-27,39.13,39.34,38.86,39.25,632382.0,0.0,1.0,39.13,39.34,38.86,39.25,632382.0
2016-10-26,39.03,39.125,38.66,38.86,963734.0,0.0,1.0,39.03,39.125,38.66,38.86,963734.0
2016-10-25,39.45,39.63,38.83,38.99,561071.0,0.0,1.0,39.45,39.63,38.83,38.99,561071.0
2016-10-24,39.79,40.0,39.55,39.72,520193.0,0.0,1.0,39.79,40.0,39.55,39.72,520193.0
2016-10-21,39.25,39.56,38.96,39.5,590425.0,0.0,1.0,39.25,39.56,38.96,39.5,590425.0
2016-10-20,39.3,39.33,38.81,39.16,716642.0,0.0,1.0,39.3,39.33,38.81,39.16,716642.0
2016-10-19,38.41,39.79,38.3,39.55,1064482.0,0.0,1.0,38.41,39.79,38.3,39.55,1064482.0
2016-10-18,38.86,38.86,38.29,38.29,703906.0,0.0,1.0,38.86,38.86,38.29,38.29,703906.0
2016-10-17,38.64,38.88,37.99,38.05,942303.0,0.0,1.0,38.64,38.88,37.99,38.05,942303.0
2016-10-14,38.0,38.63,37.99,38.54,795238.0,0.0,1.0,38.0,38.63,37.99,38.54,795238.0
2016-10-13,38.06,38.62,38.06,38.21,852518.0,0.0,1.0,38.06,38.62,38.06,38.21,852518.0
2016-10-12,38.12,38.67,37.97,38.38,1200181.0,0.0,1.0,38.12,38.67,37.97,38.38,1200181.0
2016-10-11,37.95,38.28,37.7901,37.97,903264.0,0.0,1.0,37.95,38.28,37.7901,37.97,903264.0
2016-10-10,37.98,38.48,37.84,37.89,1174117.0,0.0,1.0,37.98,38.48,37.84,37.89,1174117.0
2016-10-07,38.26,38.44,37.86,37.98,780463.0,0.0,1.0,38.26,38.44,37.86,37.98,780463.0
2016-10-06,37.79,38.31,37.55,38.17,835991.0,0.0,1.0,37.79,38.31,37.55,38.17,835991.0
2016-10-05,38.93,39.01,37.23,37.99,885382.0,0.0,1.0,38.93,39.01,37.23,37.99,885382.0
2016-10-04,38.74,39.64,38.47,38.8,1125417.0,0.0,1.0,38.74,39.64,38.47,38.8,1125417.0
2016-10-03,38.81,38.965,38.63,38.68,686661.0,0.0,1.0,38.81,38.965,38.63,38.68,686661.0
2016-09-30,39.08,39.29,38.97,39.03,1034494.0,0.0,1.0,39.08,39.29,38.97,39.03,1034494.0
2016-09-29,39.04,39.55,38.76,38.81,1240001.0,0.0,1.0,39.04,39.55,38.76,38.81,1240001.0
2016-09-28,40.93,40.93,39.445,39.94,1526128.0,0.0,1.0,40.93,40.93,39.445,39.94,1526128.0
2016-09-27,41.36,41.38,40.32,41.02,1733138.0,0.0,1.0,41.36,41.38,40.32,41.02,1733138.0
2016-09-26,42.74,42.85,41.47,41.5,1254899.0,0.0,1.0,42.74,42.85,41.47,41.5,1254899.0
2016-09-23,42.74,43.34,42.58,43.02,1134759.0,0.0,1.0,42.74,43.34,42.58,43.02,1134759.0
2016-09-22,42.81,42.95,42.075,42.65,2201718.0,0.0,1.0,42.81,42.95,42.075,42.65,2201718.0
2016-09-21,43.23,43.64,42.57,42.85,1400404.0,0.0,1.0,43.23,43.64,42.57,42.85,1400404.0
2016-09-20,43.68,43.77,43.25,43.26,628429.0,0.0,1.0,43.68,43.77,43.25,43.26,628429.0
2016-09-19,43.67,43.85,43.18,43.44,453507.0,0.0,1.0,43.67,43.85,43.18,43.44,453507.0
2016-09-16,43.27,43.83,43.09,43.7,777795.0,0.0,1.0,43.27,43.83,43.09,43.7,777795.0
2016-09-15,42.46,43.2,42.285,43.18,513135.0,0.0,1.0,42.46,43.2,42.285,43.18,513135.0
