Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,65.62,68.02,65.51,67.86,4904242.0,0.0,1.0,65.62,68.02,65.51,67.86,4904242.0
2016-11-16,65.75,66.66,64.9,65.5,4937135.0,0.0,1.0,65.75,66.66,64.9,65.5,4937135.0
2016-11-15,65.47,67.7,63.47,66.06,10421079.0,0.0,1.0,65.47,67.7,63.47,66.06,10421079.0
2016-11-14,60.54,62.94,60.37,62.94,6634177.0,0.0,1.0,60.54,62.94,60.37,62.94,6634177.0
2016-11-11,59.85,60.58,58.78,60.25,5143619.0,0.0,1.0,59.85,60.58,58.78,60.25,5143619.0
2016-11-10,60.43,61.6,59.785,59.94,5715604.0,0.0,1.0,60.43,61.6,59.785,59.94,5715604.0
2016-11-09,58.24,60.36,57.8,60.13,5340901.0,0.0,1.0,58.24,60.36,57.8,60.13,5340901.0
2016-11-08,58.52,59.45,57.84,59.31,4077338.0,0.0,1.0,58.52,59.45,57.84,59.31,4077338.0
2016-11-07,57.96,58.765,57.55,58.53,4481923.0,0.0,1.0,57.96,58.765,57.55,58.53,4481923.0
2016-11-04,56.01,57.69,55.75,57.23,5021160.0,0.0,1.0,56.01,57.69,55.75,57.23,5021160.0
2016-11-03,56.66,57.24,55.79,55.94,3697575.0,0.0,1.0,56.66,57.24,55.79,55.94,3697575.0
2016-11-02,55.95,56.86,55.76,56.14,3949185.0,0.0,1.0,55.95,56.86,55.76,56.14,3949185.0
2016-11-01,56.25,56.97,55.53,56.0,4708061.0,0.0,1.0,56.25,56.97,55.53,56.0,4708061.0
2016-10-31,55.62,56.25,54.97,56.23,5256006.0,0.0,1.0,55.62,56.25,54.97,56.23,5256006.0
2016-10-28,54.59,55.445,54.38,55.11,5065464.0,0.0,1.0,54.59,55.445,54.38,55.11,5065464.0
2016-10-27,54.3,55.2,53.59,54.42,4876968.0,0.0,1.0,54.3,55.2,53.59,54.42,4876968.0
2016-10-26,53.11,55.34,52.21,53.98,6082745.0,0.0,1.0,53.11,55.34,52.21,53.98,6082745.0
2016-10-25,54.93,55.89,54.541,54.63,3149986.0,0.0,1.0,54.93,55.89,54.541,54.63,3149986.0
