Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,9.83,10.0,9.79,9.9,10212614.0,0.0,1.0,9.83,10.0,9.79,9.9,10212614.0
2016-11-16,8.49,8.93,8.49,8.89,205224.0,0.0,1.0,8.49,8.93,8.49,8.89,205224.0
2016-11-15,8.5,8.63,8.4701,8.49,227892.0,0.0,1.0,8.5,8.63,8.4701,8.49,227892.0
2016-11-14,8.56,8.7,8.4,8.57,375443.0,0.0,1.0,8.56,8.7,8.4,8.57,375443.0
2016-11-11,7.91,8.47,7.8389,8.43,265476.0,0.0,1.0,7.91,8.47,7.8389,8.43,265476.0
2016-11-10,7.73,7.99,7.68,7.9,416926.0,0.0,1.0,7.73,7.99,7.68,7.9,416926.0
2016-11-09,7.4,7.82,7.23,7.78,180074.0,0.0,1.0,7.4,7.82,7.23,7.78,180074.0
2016-11-08,7.35,7.54,7.26,7.44,77022.0,0.0,1.0,7.35,7.54,7.26,7.44,77022.0
2016-11-07,7.54,7.66,7.39,7.54,107045.0,0.0,1.0,7.54,7.66,7.39,7.54,107045.0
2016-11-04,7.49,7.525,7.37,7.37,74829.0,0.0,1.0,7.49,7.525,7.37,7.37,74829.0
2016-11-03,7.44,7.5,7.33,7.45,91369.0,0.0,1.0,7.44,7.5,7.33,7.45,91369.0
2016-11-02,7.42,7.63,7.39,7.4,107121.0,0.0,1.0,7.42,7.63,7.39,7.4,107121.0
2016-11-01,7.52,7.59,7.4,7.42,140416.0,0.0,1.0,7.52,7.59,7.4,7.42,140416.0
2016-10-31,7.52,7.55,7.47,7.51,103770.0,0.0,1.0,7.52,7.55,7.47,7.51,103770.0
2016-10-28,7.52,7.59,7.47,7.51,88338.0,0.0,1.0,7.52,7.59,7.47,7.51,88338.0
2016-10-27,7.54,7.64,7.49,7.52,80122.0,0.0,1.0,7.54,7.64,7.49,7.52,80122.0
2016-10-26,7.62,7.62,7.485,7.51,54456.0,0.0,1.0,7.62,7.62,7.485,7.51,54456.0
2016-10-25,7.75,7.76,7.61,7.67,52123.0,0.0,1.0,7.75,7.76,7.61,7.67,52123.0
2016-10-24,7.74,7.78,7.68,7.73,77671.0,0.0,1.0,7.74,7.78,7.68,7.73,77671.0
2016-10-21,7.58,7.73,7.58,7.72,64150.0,0.0,1.0,7.58,7.73,7.58,7.72,64150.0
2016-10-20,7.55,7.7,7.55,7.68,54566.0,0.0,1.0,7.55,7.7,7.55,7.68,54566.0
2016-10-19,7.53,7.65,7.51,7.59,58648.0,0.0,1.0,7.53,7.65,7.51,7.59,58648.0
2016-10-18,7.58,7.69,7.505,7.57,83560.0,0.0,1.0,7.58,7.69,7.505,7.57,83560.0
2016-10-17,7.44,7.58,7.42,7.48,108663.0,0.0,1.0,7.44,7.58,7.42,7.48,108663.0
2016-10-14,7.45,7.55,7.43,7.5,150539.0,0.0,1.0,7.45,7.55,7.43,7.5,150539.0
2016-10-13,7.52,7.54,7.44,7.5,156464.0,0.0,1.0,7.52,7.54,7.44,7.5,156464.0
2016-10-12,7.61,7.62,7.5,7.55,59769.0,0.0,1.0,7.61,7.62,7.5,7.55,59769.0
2016-10-11,7.78,7.79,7.495,7.56,125599.0,0.0,1.0,7.78,7.79,7.495,7.56,125599.0
2016-10-10,7.59,7.8,7.55,7.79,111540.0,0.0,1.0,7.59,7.8,7.55,7.79,111540.0
2016-10-07,7.67,7.6745,7.56,7.59,65624.0,0.0,1.0,7.67,7.6745,7.56,7.59,65624.0
2016-10-06,7.7,7.73,7.58,7.69,129950.0,0.0,1.0,7.7,7.73,7.58,7.69,129950.0
2016-10-05,7.89,7.89,7.7,7.7,110082.0,0.0,1.0,7.89,7.89,7.7,7.7,110082.0
2016-10-04,7.55,8.0578,7.51,7.84,947100.0,0.0,1.0,7.55,8.0578,7.51,7.84,947100.0
2016-10-03,7.65,7.66,7.47,7.52,92339.0,0.0,1.0,7.65,7.66,7.47,7.52,92339.0
2016-09-30,7.5,7.745,7.5,7.65,259215.0,0.0,1.0,7.5,7.745,7.5,7.65,259215.0
2016-09-29,7.66,7.66,7.49,7.5,60796.0,0.0,1.0,7.66,7.66,7.49,7.5,60796.0
2016-09-28,7.6,7.67,7.5201,7.64,82836.0,0.0,1.0,7.6,7.67,7.5201,7.64,82836.0
2016-09-27,7.48,7.61,7.48,7.6,127503.0,0.0,1.0,7.48,7.61,7.48,7.6,127503.0
2016-09-26,7.58,7.6,7.46,7.52,106105.0,0.0,1.0,7.58,7.6,7.46,7.52,106105.0
2016-09-23,7.73,7.74,7.57,7.65,93458.0,0.0,1.0,7.73,7.74,7.57,7.65,93458.0
2016-09-22,7.55,7.73,7.55,7.71,97042.0,0.0,1.0,7.55,7.73,7.55,7.71,97042.0
2016-09-21,7.41,7.55,7.32,7.55,135932.0,0.0,1.0,7.41,7.55,7.32,7.55,135932.0
2016-09-20,7.4,7.4,7.2,7.33,138420.0,0.0,1.0,7.4,7.4,7.2,7.33,138420.0
2016-09-19,7.42,7.505,7.3,7.33,99130.0,0.0,1.0,7.42,7.505,7.3,7.33,99130.0
2016-09-16,7.05,7.48,7.04,7.44,434975.0,0.0,1.0,7.05,7.48,7.04,7.44,434975.0
2016-09-15,7.1,7.1,6.98,7.01,198282.0,0.0,1.0,7.1,7.1,6.98,7.01,198282.0
2016-09-14,7.0,7.08,6.97,7.0,202780.0,0.0,1.0,7.0,7.08,6.97,7.0,202780.0
2016-09-13,6.97,7.05,6.97,7.01,298611.0,0.0,1.0,6.97,7.05,6.97,7.01,298611.0
2016-09-12,7.01,7.1,6.99,7.05,132832.0,0.0,1.0,7.01,7.1,6.99,7.05,132832.0
2016-09-09,6.99,7.065,6.98,7.01,205520.0,0.0,1.0,6.99,7.065,6.98,7.01,205520.0
2016-09-08,6.92,7.05,6.91,7.05,148749.0,0.0,1.0,6.92,7.05,6.91,7.05,148749.0
2016-09-07,6.89,7.0,6.89,6.96,116343.0,0.0,1.0,6.89,7.0,6.89,6.96,116343.0
2016-09-06,6.99,6.99,6.82,6.91,152118.0,0.0,1.0,6.99,6.99,6.82,6.91,152118.0
2016-09-02,7.29,7.29,6.945,6.98,153972.0,0.0,1.0,7.29,7.29,6.945,6.98,153972.0
2016-09-01,7.19,7.29,6.98,7.27,251040.0,0.0,1.0,7.19,7.29,6.98,7.27,251040.0
2016-08-31,6.9,7.41,6.87,7.16,1198703.0,0.0,1.0,6.9,7.41,6.87,7.16,1198703.0
2016-08-30,6.9,6.93,6.86,6.89,105462.0,0.0,1.0,6.9,6.93,6.86,6.89,105462.0
2016-08-29,6.87,6.94,6.72,6.93,242745.0,0.0,1.0,6.87,6.94,6.72,6.93,242745.0
2016-08-26,6.96,6.97,6.715,6.84,618652.0,0.0,1.0,6.96,6.97,6.715,6.84,618652.0
2016-08-25,7.05,7.095,6.87,6.95,739493.0,0.0,1.0,7.05,7.095,6.87,6.95,739493.0
2016-08-24,7.23,7.23,7.05,7.06,108175.0,0.0,1.0,7.23,7.23,7.05,7.06,108175.0
2016-08-23,7.17,7.26,7.13,7.21,64849.0,0.0,1.0,7.17,7.26,7.13,7.21,64849.0
2016-08-22,7.13,7.24,6.99,7.19,88890.0,0.0,1.0,7.13,7.24,6.99,7.19,88890.0
2016-08-19,7.2,7.23,7.12,7.22,134520.0,0.0,1.0,7.2,7.23,7.12,7.22,134520.0
2016-08-18,7.08,7.24,7.06,7.19,95891.0,0.0,1.0,7.08,7.24,7.06,7.19,95891.0
2016-08-17,7.29,7.29,7.075,7.11,153186.0,0.0,1.0,7.29,7.29,7.075,7.11,153186.0
2016-08-16,7.24,7.27,7.09,7.24,128743.0,0.0,1.0,7.24,7.27,7.09,7.24,128743.0
2016-08-15,7.24,7.36,7.24,7.27,89008.0,0.0,1.0,7.24,7.36,7.24,7.27,89008.0
2016-08-12,7.18,7.27,7.14,7.26,83502.0,0.0,1.0,7.18,7.27,7.14,7.26,83502.0
2016-08-11,7.03,7.23,7.02,7.16,113103.0,0.0,1.0,7.03,7.23,7.02,7.16,113103.0
2016-08-10,6.97,7.03,6.9186,7.01,105405.0,0.0,1.0,6.97,7.03,6.9186,7.01,105405.0
2016-08-09,7.06,7.13,6.99,6.99,206635.0,0.0,1.0,7.06,7.13,6.99,6.99,206635.0
2016-08-08,7.1,7.24,7.01,7.06,303377.0,0.0,1.0,7.1,7.24,7.01,7.06,303377.0
2016-08-05,7.23,7.41,7.06,7.08,279571.0,0.0,1.0,7.23,7.41,7.06,7.08,279571.0
2016-08-04,7.47,7.57,7.21,7.21,110265.0,0.0,1.0,7.47,7.57,7.21,7.21,110265.0
2016-08-03,7.36,7.51,7.31,7.4,143514.0,0.0,1.0,7.36,7.51,7.31,7.4,143514.0
