Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-22,7.09,7.09,7.09,7.09,4148.0,0.0,1.0,7.09,7.09,7.09,7.09,4148.0
2016-01-21,7.1,7.1,7.09,7.09,1759779.0,0.0,1.0,7.1,7.1,7.09,7.09,1759779.0
2016-01-20,7.09,7.11,7.09,7.1,2402950.0,0.0,1.0,7.09,7.11,7.09,7.1,2402950.0
2016-01-19,7.1,7.1,7.07,7.09,1100892.0,0.0,1.0,7.1,7.1,7.07,7.09,1100892.0
2016-01-15,7.05,7.1,7.05,7.1,2755257.0,0.0,1.0,7.05,7.1,7.05,7.1,2755257.0
2016-01-14,7.06,7.095,7.05,7.07,1204394.0,0.0,1.0,7.06,7.095,7.05,7.07,1204394.0
2016-01-13,7.05,7.07,7.05,7.06,1156720.0,0.0,1.0,7.05,7.07,7.05,7.06,1156720.0
2016-01-12,7.07,7.08,7.05,7.06,1448866.0,0.0,1.0,7.07,7.08,7.05,7.06,1448866.0
2016-01-11,7.03,7.07,7.03,7.04,2172409.0,0.0,1.0,7.03,7.07,7.03,7.04,2172409.0
2016-01-08,7.04,7.06,7.02,7.02,5465949.0,0.0,1.0,7.04,7.06,7.02,7.02,5465949.0
2016-01-07,7.05,7.08,7.03,7.03,863888.0,0.0,1.0,7.05,7.08,7.03,7.03,863888.0
2016-01-06,7.04,7.06,7.03,7.04,866719.0,0.0,1.0,7.04,7.06,7.03,7.04,866719.0
2016-01-05,7.03,7.05,7.02,7.04,962022.0,0.0,1.0,7.03,7.05,7.02,7.04,962022.0
2016-01-04,7.02,7.055,7.0,7.03,2427966.0,0.0,1.0,7.02,7.055,7.0,7.03,2427966.0
2015-12-31,7.04,7.05,7.015,7.03,1131673.0,0.0,1.0,7.04,7.05,7.015,7.03,1131673.0
2015-12-30,7.08,7.08,7.04,7.04,1165313.0,0.0,1.0,7.08,7.08,7.04,7.04,1165313.0
2015-12-29,7.04,7.09,7.03,7.07,875946.0,0.0,1.0,7.04,7.09,7.03,7.07,875946.0
2015-12-28,7.04,7.05,7.015,7.035,905754.0,0.0,1.0,7.04,7.05,7.015,7.035,905754.0
2015-12-24,7.04,7.07,7.0,7.03,763852.0,0.0,1.0,7.04,7.07,7.0,7.03,763852.0
2015-12-23,7.03,7.08,7.005,7.03,2240710.0,0.0,1.0,7.03,7.08,7.005,7.03,2240710.0
2015-12-22,7.04,7.06,7.015,7.03,3606734.0,0.0,1.0,7.04,7.06,7.015,7.03,3606734.0
2015-12-21,6.97,7.04,6.97,7.04,1034549.0,0.0,1.0,6.97,7.04,6.97,7.04,1034549.0
2015-12-18,6.95,7.0,6.89,6.97,2827020.0,0.0,1.0,6.95,7.0,6.89,6.97,2827020.0
2015-12-17,6.94,6.96,6.93,6.93,1284828.0,0.0,1.0,6.94,6.96,6.93,6.93,1284828.0
2015-12-16,6.95,6.96,6.93,6.95,1165539.0,0.0,1.0,6.95,6.96,6.93,6.95,1165539.0
2015-12-15,6.95,6.96,6.93,6.95,995299.0,0.0,1.0,6.95,6.96,6.93,6.95,995299.0
2015-12-14,6.94,6.97,6.92,6.93,1913165.0,0.0,1.0,6.94,6.97,6.92,6.93,1913165.0
2015-12-11,6.96,6.99,6.92,6.94,1771170.0,0.0,1.0,6.96,6.99,6.92,6.94,1771170.0
2015-12-10,6.98,6.995,6.96,6.96,2676470.0,0.0,1.0,6.98,6.995,6.96,6.96,2676470.0
2015-12-09,6.95,6.98,6.95,6.97,896289.0,0.0,1.0,6.95,6.98,6.95,6.97,896289.0
2015-12-08,6.97,6.98,6.95,6.95,3049223.0,0.0,1.0,6.97,6.98,6.95,6.95,3049223.0
2015-12-07,6.97,6.99,6.95,6.97,1033220.0,0.0,1.0,6.97,6.99,6.95,6.97,1033220.0
2015-12-04,6.98,6.99,6.95,6.965,2029179.0,0.0,1.0,6.98,6.99,6.95,6.965,2029179.0
2015-12-03,6.99,7.0,6.96,6.97,1467620.0,0.0,1.0,6.99,7.0,6.96,6.97,1467620.0
2015-12-02,7.0,7.02,6.96,6.97,2814947.0,0.0,1.0,7.0,7.02,6.96,6.97,2814947.0
2015-12-01,7.01,7.05,6.98,6.98,763726.0,0.0,1.0,7.01,7.05,6.98,6.98,763726.0
2015-11-30,6.98,7.01,6.98,7.0,1410713.0,0.0,1.0,6.98,7.01,6.98,7.0,1410713.0
2015-11-27,6.96,7.02,6.96,6.985,253117.0,0.0,1.0,6.96,7.02,6.96,6.985,253117.0
2015-11-25,6.94,7.0,6.94,6.98,957995.0,0.0,1.0,6.94,7.0,6.94,6.98,957995.0
