Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,66.0,66.8,65.5,66.05,6090.0,0.0,1.0,66.0,66.8,65.5,66.05,6090.0
2016-11-16,66.2,67.0,65.8,66.2,11521.0,0.0,1.0,66.2,67.0,65.8,66.2,11521.0
2016-11-15,67.45,67.5,65.2,66.2,6726.0,0.0,1.0,67.45,67.5,65.2,66.2,6726.0
2016-11-14,65.8,67.45,65.2,67.0,6439.0,0.0,1.0,65.8,67.45,65.2,67.0,6439.0
2016-11-11,62.4,65.0,61.5,65.0,20119.0,0.0,1.0,62.4,65.0,61.5,65.0,20119.0
2016-11-10,62.6,63.25,61.15,62.9,4880.0,0.0,1.0,62.6,63.25,61.15,62.9,4880.0
2016-11-09,58.25,62.4,56.75,62.4,3784.0,0.0,1.0,58.25,62.4,56.75,62.4,3784.0
2016-11-08,57.25,60.0,57.0,58.5,3670.0,0.0,1.0,57.25,60.0,57.0,58.5,3670.0
2016-11-07,60.5,60.5,58.115,59.3,2526.0,0.0,1.0,60.5,60.5,58.115,59.3,2526.0
2016-11-04,59.35,60.65,56.3,58.1,11636.0,0.0,1.0,59.35,60.65,56.3,58.1,11636.0
2016-11-03,61.6,61.6,59.0,59.2,3602.0,0.0,1.0,61.6,61.6,59.0,59.2,3602.0
2016-11-02,61.3,62.5,60.75,61.4,4955.0,0.0,1.0,61.3,62.5,60.75,61.4,4955.0
2016-11-01,63.75,63.75,60.4,61.2,10661.0,0.0,1.0,63.75,63.75,60.4,61.2,10661.0
2016-10-31,63.65,63.65,60.5,62.15,8825.0,0.0,1.0,63.65,63.65,60.5,62.15,8825.0
2016-10-28,63.4,64.4,62.45,63.75,4399.0,0.0,1.0,63.4,64.4,62.45,63.75,4399.0
2016-10-27,63.4,63.4,61.0,62.55,1833.0,0.0,1.0,63.4,63.4,61.0,62.55,1833.0
2016-10-26,63.85,63.85,63.55,63.55,1397.0,0.0,1.0,63.85,63.85,63.55,63.55,1397.0
2016-10-25,62.8,63.85,62.725,63.0,3378.0,0.0,1.0,62.8,63.85,62.725,63.0,3378.0
2016-10-24,61.8,63.5,61.75,63.05,4349.0,0.0,1.0,61.8,63.5,61.75,63.05,4349.0
2016-10-21,60.4,62.4,59.725,61.85,10108.0,0.0,1.0,60.4,62.4,59.725,61.85,10108.0
2016-10-20,59.6,61.0,59.6,60.95,1296.0,0.0,1.0,59.6,61.0,59.6,60.95,1296.0
2016-10-19,61.55,62.0,59.7,59.7,6079.0,0.0,1.0,61.55,62.0,59.7,59.7,6079.0
2016-10-18,61.0,61.65,60.0,61.65,1506.0,0.0,1.0,61.0,61.65,60.0,61.65,1506.0
2016-10-17,59.195,60.8,58.65,60.8,15543.0,0.0,1.0,59.195,60.8,58.65,60.8,15543.0
2016-10-14,58.2,60.4,57.64,59.3,17051.0,0.0,1.0,58.2,60.4,57.64,59.3,17051.0
2016-10-13,59.5,59.6,57.98,57.98,7852.0,0.0,1.0,59.5,59.6,57.98,57.98,7852.0
2016-10-12,59.8,59.81,58.84,59.27,4727.0,0.0,1.0,59.8,59.81,58.84,59.27,4727.0
2016-10-11,60.66,61.4,59.66,59.66,9639.0,0.0,1.0,60.66,61.4,59.66,59.66,9639.0
2016-10-10,59.79,62.21,59.79,60.58,12202.0,0.0,1.0,59.79,62.21,59.79,60.58,12202.0
2016-10-07,62.4921,62.4921,59.5,59.59,1638.0,0.0,1.0,62.4921,62.4921,59.5,59.59,1638.0
2016-10-06,60.37,60.37,59.55,59.9,2058.0,0.0,1.0,60.37,60.37,59.55,59.9,2058.0
2016-10-05,59.79,60.47,59.6001,59.99,2259.0,0.0,1.0,59.79,60.47,59.6001,59.99,2259.0
2016-10-04,59.45,59.62,59.43,59.62,1501.0,0.0,1.0,59.45,59.62,59.43,59.62,1501.0
2016-10-03,60.53,60.54,59.43,60.1,5184.0,0.0,1.0,60.53,60.54,59.43,60.1,5184.0
2016-09-30,60.4,61.12,59.45,59.8,9529.0,0.0,1.0,60.4,61.12,59.45,59.8,9529.0
2016-09-29,60.17,60.74,60.13,60.46,2843.0,0.0,1.0,60.17,60.74,60.13,60.46,2843.0
2016-09-28,60.5,60.99,59.4501,60.07,3743.0,0.0,1.0,60.5,60.99,59.4501,60.07,3743.0
2016-09-27,59.88,60.0,59.5,59.5,6904.0,0.0,1.0,59.88,60.0,59.5,59.5,6904.0
2016-09-26,60.92,61.78,59.53,59.78,14362.0,0.0,1.0,60.92,61.78,59.53,59.78,14362.0
2016-09-23,61.0,61.0,61.0,61.0,1244.0,0.0,1.0,61.0,61.0,61.0,61.0,1244.0
2016-09-22,59.29,60.4,59.252,60.01,8861.0,0.0,1.0,59.29,60.4,59.252,60.01,8861.0
2016-09-21,59.96,59.96,59.96,59.96,948.0,0.0,1.0,59.96,59.96,59.96,59.96,948.0
2016-09-20,59.81,60.55,59.81,59.83,2001.0,0.0,1.0,59.81,60.55,59.81,59.83,2001.0
2016-09-19,59.66,61.215,58.26,59.9,7632.0,0.0,1.0,59.66,61.215,58.26,59.9,7632.0
2016-09-16,59.72,61.64,57.21,59.56,23237.0,0.0,1.0,59.72,61.64,57.21,59.56,23237.0
