Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,23.0,23.875,22.9,23.7,331782.0,0.0,1.0,23.0,23.875,22.9,23.7,331782.0
2016-11-16,22.55,23.0,22.4,22.85,340945.0,0.0,1.0,22.55,23.0,22.4,22.85,340945.0
2016-11-15,22.65,22.65,22.0,22.55,388671.0,0.0,1.0,22.65,22.65,22.0,22.55,388671.0
2016-11-14,22.8,23.1,22.45,22.8,380075.0,0.0,1.0,22.8,23.1,22.45,22.8,380075.0
2016-11-11,22.0,22.6,21.75,22.3,424913.0,0.0,1.0,22.0,22.6,21.75,22.3,424913.0
2016-11-10,21.0,22.15,21.0,22.0,435857.0,0.0,1.0,21.0,22.15,21.0,22.0,435857.0
2016-11-09,19.15,20.8,19.0,20.7,471149.0,0.0,1.0,19.15,20.8,19.0,20.7,471149.0
2016-11-08,19.3,19.6,18.9,19.55,623096.0,0.0,1.0,19.3,19.6,18.9,19.55,623096.0
2016-11-07,19.95,20.1,19.35,19.4,435448.0,0.0,1.0,19.95,20.1,19.35,19.4,435448.0
2016-11-04,19.85,20.6,19.6,19.7,507559.0,0.0,1.0,19.85,20.6,19.6,19.7,507559.0
2016-11-03,22.1,22.1,19.6,19.85,586313.0,0.0,1.0,22.1,22.1,19.6,19.85,586313.0
2016-11-02,21.0,21.1,20.255,20.75,415198.0,0.0,1.0,21.0,21.1,20.255,20.75,415198.0
2016-11-01,21.25,21.35,20.4,20.9,356650.0,0.0,1.0,21.25,21.35,20.4,20.9,356650.0
2016-10-31,20.95,21.35,20.7,21.3,238347.0,0.0,1.0,20.95,21.35,20.7,21.3,238347.0
2016-10-28,21.05,21.2,20.55,20.9,276776.0,0.0,1.0,21.05,21.2,20.55,20.9,276776.0
2016-10-27,21.9,21.9,20.95,21.0,173772.0,0.0,1.0,21.9,21.9,20.95,21.0,173772.0
2016-10-26,22.1,22.25,21.6,21.85,231229.0,0.0,1.0,22.1,22.25,21.6,21.85,231229.0
2016-10-25,22.2,22.25,21.75,22.15,240804.0,0.0,1.0,22.2,22.25,21.75,22.15,240804.0
2016-10-24,21.9,22.5,21.85,22.1,224959.0,0.0,1.0,21.9,22.5,21.85,22.1,224959.0
2016-10-21,21.8,22.05,21.6,21.8,337134.0,0.0,1.0,21.8,22.05,21.6,21.8,337134.0
2016-10-20,22.8,22.8,21.95,22.0,239905.0,0.0,1.0,22.8,22.8,21.95,22.0,239905.0
2016-10-19,22.95,23.2,22.6,22.85,222362.0,0.0,1.0,22.95,23.2,22.6,22.85,222362.0
2016-10-18,23.6,23.845,22.85,23.0,534855.0,0.0,1.0,23.6,23.845,22.85,23.0,534855.0
2016-10-17,22.75,23.6,22.75,23.5,671168.0,0.0,1.0,22.75,23.6,22.75,23.5,671168.0
2016-10-14,22.3,22.85,22.15,22.8,270384.0,0.0,1.0,22.3,22.85,22.15,22.8,270384.0
2016-10-13,22.0,22.65,21.8,22.1,241104.0,0.0,1.0,22.0,22.65,21.8,22.1,241104.0
2016-10-12,22.2,22.45,21.9,22.1,298806.0,0.0,1.0,22.2,22.45,21.9,22.1,298806.0
2016-10-11,21.8,22.35,21.8,22.1,399709.0,0.0,1.0,21.8,22.35,21.8,22.1,399709.0
2016-10-10,21.95,22.9,21.15,22.05,613161.0,0.0,1.0,21.95,22.9,21.15,22.05,613161.0
2016-10-07,22.1,23.5,21.49,22.34,2965846.0,0.0,1.0,22.1,23.5,21.49,22.34,2965846.0
2016-10-06,21.74,21.86,18.07,19.51,3983166.0,0.0,1.0,21.74,21.86,18.07,19.51,3983166.0
2016-10-05,22.79,23.33,22.19,22.23,590816.0,0.0,1.0,22.79,23.33,22.19,22.23,590816.0
2016-10-04,23.71,23.8475,22.27,22.81,686926.0,0.0,1.0,23.71,23.8475,22.27,22.81,686926.0
2016-10-03,25.17,25.17,23.72,24.0,449312.0,0.0,1.0,25.17,25.17,23.72,24.0,449312.0
2016-09-30,25.08,25.38,24.94,25.2,193449.0,0.0,1.0,25.08,25.38,24.94,25.2,193449.0
2016-09-29,25.27,25.39,24.9627,25.03,202990.0,0.0,1.0,25.27,25.39,24.9627,25.03,202990.0
2016-09-28,24.41,25.35,24.25,25.25,365572.0,0.0,1.0,24.41,25.35,24.25,25.25,365572.0
2016-09-27,24.37,24.65,24.21,24.45,212391.0,0.0,1.0,24.37,24.65,24.21,24.45,212391.0
2016-09-26,24.9,25.0,24.41,24.43,163812.0,0.0,1.0,24.9,25.0,24.41,24.43,163812.0
2016-09-23,25.29,25.6,25.01,25.03,193658.0,0.0,1.0,25.29,25.6,25.01,25.03,193658.0
2016-09-22,24.95,25.55,24.95,25.37,259234.0,0.0,1.0,24.95,25.55,24.95,25.37,259234.0
2016-09-21,24.47,24.86,24.31,24.8,264629.0,0.0,1.0,24.47,24.86,24.31,24.8,264629.0
2016-09-20,24.39,24.65,24.23,24.24,241821.0,0.0,1.0,24.39,24.65,24.23,24.24,241821.0
2016-09-19,24.08,24.51,23.9816,24.34,166335.0,0.0,1.0,24.08,24.51,23.9816,24.34,166335.0
2016-09-16,24.06,24.17,23.8,24.03,227851.0,0.0,1.0,24.06,24.17,23.8,24.03,227851.0
2016-09-15,23.94,24.3,23.77,24.28,218371.0,0.0,1.0,23.94,24.3,23.77,24.28,218371.0
2016-09-14,24.13,24.23,23.89,24.02,250449.0,0.0,1.0,24.13,24.23,23.89,24.02,250449.0
2016-09-13,24.8,24.86,24.0901,24.18,252343.0,0.0,1.0,24.8,24.86,24.0901,24.18,252343.0
2016-09-12,24.31,25.02,24.26,25.01,264013.0,0.0,1.0,24.31,25.02,24.26,25.01,264013.0
2016-09-09,25.14,25.33,24.31,24.54,335203.0,0.0,1.0,25.14,25.33,24.31,24.54,335203.0
2016-09-08,25.56,25.64,25.07,25.31,205108.0,0.14,1.0,25.56,25.64,25.07,25.31,205108.0
2016-09-07,24.76,25.71,24.49,25.71,394669.0,0.0,1.0,24.6237956778,25.568569744597,24.355280943026,25.568569744597,394669.0
2016-09-06,24.73,24.81,24.38,24.73,250586.0,0.0,1.0,24.593960707269,24.673520628684,24.245886051081,24.593960707269,250586.0
2016-09-02,24.24,24.62,24.08,24.57,306495.0,0.0,1.0,24.106656188605,24.484565815324,23.947536345776,24.43484086444,306495.0
2016-09-01,24.88,24.98,23.86,24.21,463224.0,0.0,1.0,24.743135559921,24.84258546169,23.728746561886,24.076821218075,463224.0
