Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,15.25,15.55,15.1,15.25,995278.0,0.0,1.0,15.25,15.55,15.1,15.25,995278.0
2016-11-16,15.2,15.25,15.1,15.2,917478.0,0.0,1.0,15.2,15.25,15.1,15.2,917478.0
2016-11-15,15.2,15.3,15.0,15.25,1064291.0,0.0,1.0,15.2,15.3,15.0,15.25,1064291.0
2016-11-14,14.9,15.25,14.8,15.2,1627245.0,0.0,1.0,14.9,15.25,14.8,15.2,1627245.0
2016-11-11,14.55,14.9,14.45,14.75,1577100.0,0.0,1.0,14.55,14.9,14.45,14.75,1577100.0
2016-11-10,14.85,14.95,14.5,14.6,1579677.0,0.0,1.0,14.85,14.95,14.5,14.6,1579677.0
2016-11-09,13.95,14.7,13.85,14.7,1572085.0,0.0,1.0,13.95,14.7,13.85,14.7,1572085.0
2016-11-08,13.95,14.55,13.95,14.3,2554404.0,0.0,1.0,13.95,14.55,13.95,14.3,2554404.0
2016-11-07,14.35,14.6,13.85,14.0,2192639.0,0.0,1.0,14.35,14.6,13.85,14.0,2192639.0
2016-11-04,13.85,14.0,13.75,13.85,1114533.0,0.0,1.0,13.85,14.0,13.75,13.85,1114533.0
2016-11-03,14.0,14.0,13.8,13.9,453505.0,0.0,1.0,14.0,14.0,13.8,13.9,453505.0
2016-11-02,13.95,13.975,13.8,13.85,668275.0,0.0,1.0,13.95,13.975,13.8,13.85,668275.0
2016-11-01,14.1,14.25,13.8,13.95,765668.0,0.0,1.0,14.1,14.25,13.8,13.95,765668.0
2016-10-31,13.9,14.2,13.9,14.1,905656.0,0.0,1.0,13.9,14.2,13.9,14.1,905656.0
2016-10-28,13.95,14.1,13.8,13.85,973487.0,0.0,1.0,13.95,14.1,13.8,13.85,973487.0
2016-10-27,14.0,14.05,13.75,13.95,1350214.0,0.0,1.0,14.0,14.05,13.75,13.95,1350214.0
2016-10-26,13.75,14.05,13.7,13.9,895225.0,0.0,1.0,13.75,14.05,13.7,13.9,895225.0
2016-10-25,14.25,14.3,13.7,13.8,1151513.0,0.0,1.0,14.25,14.3,13.7,13.8,1151513.0
2016-10-24,14.3,14.4,14.15,14.35,1981758.0,0.0,1.0,14.3,14.4,14.15,14.35,1981758.0
2016-10-21,13.85,14.1,13.775,14.02,363305.0,0.0,1.0,13.85,14.1,13.775,14.02,363305.0
2016-10-20,14.0,14.05,13.9,14.0,460448.0,0.0,1.0,14.0,14.05,13.9,14.0,460448.0
2016-10-19,13.95,14.1,13.825,14.05,399113.0,0.0,1.0,13.95,14.1,13.825,14.05,399113.0
2016-10-18,14.05,14.1,13.85,13.95,770251.0,0.0,1.0,14.05,14.1,13.85,13.95,770251.0
2016-10-17,13.85,14.042,13.8,13.9,386463.0,0.0,1.0,13.85,14.042,13.8,13.9,386463.0
2016-10-14,13.8,13.97,13.7699,13.82,1212475.0,0.0,1.0,13.8,13.97,13.7699,13.82,1212475.0
2016-10-13,13.87,13.88,13.66,13.75,503733.0,0.0,1.0,13.87,13.88,13.66,13.75,503733.0
2016-10-12,13.91,14.05,13.82,14.02,957523.0,0.0,1.0,13.91,14.05,13.82,14.02,957523.0
2016-10-11,14.19,14.19,13.8,13.93,960531.0,0.0,1.0,14.19,14.19,13.8,13.93,960531.0
2016-10-10,14.17,14.28,14.09,14.19,561636.0,0.0,1.0,14.17,14.28,14.09,14.19,561636.0
2016-10-07,14.2,14.2,13.975,14.06,539884.0,0.0,1.0,14.2,14.2,13.975,14.06,539884.0
2016-10-06,14.13,14.26,14.03,14.23,1541440.0,0.0,1.0,14.13,14.26,14.03,14.23,1541440.0
2016-10-05,14.0,14.25,13.99,14.13,853652.0,0.0,1.0,14.0,14.25,13.99,14.13,853652.0
2016-10-04,14.02,14.11,13.78,13.88,919558.0,0.0,1.0,14.02,14.11,13.78,13.88,919558.0
2016-10-03,14.07,14.14,13.96,13.99,786281.0,0.0,1.0,14.07,14.14,13.96,13.99,786281.0
2016-09-30,14.03,14.13,13.89,14.09,1373344.0,0.0,1.0,14.03,14.13,13.89,14.09,1373344.0
2016-09-29,14.03,14.06,13.77,13.9,860331.0,0.0,1.0,14.03,14.06,13.77,13.9,860331.0
2016-09-28,14.14,14.2,14.02,14.1,914141.0,0.0,1.0,14.14,14.2,14.02,14.1,914141.0
2016-09-27,13.88,14.14,13.84,14.08,857338.0,0.0,1.0,13.88,14.14,13.84,14.08,857338.0
2016-09-26,13.86,14.03,13.81,13.83,598397.0,0.0,1.0,13.86,14.03,13.81,13.83,598397.0
2016-09-23,14.15,14.15,13.95,13.98,845915.0,0.0,1.0,14.15,14.15,13.95,13.98,845915.0
2016-09-22,14.18,14.255,14.13,14.24,903708.0,0.0,1.0,14.18,14.255,14.13,14.24,903708.0
2016-09-21,13.9,14.16,13.84,14.13,1008394.0,0.0,1.0,13.9,14.16,13.84,14.13,1008394.0
2016-09-20,13.93,14.01,13.79,13.79,893270.0,0.0,1.0,13.93,14.01,13.79,13.79,893270.0
2016-09-19,13.92,13.99,13.75,13.79,804814.0,0.0,1.0,13.92,13.99,13.75,13.79,804814.0
2016-09-16,13.61,13.81,13.51,13.8,1708456.0,0.0,1.0,13.61,13.81,13.51,13.8,1708456.0
2016-09-15,13.49,13.78,13.46,13.7,1109320.0,0.0,1.0,13.49,13.78,13.46,13.7,1109320.0
2016-09-14,13.5,13.575,13.38,13.44,776570.0,0.0,1.0,13.5,13.575,13.38,13.44,776570.0
2016-09-13,13.8,13.93,13.37,13.47,1550646.0,0.063,1.0,13.8,13.93,13.37,13.47,1550646.0
2016-09-12,13.57,13.86,13.46,13.74,1034858.0,0.0,1.0,13.506827754378,13.795477721126,13.397339835957,13.676036355575,1034858.0
2016-09-09,14.03,14.05,13.69,13.69,1025728.0,0.0,1.0,13.964686322323,13.984593216582,13.626269119929,13.626269119929,1025728.0
2016-09-08,14.06,14.21,13.98,14.18,715499.0,0.0,1.0,13.994546663711,14.14384837065,13.914919086677,14.113988029262,715499.0
2016-09-07,14.04,14.14,13.99,14.13,709037.0,0.0,1.0,13.974639769452,14.074174240745,13.924872533806,14.064220793616,709037.0
