Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,1.25,1.2501,1.21,1.23,89156.0,0.0,1.0,1.25,1.2501,1.21,1.23,89156.0
2016-11-16,1.24,1.26,1.2,1.25,65983.0,0.0,1.0,1.24,1.26,1.2,1.25,65983.0
2016-11-15,1.28,1.28,1.23,1.26,38247.0,0.0,1.0,1.28,1.28,1.23,1.26,38247.0
2016-11-14,1.28,1.28,1.24,1.27,60736.0,0.0,1.0,1.28,1.28,1.24,1.27,60736.0
2016-11-11,1.25,1.28,1.22,1.25,55024.0,0.0,1.0,1.25,1.28,1.22,1.25,55024.0
2016-11-10,1.22,1.27,1.13,1.25,228671.0,0.0,1.0,1.22,1.27,1.13,1.25,228671.0
2016-11-09,1.13,1.21,1.13,1.19,92976.0,0.0,1.0,1.13,1.21,1.13,1.19,92976.0
2016-11-08,1.17,1.17,1.08,1.13,181941.0,0.0,1.0,1.17,1.17,1.08,1.13,181941.0
2016-11-07,1.15,1.23,1.1,1.13,63696.0,0.0,1.0,1.15,1.23,1.1,1.13,63696.0
2016-11-04,1.14,1.17,1.13,1.13,155778.0,0.0,1.0,1.14,1.17,1.13,1.13,155778.0
2016-11-03,1.22,1.23,1.1,1.13,316789.0,0.0,1.0,1.22,1.23,1.1,1.13,316789.0
2016-11-02,1.3,1.31,1.2,1.21,176419.0,0.0,1.0,1.3,1.31,1.2,1.21,176419.0
2016-11-01,1.26,1.27,1.25,1.26,111296.0,0.0,1.0,1.26,1.27,1.25,1.26,111296.0
2016-10-31,1.27,1.29,1.23,1.25,180222.0,0.0,1.0,1.27,1.29,1.23,1.25,180222.0
2016-10-28,1.25,1.28,1.2,1.27,150128.0,0.0,1.0,1.25,1.28,1.2,1.27,150128.0
2016-10-27,1.22,1.25,1.2,1.22,211686.0,0.0,1.0,1.22,1.25,1.2,1.22,211686.0
2016-10-26,1.3,1.31,1.22,1.23,177876.0,0.0,1.0,1.3,1.31,1.22,1.23,177876.0
2016-10-25,1.32,1.33,1.2,1.29,277189.0,0.0,1.0,1.32,1.33,1.2,1.29,277189.0
2016-10-24,1.4,1.405,1.33,1.34,126340.0,0.0,1.0,1.4,1.405,1.33,1.34,126340.0
2016-10-21,1.38,1.45,1.38,1.4,138451.0,0.0,1.0,1.38,1.45,1.38,1.4,138451.0
2016-10-20,1.3501,1.45,1.35,1.42,80374.0,0.0,1.0,1.3501,1.45,1.35,1.42,80374.0
2016-10-19,1.38,1.39,1.34,1.38,100014.0,0.0,1.0,1.38,1.39,1.34,1.38,100014.0
2016-10-18,1.396,1.396,1.34,1.37,101798.0,0.0,1.0,1.396,1.396,1.34,1.37,101798.0
2016-10-17,1.36,1.42,1.34,1.38,127713.0,0.0,1.0,1.36,1.42,1.34,1.38,127713.0
2016-10-14,1.41,1.4201,1.34,1.37,157127.0,0.0,1.0,1.41,1.4201,1.34,1.37,157127.0
2016-10-13,1.4853,1.51,1.4,1.43,185165.0,0.0,1.0,1.4853,1.51,1.4,1.43,185165.0
2016-10-12,1.48,1.52,1.4501,1.49,97640.0,0.0,1.0,1.48,1.52,1.4501,1.49,97640.0
2016-10-11,1.49,1.53,1.47,1.47,221163.0,0.0,1.0,1.49,1.53,1.47,1.47,221163.0
2016-10-10,1.494,1.52,1.45,1.51,120496.0,0.0,1.0,1.494,1.52,1.45,1.51,120496.0
2016-10-07,1.49,1.5,1.4,1.47,315611.0,0.0,1.0,1.49,1.5,1.4,1.47,315611.0
2016-10-06,1.4,1.55,1.39,1.49,1206213.0,0.0,1.0,1.4,1.55,1.39,1.49,1206213.0
2016-10-05,1.35,1.41,1.33,1.39,504560.0,0.0,1.0,1.35,1.41,1.33,1.39,504560.0
2016-10-04,1.3408,1.36,1.32,1.325,83369.0,0.0,1.0,1.3408,1.36,1.32,1.325,83369.0
2016-10-03,1.34,1.37,1.32,1.32,44456.0,0.0,1.0,1.34,1.37,1.32,1.32,44456.0
2016-09-30,1.36,1.39,1.33,1.33,140831.0,0.0,1.0,1.36,1.39,1.33,1.33,140831.0
2016-09-29,1.36,1.41,1.32,1.32,93584.0,0.0,1.0,1.36,1.41,1.32,1.32,93584.0
2016-09-28,1.3927,1.3927,1.36,1.36,59214.0,0.0,1.0,1.3927,1.3927,1.36,1.36,59214.0
2016-09-27,1.37,1.4,1.36,1.37,68327.0,0.0,1.0,1.37,1.4,1.36,1.37,68327.0
2016-09-26,1.4,1.45,1.36,1.38,207732.0,0.0,1.0,1.4,1.45,1.36,1.38,207732.0
2016-09-23,1.38,1.41,1.34,1.4,206508.0,0.0,1.0,1.38,1.41,1.34,1.4,206508.0
2016-09-22,1.35,1.41,1.34,1.37,152483.0,0.0,1.0,1.35,1.41,1.34,1.37,152483.0
2016-09-21,1.35,1.38,1.31,1.34,89252.0,0.0,1.0,1.35,1.38,1.31,1.34,89252.0
2016-09-20,1.38,1.4,1.34,1.36,171136.0,0.0,1.0,1.38,1.4,1.34,1.36,171136.0
2016-09-19,1.35,1.39,1.34,1.38,86501.0,0.0,1.0,1.35,1.39,1.34,1.38,86501.0
2016-09-16,1.33,1.37,1.33,1.36,61789.0,0.0,1.0,1.33,1.37,1.33,1.36,61789.0
2016-09-15,1.29,1.38,1.29,1.35,281354.0,0.0,1.0,1.29,1.38,1.29,1.35,281354.0
2016-09-14,1.32,1.34,1.31,1.32,142682.0,0.0,1.0,1.32,1.34,1.31,1.32,142682.0
