Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,59.68,60.85,59.68,60.25,141291.0,0.0,1.0,59.68,60.85,59.68,60.25,141291.0
2016-11-16,59.98,60.72,59.21,59.76,189476.0,0.0,1.0,59.98,60.72,59.21,59.76,189476.0
2016-11-15,57.95,60.3,56.75,60.26,218457.0,0.0,1.0,57.95,60.3,56.75,60.26,218457.0
2016-11-14,57.75,59.82,57.4,58.84,443709.0,0.0,1.0,57.75,59.82,57.4,58.84,443709.0
2016-11-11,55.39,57.5,54.95,57.01,230950.0,0.0,1.0,55.39,57.5,54.95,57.01,230950.0
2016-11-10,53.0,55.6,52.84,55.39,176484.0,0.0,1.0,53.0,55.6,52.84,55.39,176484.0
2016-11-09,50.54,53.02,50.3101,52.99,139600.0,0.0,1.0,50.54,53.02,50.3101,52.99,139600.0
2016-11-08,49.93,50.78,49.16,50.3,80926.0,0.0,1.0,49.93,50.78,49.16,50.3,80926.0
2016-11-07,49.59,50.43,49.23,50.19,73352.0,0.0,1.0,49.59,50.43,49.23,50.19,73352.0
2016-11-04,48.53,49.52,48.28,48.91,67305.0,0.0,1.0,48.53,49.52,48.28,48.91,67305.0
2016-11-03,48.47,48.89,48.36,48.6,76293.0,0.0,1.0,48.47,48.89,48.36,48.6,76293.0
2016-11-02,48.64,48.76,48.13,48.63,78917.0,0.0,1.0,48.252786282915,48.371830985915,47.746846295162,48.242865890998,78917.0
2016-11-01,49.65,49.71,48.59,48.89,73312.0,0.0,1.0,49.254745866503,49.314268218004,48.203184323331,48.500796080833,73312.0
2016-10-31,48.71,49.63,48.27,49.56,93211.0,0.0,1.0,48.322229026332,49.23490508267,47.885731781996,49.165462339253,93211.0
2016-10-28,49.25,49.3,48.7,48.98,48594.0,0.0,1.0,48.857930189835,48.907532149418,48.312308634415,48.590079608083,48594.0
2016-10-27,49.14,49.525,48.48,49.17,53202.0,0.0,1.0,48.748805878751,49.130740967544,48.094060012247,48.778567054501,53202.0
2016-10-26,49.07,49.37,48.52,48.72,65564.0,0.0,1.0,48.679363135334,48.976974892835,48.133741579914,48.332149418249,65564.0
2016-10-25,49.2,49.72,48.88,49.16,64714.0,0.0,1.0,48.808328230251,49.32418860992,48.490875688916,48.768646662584,64714.0
2016-10-24,49.79,50.31,47.305,49.46,89958.0,0.0,1.0,49.393631353337,49.909491733007,46.928413962033,49.066258420086,89958.0
2016-10-21,48.31,49.55,47.5,49.51,106163.0,0.0,1.0,47.925413349663,49.155541947336,47.121861604409,49.115860379669,106163.0
2016-10-20,49.04,49.5,48.43,48.88,146140.0,0.0,1.0,48.649601959584,49.105939987753,48.044458052664,48.490875688916,146140.0
2016-10-19,48.43,48.94,48.3,48.58,74722.0,0.0,1.0,48.044458052664,48.550398040416,47.915492957746,48.193263931415,74722.0
2016-10-18,48.99,48.99,48.15,48.2,110678.0,0.0,1.0,48.6,48.6,47.766687078996,47.816289038579,110678.0
2016-10-17,48.85,49.1,48.38,48.47,75562.0,0.0,1.0,48.461114513166,48.709124311084,47.99485609308,48.084139620331,75562.0
2016-10-14,49.59,50.04,48.72,48.96,62728.0,0.0,1.0,49.195223515003,49.641641151255,48.332149418249,48.57023882425,62728.0
2016-10-13,50.14,50.2,48.775,48.94,141209.0,0.0,1.0,49.740845070423,49.800367421923,48.386711573791,48.550398040416,141209.0
2016-10-12,51.06,51.06,50.31,50.52,110892.0,0.0,1.0,50.653521126761,50.653521126761,49.909491733007,50.117819963258,110892.0
2016-10-11,51.66,51.805,50.54,50.89,95644.0,0.0,1.0,51.248744641764,51.392590324556,50.137660747091,50.484874464176,95644.0
2016-10-10,51.45,51.75,51.36,51.6,101757.0,0.0,1.0,51.040416411513,51.338028169014,50.951132884262,51.189222290263,101757.0
2016-10-07,51.46,51.46,50.78,51.02,91173.0,0.0,1.0,51.050336803429,51.050336803429,50.375750153092,50.613839559094,91173.0
2016-10-06,51.57,51.65,51.11,51.39,74981.0,0.0,1.0,51.159461114513,51.238824249847,50.703123086344,50.980894060012,74981.0
2016-10-05,50.62,51.75,50.31,51.52,88755.0,0.0,1.0,50.217023882425,51.338028169014,49.909491733007,51.10985915493,88755.0
2016-10-04,50.29,50.74,50.0301,50.47,59860.0,0.0,1.0,49.889650949173,50.336068585426,49.631819963258,50.068218003674,59860.0
2016-10-03,50.48,50.84,49.94,50.11,91842.0,0.0,1.0,50.078138395591,50.435272504593,49.542437232088,49.711083894672,91842.0
2016-09-30,50.02,51.12,49.94,50.88,131790.0,0.0,1.0,49.621800367422,50.713043478261,49.542437232088,50.47495407226,131790.0
2016-09-29,50.33,50.65,49.74,49.82,91514.0,0.0,1.0,49.92933251684,50.246785058175,49.344029393754,49.423392529088,91514.0
2016-09-28,49.63,50.28,49.24,50.24,90673.0,0.0,1.0,49.23490508267,49.879730557257,48.848009797918,49.84004898959,90673.0
2016-09-27,48.63,49.42,48.3,49.39,96792.0,0.0,1.0,48.242865890998,49.026576852419,47.915492957746,48.996815676669,96792.0
2016-09-26,49.56,50.09,48.72,48.84,89758.0,0.0,1.0,49.165462339253,49.691243110839,48.332149418249,48.451194121249,89758.0
2016-09-23,49.99,50.4599,49.85,49.93,128121.0,0.0,1.0,49.592039191672,50.058198407838,49.453153704838,49.532516840171,128121.0
2016-09-22,49.46,50.24,49.4,50.22,103678.0,0.0,1.0,49.066258420086,49.84004898959,49.006736068585,49.820208205756,103678.0
2016-09-21,49.03,49.425,48.98,49.29,73011.0,0.0,1.0,48.639681567667,49.031537048377,48.590079608083,48.897611757502,73011.0
2016-09-20,48.83,49.26,48.69,48.78,58716.0,0.0,1.0,48.441273729333,48.867850581751,48.302388242498,48.391671769749,58716.0
