Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,102.75,103.23,101.31,101.35,463803.0,0.0,1.0,102.75,103.23,101.31,101.35,463803.0
2016-11-16,102.67,103.76,102.52,102.79,362923.0,0.0,1.0,102.67,103.76,102.52,102.79,362923.0
2016-11-15,102.07,103.52,101.43,103.34,229650.0,0.0,1.0,102.07,103.52,101.43,103.34,229650.0
2016-11-14,104.64,105.82,102.13,102.2,505946.0,0.0,1.0,104.64,105.82,102.13,102.2,505946.0
2016-11-11,101.02,104.07,101.02,103.86,1010294.0,0.0,1.0,101.02,104.07,101.02,103.86,1010294.0
2016-11-10,101.0,103.86,101.0,101.42,637026.0,0.0,1.0,101.0,103.86,101.0,101.42,637026.0
2016-11-09,98.46,100.85,98.46,100.12,537707.0,0.0,1.0,98.46,100.85,98.46,100.12,537707.0
2016-11-08,99.1,99.68,98.05,99.23,329534.0,0.0,1.0,99.1,99.68,98.05,99.23,329534.0
2016-11-07,99.51,100.235,98.81,99.31,668754.0,0.0,1.0,99.51,100.235,98.81,99.31,668754.0
2016-11-04,96.59,98.78,96.25,97.35,391686.0,0.0,1.0,96.59,98.78,96.25,97.35,391686.0
2016-11-03,96.82,97.87,96.52,96.81,354576.0,0.0,1.0,96.82,97.87,96.52,96.81,354576.0
2016-11-02,97.45,98.18,96.52,96.6,441120.0,0.0,1.0,97.45,98.18,96.52,96.6,441120.0
2016-11-01,98.78,99.68,96.6,97.7,458366.0,0.0,1.0,98.78,99.68,96.6,97.7,458366.0
2016-10-31,97.77,98.59,97.37,98.46,619005.0,0.0,1.0,97.77,98.59,97.37,98.46,619005.0
2016-10-28,97.88,98.84,97.19,97.49,380681.0,0.0,1.0,97.88,98.84,97.19,97.49,380681.0
2016-10-27,96.95,98.21,96.2,98.05,541714.0,0.0,1.0,96.95,98.21,96.2,98.05,541714.0
2016-10-26,96.39,98.28,96.39,97.19,400135.0,0.0,1.0,96.39,98.28,96.39,97.19,400135.0
2016-10-25,99.47,99.81,96.69,96.92,508978.0,0.0,1.0,99.47,99.81,96.69,96.92,508978.0
2016-10-24,100.85,101.99,98.97,99.37,695614.0,0.0,1.0,100.85,101.99,98.97,99.37,695614.0
2016-10-21,98.11,99.61,97.83,99.16,695107.0,0.0,1.0,98.11,99.61,97.83,99.16,695107.0
2016-10-20,106.0,106.62,98.97,99.51,1719011.0,0.0,1.0,106.0,106.62,98.97,99.51,1719011.0
