Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,59.71,60.25,57.62,58.8,6560785.0,0.0,1.0,59.71,60.25,57.62,58.8,6560785.0
2016-11-16,59.52,59.83,58.86,59.53,2958405.0,0.0,1.0,59.52,59.83,58.86,59.53,2958405.0
2016-11-15,59.49,59.985,58.71,59.71,4029579.0,0.0,1.0,59.49,59.985,58.71,59.71,4029579.0
2016-11-14,58.66,60.54,58.65,59.48,4392318.0,0.0,1.0,58.66,60.54,58.65,59.48,4392318.0
2016-11-11,56.72,58.99,56.26,58.92,6138836.0,0.0,1.0,56.72,58.99,56.26,58.92,6138836.0
2016-11-10,57.98,59.49,56.6594,56.84,4827120.0,0.0,1.0,57.98,59.49,56.6594,56.84,4827120.0
2016-11-09,56.08,58.04,55.05,57.48,5709010.0,0.0,1.0,56.08,58.04,55.05,57.48,5709010.0
2016-11-08,57.34,57.77,56.65,57.26,2943980.0,0.0,1.0,57.34,57.77,56.65,57.26,2943980.0
2016-11-07,56.41,57.96,56.3,57.67,4459683.0,0.0,1.0,56.41,57.96,56.3,57.67,4459683.0
2016-11-04,54.72,55.97,54.2601,55.02,2705620.0,0.0,1.0,54.72,55.97,54.2601,55.02,2705620.0
2016-11-03,55.43,55.98,54.87,55.14,3192636.0,0.0,1.0,55.43,55.98,54.87,55.14,3192636.0
2016-11-02,57.11,57.63,55.14,55.2,4198983.0,0.0,1.0,57.11,57.63,55.14,55.2,4198983.0
2016-11-01,58.51,58.9,56.3,57.24,3778257.0,0.0,1.0,58.51,58.9,56.3,57.24,3778257.0
2016-10-31,59.25,59.95,58.43,58.44,3228710.0,0.0,1.0,59.25,59.95,58.43,58.44,3228710.0
2016-10-28,59.68,61.0,59.1,59.21,4690634.0,0.0,1.0,59.68,61.0,59.1,59.21,4690634.0
2016-10-27,58.55,61.97,58.5,59.58,14951207.0,0.0,1.0,58.55,61.97,58.5,59.58,14951207.0
2016-10-26,53.52,56.67,53.14,56.52,8406868.0,0.0,1.0,53.52,56.67,53.14,56.52,8406868.0
2016-10-25,54.05,54.44,53.11,53.63,3317229.0,0.0,1.0,54.05,54.44,53.11,53.63,3317229.0
2016-10-24,53.32,53.75,53.16,53.52,3096906.0,0.0,1.0,53.32,53.75,53.16,53.52,3096906.0
2016-10-21,53.53,53.64,52.62,53.07,2752464.0,0.0,1.0,53.53,53.64,52.62,53.07,2752464.0
2016-10-20,53.59,54.3,53.3,53.86,2205579.0,0.0,1.0,53.59,54.3,53.3,53.86,2205579.0
2016-10-19,52.7,53.97,52.1,53.6,3676412.0,0.0,1.0,52.7,53.97,52.1,53.6,3676412.0
2016-10-18,54.07,54.36,53.0,53.99,3116070.0,0.0,1.0,54.07,54.36,53.0,53.99,3116070.0
2016-10-17,54.82,55.72,52.43,53.18,6586618.0,0.0,1.0,54.82,55.72,52.43,53.18,6586618.0
2016-10-14,55.62,56.47,54.71,54.84,3825097.0,0.0,1.0,55.62,56.47,54.71,54.84,3825097.0
2016-10-13,55.62,55.63,53.7342,55.28,4977951.0,0.0,1.0,55.62,55.63,53.7342,55.28,4977951.0
2016-10-12,56.75,57.86,55.97,56.42,4276241.0,0.0,1.0,56.75,57.86,55.97,56.42,4276241.0
2016-10-11,59.26,59.35,56.05,56.62,6343778.0,0.0,1.0,59.26,59.35,56.05,56.62,6343778.0
2016-10-10,59.34,59.73,58.73,59.26,3743030.0,0.0,1.0,59.34,59.73,58.73,59.26,3743030.0
2016-10-07,57.91,59.11,57.87,58.67,3502199.0,0.0,1.0,57.91,59.11,57.87,58.67,3502199.0
2016-10-06,59.2,59.262,57.27,58.06,4944308.0,0.0,1.0,59.2,59.262,57.27,58.06,4944308.0
2016-10-05,58.49,59.69,58.19,59.24,4425302.0,0.0,1.0,58.49,59.69,58.19,59.24,4425302.0
2016-10-04,59.35,59.55,58.24,58.69,4592947.0,0.0,1.0,59.35,59.55,58.24,58.69,4592947.0
