Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,2.25,2.3056,2.19,2.2,121255.0,0.0,1.0,2.25,2.3056,2.19,2.2,121255.0
2016-11-16,2.2,2.27,2.15,2.22,125583.0,0.0,1.0,2.2,2.27,2.15,2.22,125583.0
2016-11-15,2.25,2.35,2.16,2.19,195934.0,0.0,1.0,2.25,2.35,2.16,2.19,195934.0
2016-11-14,2.13,2.25,2.08,2.21,320055.0,0.0,1.0,2.13,2.25,2.08,2.21,320055.0
2016-11-11,2.04,2.14,2.0129,2.09,263754.0,0.0,1.0,2.04,2.14,2.0129,2.09,263754.0
2016-11-10,1.98,2.14,1.92,2.07,551945.0,0.0,1.0,1.98,2.14,1.92,2.07,551945.0
2016-11-09,1.61,2.01,1.5,1.98,374942.0,0.0,1.0,1.61,2.01,1.5,1.98,374942.0
2016-11-08,1.58,1.62,1.542,1.56,96911.0,0.0,1.0,1.58,1.62,1.542,1.56,96911.0
2016-11-07,1.57,1.6899,1.54,1.59,99439.0,0.0,1.0,1.57,1.6899,1.54,1.59,99439.0
2016-11-04,1.51,1.59,1.49,1.53,125767.0,0.0,1.0,1.51,1.59,1.49,1.53,125767.0
2016-11-03,1.48,1.63,1.45,1.51,183072.0,0.0,1.0,1.48,1.63,1.45,1.51,183072.0
2016-11-02,1.5,1.52,1.42,1.47,104319.0,0.0,1.0,1.5,1.52,1.42,1.47,104319.0
2016-11-01,1.55,1.6299,1.46,1.52,215771.0,0.0,1.0,1.55,1.6299,1.46,1.52,215771.0
2016-10-31,1.7,1.72,1.505,1.52,336045.0,0.0,1.0,1.7,1.72,1.505,1.52,336045.0
2016-10-28,1.72,1.75,1.6683,1.68,95255.0,0.0,1.0,1.72,1.75,1.6683,1.68,95255.0
2016-10-27,1.75,1.774,1.7,1.72,71472.0,0.0,1.0,1.75,1.774,1.7,1.72,71472.0
2016-10-26,1.78,1.82,1.72,1.74,57331.0,0.0,1.0,1.78,1.82,1.72,1.74,57331.0
2016-10-25,1.84,1.8982,1.79,1.8,33505.0,0.0,1.0,1.84,1.8982,1.79,1.8,33505.0
2016-10-24,1.84,1.85,1.79,1.84,160858.0,0.0,1.0,1.84,1.85,1.79,1.84,160858.0
2016-10-21,1.89,1.9148,1.83,1.83,59155.0,0.0,1.0,1.89,1.9148,1.83,1.83,59155.0
2016-10-20,1.84,1.95,1.82,1.92,70764.0,0.0,1.0,1.84,1.95,1.82,1.92,70764.0
2016-10-19,1.8,1.89,1.77,1.86,86783.0,0.0,1.0,1.8,1.89,1.77,1.86,86783.0
2016-10-18,1.77,1.81,1.77,1.77,60266.0,0.0,1.0,1.77,1.81,1.77,1.77,60266.0
2016-10-17,1.77,1.789,1.7,1.74,62788.0,0.0,1.0,1.77,1.789,1.7,1.74,62788.0
2016-10-14,1.79,1.81,1.7101,1.76,62685.0,0.0,1.0,1.79,1.81,1.7101,1.76,62685.0
2016-10-13,1.81,1.83,1.775,1.79,83295.0,0.0,1.0,1.81,1.83,1.775,1.79,83295.0
2016-10-12,1.85,1.89,1.84,1.86,67186.0,0.0,1.0,1.85,1.89,1.84,1.86,67186.0
2016-10-11,1.92,1.92,1.83,1.85,86808.0,0.0,1.0,1.92,1.92,1.83,1.85,86808.0
2016-10-10,1.9,1.96,1.89,1.93,52588.0,0.0,1.0,1.9,1.96,1.89,1.93,52588.0
2016-10-07,1.91,1.9135,1.85,1.86,60416.0,0.0,1.0,1.91,1.9135,1.85,1.86,60416.0
2016-10-06,1.92,1.95,1.89,1.9,82330.0,0.0,1.0,1.92,1.95,1.89,1.9,82330.0
2016-10-05,1.91,1.96,1.8632,1.91,53360.0,0.0,1.0,1.91,1.96,1.8632,1.91,53360.0
2016-10-04,1.9,1.95,1.86,1.87,121593.0,0.0,1.0,1.9,1.95,1.86,1.87,121593.0
