Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,10.53,10.56,10.45,10.47,149871.0,0.0,1.0,10.53,10.56,10.45,10.47,149871.0
2016-11-16,10.47,10.568,10.41,10.49,209044.0,0.0,1.0,10.47,10.568,10.41,10.49,209044.0
2016-11-15,10.4,10.48,10.25,10.41,291170.0,0.0,1.0,10.4,10.48,10.25,10.41,291170.0
2016-11-14,10.45,10.49,10.36,10.42,240709.0,0.0,1.0,10.45,10.49,10.36,10.42,240709.0
2016-11-11,10.28,10.55,10.28,10.39,408267.0,0.0,1.0,10.28,10.55,10.28,10.39,408267.0
2016-11-10,10.32,10.405,10.1697,10.26,386156.0,0.0,1.0,10.32,10.405,10.1697,10.26,386156.0
2016-11-09,10.09,10.4,10.0,10.37,479055.0,0.0,1.0,10.09,10.4,10.0,10.37,479055.0
2016-11-08,10.31,10.42,10.23,10.27,548309.0,0.0,1.0,10.31,10.42,10.23,10.27,548309.0
2016-11-07,10.22,10.36,10.18,10.25,253095.0,0.0,1.0,10.22,10.36,10.18,10.25,253095.0
2016-11-04,10.09,10.27,10.09,10.16,280762.0,0.0,1.0,10.09,10.27,10.09,10.16,280762.0
2016-11-03,9.97,10.34,9.94,10.09,335046.0,0.0,1.0,9.97,10.34,9.94,10.09,335046.0
2016-11-02,9.93,9.98,9.855,9.87,211446.0,0.0,1.0,9.93,9.98,9.855,9.87,211446.0
2016-11-01,10.15,10.18,9.84,9.88,293613.0,0.0,1.0,10.15,10.18,9.84,9.88,293613.0
2016-10-31,10.15,10.19,10.08,10.13,172570.0,0.0,1.0,10.15,10.19,10.08,10.13,172570.0
2016-10-28,10.16,10.25,10.05,10.13,114014.0,0.0,1.0,10.16,10.25,10.05,10.13,114014.0
2016-10-27,10.33,10.38,10.19,10.2,89338.0,0.0,1.0,10.33,10.38,10.19,10.2,89338.0
2016-10-26,10.47,10.48,10.29,10.35,195474.0,0.0,1.0,10.47,10.48,10.29,10.35,195474.0
2016-10-25,10.28,10.48,10.2745,10.45,264272.0,0.0,1.0,10.28,10.48,10.2745,10.45,264272.0
2016-10-24,10.09,10.26,10.08,10.26,182457.0,0.0,1.0,10.09,10.26,10.08,10.26,182457.0
2016-10-21,9.95,10.125,9.95,10.06,138964.0,0.0,1.0,9.95,10.125,9.95,10.06,138964.0
