Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,37.36,38.8,37.1,37.55,25672616.0,0.0,1.0,37.36,38.8,37.1,37.55,25672616.0
2016-11-16,29.82,30.59,29.76,30.5,2612481.0,0.0,1.0,29.82,30.59,29.76,30.5,2612481.0
2016-11-15,29.13,30.2,29.12,29.96,3073198.0,0.0,1.0,29.13,30.2,29.12,29.96,3073198.0
2016-11-14,28.41,28.9,27.99,28.71,1340314.0,0.0,1.0,28.41,28.9,27.99,28.71,1340314.0
2016-11-11,27.79,28.415,26.84,28.33,2064010.0,0.0,1.0,27.79,28.415,26.84,28.33,2064010.0
2016-11-10,28.61,29.4,27.95,27.98,2657273.0,0.0,1.0,28.61,29.4,27.95,27.98,2657273.0
2016-11-09,26.58,28.61,26.58,28.42,3828904.0,0.0,1.0,26.58,28.61,26.58,28.42,3828904.0
2016-11-08,26.85,26.9,26.31,26.43,2353673.0,0.0,1.0,26.85,26.9,26.31,26.43,2353673.0
2016-11-07,27.43,27.66,26.87,27.02,2300169.0,0.0,1.0,27.43,27.66,26.87,27.02,2300169.0
2016-11-04,26.37,27.33,26.18,26.77,2379780.0,0.0,1.0,26.37,27.33,26.18,26.77,2379780.0
2016-11-03,26.69,27.18,26.04,26.35,3170385.0,0.0,1.0,26.69,27.18,26.04,26.35,3170385.0
2016-11-02,27.55,27.73,26.56,26.59,3418908.0,0.0,1.0,27.55,27.73,26.56,26.59,3418908.0
2016-11-01,29.47,29.78,27.53,27.95,4661658.0,0.0,1.0,29.47,29.78,27.53,27.95,4661658.0
2016-10-31,28.82,29.51,28.57,28.85,4116034.0,0.0,1.0,28.82,29.51,28.57,28.85,4116034.0
2016-10-28,29.04,29.27,28.33,28.82,2882389.0,0.0,1.0,29.04,29.27,28.33,28.82,2882389.0
2016-10-27,29.82,29.87,29.15,29.21,1956748.0,0.0,1.0,29.82,29.87,29.15,29.21,1956748.0
2016-10-26,29.43,30.43,29.33,29.91,1770960.0,0.0,1.0,29.43,30.43,29.33,29.91,1770960.0
2016-10-25,30.0,30.12,29.33,29.72,2193116.0,0.0,1.0,30.0,30.12,29.33,29.72,2193116.0
2016-10-24,30.84,30.84,29.8133,29.98,3447636.0,0.0,1.0,30.84,30.84,29.8133,29.98,3447636.0
2016-10-21,28.27,30.71,28.23,30.61,4293025.0,0.0,1.0,28.27,30.71,28.23,30.61,4293025.0
2016-10-20,27.91,29.05,27.77,28.75,3075943.0,0.38,1.0,27.91,29.05,27.77,28.75,3075943.0
2016-10-19,28.74,28.84,27.66,28.19,3674848.0,0.0,1.0,28.36508753862,28.463783041538,27.299176107106,27.822262272571,3674848.0
2016-10-18,27.75,28.4,27.65,28.07,2850682.0,0.0,1.0,27.388002059732,28.029522828699,27.289306556814,27.70382766907,2850682.0
2016-10-17,27.3,27.83,27.16,27.42,1612932.0,0.0,1.0,26.943872296601,27.466958462067,26.805698592516,27.062306900103,1612932.0
2016-10-14,27.53,27.705,26.86,27.28,1387474.0,0.0,1.0,27.170871953313,27.343589083419,26.509612083762,26.924133196018,1387474.0
2016-10-13,27.12,27.7101,26.38,27.25,1808785.0,0.0,1.0,26.766220391349,27.348622554068,26.035873669756,26.894524545142,1808785.0
2016-10-12,27.59,27.66,26.96,27.4,1695594.0,0.0,1.0,27.230089255064,27.299176107106,26.60830758668,27.042567799519,1695594.0
2016-10-11,27.48,27.835,27.36,27.67,1941469.0,0.0,1.0,27.121524201854,27.471893237212,27.003089598352,27.309045657398,1941469.0
2016-10-10,27.41,28.0,27.22,27.57,1855392.0,0.0,1.0,27.052437349811,27.634740817027,26.864915894267,27.21035015448,1855392.0
2016-10-07,28.47,28.52,27.33,27.35,2496210.0,0.0,1.0,28.098609680742,28.1479574322,26.973480947477,26.99322004806,2496210.0
2016-10-06,28.59,28.85,28.15,28.39,2764060.0,0.0,1.0,28.217044284243,28.47365259183,27.782784071404,28.019653278407,2764060.0
2016-10-05,28.15,28.8,28.025,28.37,3162005.0,0.0,1.0,27.782784071404,28.424304840371,27.659414692757,27.999914177824,3162005.0
2016-10-04,26.97,28.18,26.97,27.84,3338435.0,0.0,1.0,26.618177136972,27.812392722279,26.618177136972,27.476828012358,3338435.0
2016-10-03,26.38,26.89,26.29,26.86,2613315.0,0.0,1.0,26.035873669756,26.539220734638,25.94704771713,26.509612083762,2613315.0
2016-09-30,25.65,26.585,25.49,26.46,2754868.0,0.0,1.0,25.315396498455,26.238199450738,25.157483693786,26.114830072091,2754868.0
2016-09-29,26.78,27.17,25.0,25.35,5343431.0,0.0,1.0,26.430655681428,26.815568142808,24.673875729489,25.019309989701,5343431.0
2016-09-28,26.42,26.92,25.61,26.74,3787178.0,0.0,1.0,26.075351870923,26.568829385513,25.275918297288,26.391177480261,3787178.0
2016-09-27,25.75,26.23,25.36,26.17,3175664.0,0.0,1.0,25.414092001373,25.887830415379,25.029179539993,25.828613113629,3175664.0
2016-09-26,27.68,27.68,25.87,25.9,3666976.0,0.0,1.0,27.31891520769,27.31891520769,25.532526604875,25.56213525575,3666976.0
2016-09-23,27.8,28.3,27.05,27.52,3102028.0,0.0,1.0,27.437349811191,27.930827325781,26.697133539307,27.161002403021,3102028.0
2016-09-22,28.53,28.83,27.99,28.04,2113598.0,0.0,1.0,28.157826982492,28.453913491246,27.624871266735,27.674219018194,2113598.0
2016-09-21,27.85,28.3,27.58,28.16,2427864.0,0.0,1.0,27.48669756265,27.930827325781,27.220219704772,27.792653621696,2427864.0
2016-09-20,28.53,28.75,27.65,27.76,4120243.0,0.0,1.0,28.157826982492,28.374957088912,27.289306556814,27.397871610024,4120243.0
