Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.36,6.59,6.34,6.45,101471.0,0.0,1.0,6.36,6.59,6.34,6.45,101471.0
2016-11-16,6.66,6.78,6.38,6.39,46922.0,0.0,1.0,6.66,6.78,6.38,6.39,46922.0
2016-11-15,6.58,7.08,6.48,6.66,116747.0,0.0,1.0,6.58,7.08,6.48,6.66,116747.0
2016-11-14,6.25,6.59,6.21,6.59,70467.0,0.0,1.0,6.25,6.59,6.21,6.59,70467.0
2016-11-11,6.13,6.2284,5.979,6.18,37501.0,0.0,1.0,6.13,6.2284,5.979,6.18,37501.0
2016-11-10,5.83,6.2899,5.82,6.17,48750.0,0.0,1.0,5.83,6.2899,5.82,6.17,48750.0
2016-11-09,5.5,6.0,5.5,5.93,50436.0,0.0,1.0,5.5,6.0,5.5,5.93,50436.0
2016-11-08,5.57,5.89,5.57,5.76,70535.0,0.0,1.0,5.57,5.89,5.57,5.76,70535.0
2016-11-07,6.0,6.0729,5.54,5.61,48459.0,0.0,1.0,6.0,6.0729,5.54,5.61,48459.0
2016-11-04,5.78,6.04,5.68,5.84,94470.0,0.0,1.0,5.78,6.04,5.68,5.84,94470.0
2016-11-03,5.75,5.8,5.5064,5.64,85022.0,0.0,1.0,5.75,5.8,5.5064,5.64,85022.0
2016-11-02,6.13,6.29,5.6,5.64,90451.0,0.0,1.0,6.13,6.29,5.6,5.64,90451.0
2016-11-01,6.15,6.43,6.07,6.11,118948.0,0.0,1.0,6.15,6.43,6.07,6.11,118948.0
2016-10-31,6.48,6.48,6.05,6.2,127319.0,0.0,1.0,6.48,6.48,6.05,6.2,127319.0
2016-10-28,7.69,7.69,5.53,6.57,440313.0,0.0,1.0,7.69,7.69,5.53,6.57,440313.0
2016-10-27,8.3,8.335,8.105,8.11,30518.0,0.0,1.0,8.3,8.335,8.105,8.11,30518.0
2016-10-26,8.15,8.44,8.15,8.23,53470.0,0.0,1.0,8.15,8.44,8.15,8.23,53470.0
