Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-02-10,0.0893,0.09,0.066,0.077,4726118.0,0.0,1.0,0.0893,0.09,0.066,0.077,4726118.0
2016-02-09,0.08,0.0981,0.08,0.0851,2006049.0,0.0,1.0,0.08,0.0981,0.08,0.0851,2006049.0
2016-02-08,0.12,0.12,0.09,0.0911,2488857.0,0.0,1.0,0.12,0.12,0.09,0.0911,2488857.0
2016-02-05,0.0898,0.102,0.075,0.092,6444513.0,0.0,1.0,0.0898,0.102,0.075,0.092,6444513.0
2016-02-04,0.0687,0.099,0.0655,0.0795,6867994.0,0.0,1.0,0.0687,0.099,0.0655,0.0795,6867994.0
2016-02-03,0.13,0.1336,0.06,0.0624,11550686.0,0.0,1.0,0.13,0.1336,0.06,0.0624,11550686.0
2016-02-02,0.125,0.1668,0.1,0.107,14095214.0,0.0,1.0,0.125,0.1668,0.1,0.107,14095214.0
2016-02-01,0.25,0.28,0.23,0.2482,2428697.0,0.0,1.0,0.25,0.28,0.23,0.2482,2428697.0
2016-01-29,0.2309,0.2682,0.22,0.2575,3335408.0,0.0,1.0,0.2309,0.2682,0.22,0.2575,3335408.0
2016-01-28,0.25,0.25,0.221,0.2303,2387557.0,0.0,1.0,0.25,0.25,0.221,0.2303,2387557.0
2016-01-27,0.272,0.325,0.25,0.2511,3911366.0,0.0,1.0,0.272,0.325,0.25,0.2511,3911366.0
2016-01-26,0.22,0.286,0.2049,0.28,6063062.0,0.0,1.0,0.22,0.286,0.2049,0.28,6063062.0
2016-01-25,0.3352,0.35,0.23,0.243,7046625.0,0.0,1.0,0.3352,0.35,0.23,0.243,7046625.0
2016-01-22,0.4681,0.4816,0.3501,0.3899,6171134.0,0.0,1.0,0.4681,0.4816,0.3501,0.3899,6171134.0
2016-01-21,0.53,0.54,0.48,0.4902,3065397.0,0.0,1.0,0.53,0.54,0.48,0.4902,3065397.0
2016-01-20,0.41,0.56,0.4,0.5445,5788283.0,0.0,1.0,0.41,0.56,0.4,0.5445,5788283.0
2016-01-19,0.5501,0.5999,0.401,0.4384,4726621.0,0.0,1.0,0.5501,0.5999,0.401,0.4384,4726621.0
2016-01-15,0.665,0.67,0.4201,0.5493,4726452.0,0.0,1.0,0.665,0.67,0.4201,0.5493,4726452.0
2016-01-14,0.7,0.77,0.6407,0.6523,3979878.0,0.0,1.0,0.7,0.77,0.6407,0.6523,3979878.0
2016-01-13,1.4,1.41,0.637,0.6594,11123486.0,0.0,1.0,1.4,1.41,0.637,0.6594,11123486.0
2016-01-12,1.54,1.544,1.35,1.38,1467612.0,0.0,1.0,1.54,1.544,1.35,1.38,1467612.0
2016-01-11,1.57,1.62,1.48,1.51,1246375.0,0.0,1.0,1.57,1.62,1.48,1.51,1246375.0
