Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,37.47,38.12,37.245,37.91,5101806.0,0.0,1.0,37.47,38.12,37.245,37.91,5101806.0
2016-11-16,37.09,37.85,36.57,37.46,5499517.0,0.0,1.0,37.09,37.85,36.57,37.46,5499517.0
2016-11-15,37.9,38.855,37.47,38.76,3949557.0,0.0,1.0,37.9,38.855,37.47,38.76,3949557.0
2016-11-14,37.34,38.875,37.33,38.43,5768988.0,0.08,1.0,37.34,38.875,37.33,38.43,5768988.0
2016-11-11,36.42,37.04,35.96,36.97,3935727.0,0.0,1.0,36.344341729421,36.963053752272,35.88529732537,36.893199169047,3935727.0
2016-11-10,35.37,36.98,35.2,36.6,6697651.0,0.0,1.0,35.296522981044,36.903178395222,35.126876136069,36.523967800571,6697651.0
2016-11-09,33.0,35.04,32.65,34.62,7889473.0,0.0,1.0,32.931446377564,34.967208517268,32.582173461439,34.548081017917,7889473.0
2016-11-08,32.48,32.565,31.86,32.4,2516895.0,0.0,1.0,32.412526616463,32.497350038951,31.793814593612,32.332692807063,2516895.0
2016-11-07,32.16,32.42,31.84,32.25,4437473.0,0.0,1.0,32.093191378863,32.352651259413,31.773856141262,32.183004414438,4437473.0
2016-11-04,31.32,31.93,30.96,31.39,2913290.0,0.0,1.0,31.254936380161,31.863669176837,30.89568423786,31.324790963386,2913290.0
2016-11-03,31.17,31.565,31.11,31.17,2878796.0,0.0,1.0,31.105247987536,31.499427421449,31.045372630486,31.105247987536,2878796.0
2016-11-02,32.03,32.36,30.85,30.96,5132691.0,0.0,1.0,31.963461438587,32.292775902363,30.785912749935,30.89568423786,5132691.0
2016-11-01,32.36,32.52,31.79,32.24,2682880.0,0.0,1.0,32.292775902363,32.452443521163,31.723960010387,32.173025188263,2682880.0
2016-10-31,32.18,32.4,32.03,32.21,2325260.0,0.0,1.0,32.113149831213,32.332692807063,31.963461438587,32.143087509738,2325260.0
2016-10-28,32.4,32.46,31.87,32.09,2350931.0,0.0,1.0,32.332692807063,32.392568164113,31.803793819787,32.023336795637,2350931.0
2016-10-27,32.42,32.605,32.04,32.38,2212791.0,0.0,1.0,32.352651259413,32.537266943651,31.973440664762,32.312734354713,2212791.0
2016-10-26,32.0,32.445,31.9,32.14,3772375.0,0.0,1.0,31.933523760062,32.377599324851,31.833731498312,32.073232926513,3772375.0
2016-10-25,32.65,32.67,31.86,32.08,4547663.0,0.0,1.0,32.582173461439,32.602131913789,31.793814593612,32.013357569462,4547663.0
2016-10-24,32.5,32.715,32.415,32.43,3490379.0,0.0,1.0,32.432485068813,32.647038431576,32.347661646326,32.362630485588,3490379.0
2016-10-21,32.05,32.37,31.81,32.34,4615082.0,0.0,1.0,31.983419890937,32.302755128538,31.743918462737,32.272817450013,4615082.0
2016-10-20,31.94,32.415,31.88,32.26,3201195.0,0.0,1.0,31.873648403012,32.347661646326,31.813773045962,32.192983640613,3201195.0
2016-10-19,31.25,32.28,31.15,32.07,4232285.0,0.0,1.0,31.185081796936,32.212942092963,31.085289535186,32.003378343287,4232285.0
2016-10-18,31.0,31.17,30.625,31.17,2289660.0,0.0,1.0,30.93560114256,31.105247987536,30.561380160997,31.105247987536,2289660.0
2016-10-17,30.92,31.05,30.47,30.65,2162602.0,0.0,1.0,30.85576733316,30.985497273435,30.406702155284,30.586328226435,2162602.0
2016-10-14,30.73,31.11,30.7,30.86,2151187.0,0.0,1.0,30.666162035835,31.045372630486,30.63622435731,30.79589197611,2151187.0
2016-10-13,30.78,30.98,30.07,30.36,3040547.0,0.0,1.0,30.71605816671,30.91564269021,30.007533108284,30.296930667359,3040547.0
2016-10-12,31.32,31.53,31.14,31.21,1446608.0,0.0,1.0,31.254936380161,31.464500129836,31.075310309011,31.145164892236,1446608.0
2016-10-11,31.65,31.81,30.98,31.3,2467397.0,0.0,1.0,31.584250843937,31.743918462737,30.91564269021,31.234977927811,2467397.0
2016-10-10,31.82,32.07,31.75,31.81,1893861.0,0.0,1.0,31.753897688912,32.003378343287,31.684043105687,31.743918462737,1893861.0
2016-10-07,31.71,31.86,31.21,31.73,2474558.0,0.0,1.0,31.644126200987,31.793814593612,31.145164892236,31.664084653337,2474558.0
2016-10-06,31.75,31.82,31.29,31.68,3183400.0,0.0,1.0,31.684043105687,31.753897688912,31.224998701636,31.614188522462,3183400.0
